,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2558,,,,,,,,,,,0.09,,,,,,,,,JASIF,SET,TECH,ICT
2Q2558,"1,218.48",,,"1,130.12",,1.86,2.02,,,92.75,0.08,,9.80,"53,900.00",,0.97,10.11,0.00,,JASIF,SET,TECH,ICT
3Q2558,"1,251.57",,,"1,159.67",,1.90,2.06,,,92.66,0.09,,10.50,"57,750.00",,1.03,10.21,0.00,,JASIF,SET,TECH,ICT
4Q2558,"1,283.71",,,"1,833.38",,2.99,3.24,,,142.82,0.08,,9.15,"50,325.00",,0.90,10.22,0.00,,JASIF,SET,TECH,ICT
1Q2559,"1,316.89",,,"1,239.78",,2.08,2.19,,,94.14,0.02,,8.25,"45,375.00",,0.80,10.33,8.97,,JASIF,SET,TECH,ICT
2Q2559,"1,348.35",,,"1,272.62",,2.22,2.25,,,94.38,0.02,,10.50,"57,750.00",,1.02,10.26,7.05,,JASIF,SET,TECH,ICT
3Q2559,"1,381.31",,,"1,298.90",,2.26,2.30,,,94.03,0.02,,11.70,"64,350.00",,1.14,10.27,6.32,,JASIF,SET,TECH,ICT
4Q2559,"1,421.93",,,"1,643.35",,2.84,2.90,,,115.57,0.02,,11.70,"64,350.00",,1.14,10.28,6.32,,JASIF,SET,TECH,ICT
1Q2560,"1,451.18",,,"3,411.84",,5.79,5.90,,,235.11,0.02,,11.60,"63,800.00",,1.12,10.31,7.76,,JASIF,SET,TECH,ICT
2Q2560,"1,450.95",,,944.39,,1.59,1.61,,,65.09,0.02,,11.20,"61,600.00",,1.05,10.70,8.04,,JASIF,SET,TECH,ICT
3Q2560,"1,450.21",,,"1,503.75",,2.53,2.57,,,103.69,0.02,,11.50,"63,250.00",,0.00,10.61,7.83,,JASIF,SET,TECH,ICT
4Q2560,"1,450.93",,,"1,288.11",,2.16,2.19,,,88.78,0.02,,12.20,"67,100.00",,1.14,10.67,7.38,,JASIF,SET,TECH,ICT
1Q2561,"1,460.65",,,"1,311.76",,2.20,2.23,,,89.81,0.02,,11.60,"63,800.00",,1.09,10.68,7.84,,JASIF,SET,TECH,ICT
2Q2561,"1,460.45",,,"1,459.79",,2.44,2.48,,,99.95,0.02,,9.95,"54,725.00",,0.93,10.69,9.15,,JASIF,SET,TECH,ICT
3Q2561,"1,462.05",,,"1,058.56",,1.77,1.80,,,72.40,0.02,,10.50,"57,750.00",,0.98,10.73,8.67,,JASIF,SET,TECH,ICT
4Q2561,"1,462.81",,,"1,269.18",,2.12,2.16,,,86.76,0.02,,10.00,"55,000.00",,0.93,10.69,9.10,,JASIF,SET,TECH,ICT
1Q2562,"1,479.64",,,"1,573.66",,2.62,2.66,,,106.35,0.02,,10.30,"56,650.00",,0.96,10.70,8.74,,JASIF,SET,TECH,ICT
2Q2562,"1,480.43",,,"1,675.17",,2.78,2.82,,,113.15,0.02,,10.80,"59,400.00",,1.00,10.76,8.33,,JASIF,SET,TECH,ICT
3Q2562,"1,481.22",,,"1,670.96",,2.75,2.80,,,112.81,0.02,,11.00,"60,500.00",,1.02,10.83,8.18,,JASIF,SET,TECH,ICT
4Q2562,"1,957.77",,,"5,796.77",,6.94,7.89,,,296.09,0.22,,9.70,"77,600.00",,0.89,10.90,6.38,,JASIF,SET,TECH,ICT
1Q2563,"2,545.48",,,"2,097.99",,1.97,2.40,,,82.42,0.22,,8.35,"66,800.00",,,,8.16,,JASIF,SET,TECH,ICT
2Q2563,"2,543.56",,,"1,930.51",,1.84,2.21,,,75.90,0.19,,9.35,"74,800.00",,0.85,10.93,7.29,,JASIF,SET,TECH,ICT
3Q2563,"2,540.91",,,"2,469.91",,2.37,2.81,,,97.21,0.19,,9.50,"76,000.00",,0.87,10.93,7.17,,JASIF,SET,TECH,ICT
4Q2563,"2,541.62",,,"2,602.28",,2.49,2.95,,,102.39,0.18,,9.50,"76,000.00",,0.86,10.99,7.17,,JASIF,SET,TECH,ICT
