,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,463.17,,,10.77,0.03,1.48,5.19,47.30,50.81,2.33,2.53,-57.25,,,,,,,,JCKH,mai,AGRO,-
2Q2555,482.35,100.00,,21.32,0.06,2.87,9.53,46.42,51.40,4.42,2.12,-64.93,,,,,,,,JCKH,mai,AGRO,-
3Q2555,469.17,-66.67,,2.23,0.02,0.28,0.70,63.38,34.58,0.48,1.11,-73.58,4.50,"1,827.00",35.11,0.00,0.00,0.00,7.14,JCKH,mai,AGRO,-
4Q2555,491.49,,,-11.00,-0.05,-1.31,-2.81,47.31,51.76,-2.24,1.18,-101.07,3.98,"1,615.88",36.48,4.02,0.99,0.00,11.78,JCKH,mai,AGRO,-
1Q2556,527.49,,-66.67,3.58,0.01,0.42,0.93,50.89,47.71,0.68,1.25,-88.39,3.60,"1,461.60",62.66,3.83,0.94,1.11,11.29,JCKH,mai,AGRO,-
2Q2556,635.45,400.00,-16.67,19.81,0.05,2.28,5.00,42.52,55.95,3.12,1.14,-74.18,2.66,"1,079.96",66.94,2.79,0.95,1.50,8.70,JCKH,mai,AGRO,-
3Q2556,611.78,0.00,150.00,22.48,0.05,2.56,5.49,48.43,50.38,3.67,1.15,-62.04,3.04,"1,234.24",84.40,3.04,1.00,1.32,8.21,JCKH,mai,AGRO,-
4Q2556,578.96,,,-3.10,0.00,-0.32,-0.75,42.82,55.72,-0.53,1.49,-66.43,3.70,"1,502.20",43.07,3.64,1.02,1.08,9.21,JCKH,mai,AGRO,-
1Q2557,591.41,,,-5.95,-0.01,-0.60,-1.46,50.14,48.35,-1.01,1.39,-64.32,3.02,"1,226.12",28.66,2.99,1.01,1.99,8.17,JCKH,mai,AGRO,-
2Q2557,628.16,,,1.57,0.00,0.16,0.39,39.33,59.61,0.25,1.40,-66.22,2.98,"1,209.88",36.39,3.00,0.99,2.01,8.90,JCKH,mai,AGRO,-
3Q2557,578.01,,,-9.73,-0.02,-1.02,-2.48,67.91,30.99,-1.68,1.47,-75.37,3.38,"1,372.28",91.50,3.46,0.98,1.78,12.04,JCKH,mai,AGRO,-
4Q2557,524.42,-400.00,,-40.33,-0.10,-4.15,-10.98,15.17,83.82,-7.69,1.84,-69.90,3.06,"1,242.36",N/A,3.21,0.95,1.96,15.73,JCKH,mai,AGRO,-
1Q2558,511.65,-10.00,"-1,000.00",-43.41,-0.11,-4.57,-13.33,46.82,51.79,-8.48,2.01,-75.28,3.18,"1,291.08",N/A,3.72,0.86,0.00,22.63,JCKH,mai,AGRO,-
2Q2558,594.64,,,7.35,0.02,0.82,2.39,38.76,59.99,1.24,1.84,-77.98,2.62,"1,063.72",N/A,3.50,0.75,0.00,18.18,JCKH,mai,AGRO,-
3Q2558,543.50,,-200.00,-24.69,-0.06,-2.86,-8.26,42.53,56.66,-4.54,1.93,-72.27,2.46,998.76,N/A,3.21,0.77,0.00,20.38,JCKH,mai,AGRO,-
4Q2558,515.92,-33.33,20.00,-34.25,-0.08,-4.12,-12.71,74.29,22.99,-6.64,2.25,-89.37,2.16,876.96,N/A,3.06,0.71,0.00,15.91,JCKH,mai,AGRO,-
1Q2559,476.26,-12.50,18.18,-36.50,-0.09,-4.54,-14.98,47.31,51.70,-7.66,2.35,-86.70,2.32,941.92,N/A,3.73,0.62,0.00,16.89,JCKH,mai,AGRO,-
2Q2559,575.20,66.67,,-11.71,-0.03,-1.49,-5.11,53.62,45.75,-2.04,2.53,-92.21,2.04,828.24,N/A,3.52,0.58,0.00,22.27,JCKH,mai,AGRO,-
3Q2559,508.26,-66.67,16.67,-21.60,-0.05,-2.82,-10.16,50.79,48.68,-4.25,2.68,-95.01,2.96,"1,201.76",N/A,5.38,0.55,0.00,30.91,JCKH,mai,AGRO,-
4Q2559,508.79,-300.00,-150.00,-78.41,-0.20,-10.90,-48.24,49.87,49.52,-15.41,4.64,-82.46,2.70,"1,096.20",N/A,5.43,0.50,0.00,62.27,JCKH,mai,AGRO,-
1Q2560,522.29,40.00,-33.33,-47.82,-0.12,-7.13,-48.10,51.00,48.49,-9.16,7.57,-83.52,2.28,925.68,N/A,7.51,0.30,0.00,115.81,JCKH,mai,AGRO,-
2Q2560,477.09,0.00,-300.00,-51.31,-0.12,-8.25,-102.90,45.62,53.65,-10.75,23.66,-83.91,2.14,868.84,N/A,11.51,0.19,0.00,-44.53,JCKH,mai,AGRO,-
3Q2560,449.19,33.33,-60.00,-29.36,-0.08,-4.99,-308.14,31.17,67.92,-6.54,-113.49,-79.36,1.71,694.26,N/A,31.55,0.06,0.00,-27.89,JCKH,mai,AGRO,-
4Q2560,399.32,-162.50,-5.00,-93.82,-0.21,-16.86,-664.59,35.34,63.53,-23.49,14.97,-78.04,1.51,735.67,N/A,0.00,-0.01,0.00,-13.45,JCKH,mai,AGRO,-
1Q2561,406.54,66.67,41.67,-32.26,-0.07,-6.20,-187.02,38.31,59.30,-7.94,452.93,-78.01,1.95,950.04,N/A,28.46,0.07,0.00,-17.30,JCKH,mai,AGRO,-
2Q2561,400.29,,,1.23,0.01,0.22,1.35,46.96,51.04,0.31,2.50,-82.46,1.13,550.54,N/A,737.47,0.00,0.00,-15.26,JCKH,mai,AGRO,-
3Q2561,361.38,,37.50,-28.50,-0.05,-4.76,-17.08,40.65,58.69,-7.89,2.69,-88.36,1.13,706.56,N/A,3.90,0.29,0.00,-14.54,JCKH,mai,AGRO,-
4Q2561,347.97,80.00,95.24,-10.03,-0.01,-1.76,-6.80,34.89,63.88,-2.88,3.03,-89.87,0.53,331.40,N/A,2.17,0.24,0.00,-174.94,JCKH,mai,AGRO,-
1Q2562,348.49,-600.00,0.00,-42.71,-0.07,-7.06,-32.89,35.09,63.45,-12.25,4.42,-99.33,0.99,619.02,N/A,4.35,0.23,0.00,-44.72,JCKH,mai,AGRO,-
2Q2562,322.41,-42.86,,-61.65,-0.10,-10.11,-71.22,29.96,68.40,-19.12,9.47,-88.42,0.72,450.20,N/A,3.84,0.19,0.00,-12.37,JCKH,mai,AGRO,-
3Q2562,342.87,30.00,-40.00,-46.79,-0.07,-8.00,-144.71,32.26,63.50,-13.65,64.53,-83.56,0.34,212.59,N/A,3.81,0.09,0.00,-8.58,JCKH,mai,AGRO,-
4Q2562,383.48,85.71,0.00,-7.26,-0.01,-1.13,-16.08,37.19,56.75,-1.89,7.59,-79.34,0.24,150.07,N/A,16.79,0.01,0.00,-8.96,JCKH,mai,AGRO,-
1Q2563,245.57,-913.00,-44.71,-63.34,-0.10,-6.74,-127.58,20.23,77.55,-25.79,64.77,-71.72,0.21,131.31,N/A,1.61,0.13,0.00,-26.24,JCKH,mai,AGRO,-
2Q2563,76.06,51.92,51.30,-33.58,-0.05,-2.91,-145.51,1.89,95.05,-44.15,38.87,-93.31,0.27,168.82,N/A,9.39,0.03,0.00,-429.15,JCKH,mai,AGRO,-
3Q2563,198.45,79.47,85.71,-7.56,-0.01,-0.70,-25.50,39.84,58.60,-3.81,32.05,-111.83,0.38,293.11,N/A,10.40,0.04,0.00,19.23,JCKH,mai,AGRO,-
4Q2563,181.29,-300.00,-300.00,-37.54,-0.04,-3.61,-103.43,27.81,69.60,-20.71,24.38,-126.87,0.29,223.69,N/A,7.19,0.04,0.00,17.43,JCKH,mai,AGRO,-
1Q2564,129.58,-50.00,40.77,-46.58,-0.06,-4.56,-181.30,13.06,83.77,-35.95,99.02,-135.18,0.57,463.33,N/A,11.17,0.05,0.00,18.20,JCKH,mai,AGRO,-
2Q2564,107.29,-16.67,-43.74,-61.92,-0.07,-6.29,-587.29,7.56,90.43,-57.72,86.35,-117.11,0.49,437.99,N/A,44.23,0.01,0.00,17.38,JCKH,mai,AGRO,-
3Q2564,60.85,14.29,-500.00,-56.19,-0.06,-4.71,-64.70,-32.85,127.82,-92.33,7.67,-133.78,0.50,520.34,N/A,46.52,0.01,0.00,46.40,JCKH,mai,AGRO,-
4Q2564,145.87,-166.67,-300.00,-175.34,-0.16,-13.46,-198.59,13.80,81.63,-120.20,83.92,-151.81,0.35,461.08,N/A,2.84,0.15,0.00,-17.56,JCKH,mai,AGRO,-
