,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,2.09,167.84,,,,,,,,JKN,SET,SERVICE,MEDIA
3Q2560,873.61,,,176.11,0.44,9.10,27.71,-7.33,11.85,20.16,2.01,476.64,,,,,,,,JKN,SET,SERVICE,MEDIA
4Q2560,281.97,-96.94,,11.56,0.01,0.44,0.91,-6.19,21.64,4.10,0.72,690.36,14.10,"7,614.00",37.36,,0.00,0.00,4.88,JKN,SET,SERVICE,MEDIA
1Q2561,345.79,864.39,,70.57,0.13,2.31,3.79,85.69,13.77,20.41,0.57,354.14,14.20,"7,668.00",40.86,4.20,3.38,0.00,4.48,JKN,SET,SERVICE,MEDIA
2Q2561,352.24,0.00,,68.45,0.13,2.36,3.54,85.22,11.16,19.43,0.44,287.41,10.00,"5,400.00",25.44,2.85,3.51,0.00,4.06,JKN,SET,SERVICE,MEDIA
3Q2561,360.82,-38.46,-81.82,42.69,0.08,1.48,2.15,84.27,15.67,11.83,0.46,152.04,11.40,"6,156.00",25.21,3.13,3.64,0.00,6.73,JKN,SET,SERVICE,MEDIA
4Q2561,363.76,0.00,493.47,45.97,0.08,1.49,2.26,86.37,12.65,12.64,0.58,64.43,7.70,"4,158.00",21.51,2.07,3.72,0.00,4.53,JKN,SET,SERVICE,MEDIA
1Q2562,424.07,86.34,14.67,80.50,0.15,2.39,3.84,84.66,14.94,18.98,0.64,66.24,7.85,"4,239.00",18.62,2.06,3.80,2.17,4.48,JKN,SET,SERVICE,MEDIA
2Q2562,446.04,-13.51,-0.82,69.62,0.13,1.94,3.28,80.24,18.81,15.61,0.74,91.13,9.05,"4,887.00",20.57,2.29,3.95,1.88,4.90,JKN,SET,SERVICE,MEDIA
3Q2562,416.81,-20.89,27.50,52.46,0.10,1.41,2.45,83.25,16.29,12.59,0.73,114.46,7.15,"3,861.00",16.17,1.83,3.91,2.38,3.97,JKN,SET,SERVICE,MEDIA
4Q2562,423.84,-60.78,-50.00,50.23,0.04,1.30,2.29,78.39,19.72,11.85,0.81,164.38,5.35,"2,889.00",11.62,1.33,4.01,3.18,3.33,JKN,SET,SERVICE,MEDIA
1Q2563,460.97,300.00,7.33,95.26,0.16,2.09,4.05,80.50,10.77,20.67,1.05,179.56,3.50,"1,890.00",8.41,0.96,3.65,3.56,3.09,JKN,SET,SERVICE,MEDIA
2Q2563,428.54,-14.56,6.03,84.99,0.14,1.62,3.42,93.17,13.30,19.83,1.17,186.42,5.45,"3,310.87",12.37,1.33,4.61,2.28,3.84,JKN,SET,SERVICE,MEDIA
3Q2563,404.54,1.15,35.57,84.00,0.14,1.54,3.32,82.21,15.62,20.77,1.14,184.84,9.90,"6,014.23",21.26,2.42,4.09,1.26,5.82,JKN,SET,SERVICE,MEDIA
4Q2563,388.82,-45.75,87.53,48.22,0.08,0.86,1.86,82.62,15.79,12.40,1.19,144.70,7.70,"4,677.74",14.87,1.82,4.24,1.62,4.81,JKN,SET,SERVICE,MEDIA
1Q2564,442.77,113.30,0.00,99.40,0.16,1.69,3.72,83.54,12.00,22.45,1.21,39.23,11.50,"6,986.23",22.36,2.68,4.30,1.80,6.73,JKN,SET,SERVICE,MEDIA
2Q2564,458.27,-37.50,-26.85,60.63,0.10,0.92,2.24,76.85,17.39,13.23,1.68,-100.15,10.10,"6,135.73",19.37,2.25,4.48,2.05,7.60,JKN,SET,SERVICE,MEDIA
3Q2564,505.69,-40.00,-56.61,32.99,0.06,0.45,1.22,63.60,27.05,6.52,1.73,-150.87,9.05,"5,497.86",18.76,2.06,4.38,2.29,7.56,JKN,SET,SERVICE,MEDIA
4Q2564,399.06,,,-19.45,-0.02,-0.26,-0.72,75.56,29.33,-4.87,1.73,-138.00,8.10,"4,920.74",20.20,1.81,4.46,2.56,7.25,JKN,SET,SERVICE,MEDIA
1Q2565,465.98,,-44.05,50.62,0.09,0.65,1.85,82.70,16.43,10.86,1.93,-194.62,6.90,"4,191.74",,,,0.00,7.22,JKN,SET,SERVICE,MEDIA
2Q2565,528.40,-32.44,-39.52,25.94,0.06,0.30,0.90,70.78,20.51,4.91,2.00,-229.47,4.56,"2,969.82",22.13,1.01,4.56,0.00,6.25,JKN,SET,SERVICE,MEDIA
3Q2565,623.26,106.38,108.03,75.11,0.12,0.84,2.40,69.72,20.74,12.05,1.72,-299.59,3.58,"2,562.16",23.40,0.79,4.56,0.00,5.37,JKN,SET,SERVICE,MEDIA
