,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,2.51,,,,,,,,,JWD,SET,SERVICE,TRANS
2Q2558,"1,172.58",,,147.66,0.33,3.23,10.75,80.85,16.95,12.59,2.18,,,,,,,,,JWD,SET,SERVICE,TRANS
3Q2558,605.03,-46.60,,82.57,0.17,1.69,4.13,83.09,15.45,13.65,1.02,,14.40,"8,640.00",40.38,0.00,0.00,0.00,8.08,JWD,SET,SERVICE,TRANS
4Q2558,601.83,-13.82,,90.83,0.15,1.79,3.49,83.48,17.17,15.09,0.88,,22.90,"13,740.00",52.82,5.48,4.18,0.00,10.19,JWD,SET,SERVICE,TRANS
1Q2559,549.25,-66.67,,43.14,0.05,0.87,1.62,78.98,20.39,7.85,0.85,,21.40,"12,840.00",38.50,4.95,4.33,0.18,13.59,JWD,SET,SERVICE,TRANS
2Q2559,561.51,,,3.96,0.00,0.08,0.15,78.12,21.17,0.70,0.92,,10.60,"10,812.00",36.47,4.09,2.59,0.22,16.64,JWD,SET,SERVICE,TRANS
3Q2559,568.42,,,-109.93,-0.10,-2.15,-4.20,78.54,19.63,-19.34,0.98,,9.00,"9,180.00",39.79,3.50,2.58,0.25,20.49,JWD,SET,SERVICE,TRANS
4Q2559,560.07,,-73.33,39.33,0.04,0.76,1.52,79.39,20.25,7.02,1.04,,7.80,"7,956.00",204.10,3.16,2.46,0.29,22.00,JWD,SET,SERVICE,TRANS
1Q2560,580.30,-10.33,-28.26,36.59,0.04,0.69,1.39,80.20,18.51,6.30,1.00,,9.60,"9,792.00",N/A,3.82,2.51,0.83,26.31,JWD,SET,SERVICE,TRANS
2Q2560,590.61,45.53,,46.16,0.05,0.88,1.76,79.51,18.33,7.82,1.01,,8.70,"8,874.00",N/A,3.41,2.55,0.92,21.83,JWD,SET,SERVICE,TRANS
