,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,228.53,"-1,233.33",-300.00,-17.68,-0.08,-1.55,-4.17,80.20,19.64,-7.74,1.62,749.96,4.46,"1,003.50",N/A,2.32,1.92,0.00,42.48,KASET,mai,AGRO,-
2Q2555,240.22,-100.00,-700.00,-37.32,-0.16,-3.62,-9.41,80.08,19.45,-15.54,1.57,727.01,3.78,850.50,N/A,2.05,1.85,0.00,171.49,KASET,mai,AGRO,-
3Q2555,256.46,-20.63,"-2,657.14",-42.34,-0.19,-4.62,-11.87,57.58,42.37,-16.51,1.56,553.02,3.94,886.50,N/A,2.35,1.68,0.00,-45.52,KASET,mai,AGRO,-
4Q2555,248.13,27.98,"-2,216.67",-31.25,-0.14,-3.80,-9.77,104.13,-4.47,-12.60,1.57,706.82,3.30,742.50,N/A,2.21,1.49,0.00,-17.87,KASET,mai,AGRO,-
1Q2556,235.00,64.03,37.50,-12.19,-0.05,-1.61,-4.14,83.61,16.31,-5.19,1.56,610.01,3.06,688.50,N/A,2.26,1.35,0.00,-16.59,KASET,mai,AGRO,-
2Q2556,259.41,20.00,75.00,-8.12,-0.04,-1.13,-2.89,87.05,12.83,-3.13,1.57,559.14,2.02,454.50,N/A,1.60,1.27,0.00,-19.73,KASET,mai,AGRO,-
3Q2556,276.08,0.00,79.27,-8.42,-0.04,-1.19,-3.09,87.10,12.66,-3.05,1.61,863.89,1.86,418.50,N/A,1.51,1.23,0.00,-51.99,KASET,mai,AGRO,-
4Q2556,306.22,-125.00,35.25,-19.68,-0.09,-2.82,-7.61,82.63,15.05,-6.43,1.80,530.06,1.74,391.50,N/A,1.46,1.19,0.00,-89.42,KASET,mai,AGRO,-
1Q2557,282.70,33.33,-20.00,-13.45,-0.06,-1.93,-5.56,86.86,13.13,-4.76,1.98,550.81,1.80,405.00,N/A,1.63,1.11,0.00,-77.36,KASET,mai,AGRO,-
2Q2557,293.39,-66.67,-150.00,-22.69,-0.10,-3.43,-10.14,84.91,15.04,-7.73,1.92,495.28,2.26,508.50,N/A,2.16,1.05,0.00,-35.29,KASET,mai,AGRO,-
3Q2557,286.26,20.00,-100.00,-17.65,-0.08,-2.88,-8.67,82.05,17.78,-6.17,2.10,428.90,3.14,706.50,N/A,3.33,0.94,0.00,-30.43,KASET,mai,AGRO,-
4Q2557,288.50,25.00,33.33,-13.92,-0.06,-2.18,-6.03,85.24,13.75,-4.82,1.53,395.61,2.66,680.14,N/A,3.49,0.87,0.00,-33.55,KASET,mai,AGRO,-
1Q2558,285.18,,,5.30,0.02,0.81,1.97,87.51,12.28,1.86,1.36,345.65,3.10,792.64,N/A,2.97,1.04,0.00,-70.67,KASET,mai,AGRO,-
