,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,112.71,69.23,70.37,-6.63,-0.01,-0.26,-0.49,66.69,30.80,-5.88,0.89,,0.77,673.75,N/A,0.50,1.54,0.00,141.45,KC,SET,PROPCON,PROP
2Q2555,106.24,,,0.22,0.00,0.01,0.02,65.32,31.03,0.21,0.88,,0.77,673.75,N/A,0.50,1.53,0.00,74.04,KC,SET,PROPCON,PROP
3Q2555,290.98,"6,657.14",373.00,42.16,0.05,1.72,3.10,81.97,15.67,14.49,0.73,,0.91,796.25,N/A,0.59,1.53,0.00,30.58,KC,SET,PROPCON,PROP
4Q2555,95.23,,,2.80,0.00,0.12,0.20,62.77,32.20,2.94,0.72,,1.02,892.50,68.77,0.65,1.58,0.00,22.84,KC,SET,PROPCON,PROP
1Q2556,78.53,,25.00,-5.42,-0.01,-0.22,-0.39,56.11,39.82,-6.90,0.83,,1.04,910.00,23.60,0.66,1.58,1.92,24.74,KC,SET,PROPCON,PROP
2Q2556,127.76,,471.43,3.91,0.00,0.16,0.28,70.12,24.47,3.06,0.82,,0.85,743.75,18.70,0.54,1.58,2.35,22.06,KC,SET,PROPCON,PROP
3Q2556,129.06,133.25,-80.27,7.92,0.01,0.32,0.58,67.74,27.19,6.14,0.83,,0.78,682.50,15.71,0.50,1.57,2.56,40.17,KC,SET,PROPCON,PROP
4Q2556,128.30,-71.38,,4.49,0.00,0.18,0.32,66.27,28.88,3.50,0.84,,0.76,665.00,72.18,0.48,1.58,2.63,35.90,KC,SET,PROPCON,PROP
1Q2557,87.16,,-174.67,-14.42,-0.02,-0.56,-1.05,54.33,38.49,-16.54,0.89,,0.80,700.00,64.21,0.51,1.58,0.00,44.59,KC,SET,PROPCON,PROP
2Q2557,145.41,,212.00,10.99,0.01,0.42,0.80,71.06,23.59,7.56,0.89,,1.24,"1,085.00",572.29,0.79,1.57,0.00,41.97,KC,SET,PROPCON,PROP
3Q2557,159.25,72.04,130.12,18.72,0.02,0.71,1.34,73.42,21.78,11.76,0.88,,1.49,"1,303.75",145.20,0.94,1.58,0.00,34.34,KC,SET,PROPCON,PROP
4Q2557,145.70,-54.68,264.42,8.51,0.01,0.32,0.60,69.91,25.56,5.84,0.90,,1.55,"1,356.25",68.58,0.97,1.60,0.00,33.48,KC,SET,PROPCON,PROP
1Q2558,118.10,-79.45,,1.75,0.00,0.07,0.13,64.06,30.39,1.48,0.94,,3.26,"2,852.50",119.85,2.02,1.61,0.61,41.99,KC,SET,PROPCON,PROP
2Q2558,144.57,,,-11.11,-0.01,-0.42,-0.81,69.14,27.85,-7.68,0.94,,3.26,"2,852.50",71.36,2.06,1.59,0.61,54.99,KC,SET,PROPCON,PROP
3Q2558,574.13,,-65.63,6.46,0.01,0.26,0.47,93.42,5.98,1.13,0.66,,3.06,"2,677.50",149.78,1.97,1.55,0.65,60.30,KC,SET,PROPCON,PROP
4Q2558,99.99,,,-408.84,-0.47,-18.88,-37.69,44.45,52.29,-408.89,1.56,,2.12,"1,855.00",330.17,1.36,1.56,0.94,-8.48,KC,SET,PROPCON,PROP
1Q2559,228.69,96.76,,-13.23,-0.02,-0.67,-1.66,82.25,14.92,-5.78,1.35,,1.98,"1,732.50",168.76,1.26,1.58,0.00,-7.37,KC,SET,PROPCON,PROP
2Q2559,261.99,,,48.22,0.06,2.73,5.91,88.67,9.84,18.41,0.99,,1.58,"1,382.50",278.88,1.01,1.57,0.00,-6.86,KC,SET,PROPCON,PROP
3Q2559,132.42,13.61,748.37,54.78,0.06,3.33,6.32,74.38,23.23,41.37,0.81,,1.26,"1,102.50",25.26,0.79,1.60,0.00,-6.75,KC,SET,PROPCON,PROP
4Q2559,100.68,,99.59,-1.66,-0.00,-0.11,-0.19,69.49,28.89,-1.65,0.72,,1.00,875.00,10.17,0.60,1.65,0.00,10.63,KC,SET,PROPCON,PROP
1Q2560,73.97,"-5,095.79",-552.91,-86.38,-0.10,-5.95,-10.62,60.15,37.19,-116.77,0.87,,0.00,875.00,10.17,0.60,1.65,0.00,24.23,KC,SET,PROPCON,PROP
