,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,639.19",,18.94,181.04,0.39,1.87,6.95,62.27,19.80,11.04,2.70,44.16,5.50,"2,552.30",19.33,1.01,5.43,3.64,11.34,KCE,SET,TECH,ETRON
2Q2555,"1,602.53",-59.02,166.45,78.75,0.16,0.79,2.90,77.69,16.38,4.91,2.64,13.56,6.05,"2,807.53",17.64,1.04,5.84,3.31,11.13,KCE,SET,TECH,ETRON
3Q2555,"1,977.12",231.52,369.03,244.09,0.53,2.41,8.76,76.32,12.55,12.35,2.65,-15.65,9.75,"4,524.52",21.09,1.61,5.91,2.10,10.98,KCE,SET,TECH,ETRON
4Q2555,"1,986.80",-11.32,,212.62,0.47,2.06,7.19,81.95,12.07,10.70,2.33,-33.38,10.40,"4,915.05",11.94,1.67,6.23,1.95,8.46,KCE,SET,TECH,ETRON
1Q2556,"2,132.66",25.53,51.23,273.27,0.59,2.59,8.47,81.22,12.54,12.81,2.23,-14.93,16.00,"7,599.93",10.35,2.41,6.68,3.41,9.90,KCE,SET,TECH,ETRON
2Q2556,"2,232.99",-27.05,169.22,199.05,0.43,1.79,5.87,87.74,13.54,8.91,2.33,-29.24,15.50,"7,362.43",9.15,2.19,7.28,3.41,9.24,KCE,SET,TECH,ETRON
3Q2556,"2,566.09",64.43,33.53,329.52,0.71,2.84,9.30,84.92,14.05,12.84,2.22,-17.03,16.20,"7,602.19",8.22,2.24,7.37,3.31,8.85,KCE,SET,TECH,ETRON
4Q2556,"2,541.00",13.73,71.25,379.66,0.80,3.28,9.76,84.57,13.54,14.94,1.75,-39.99,23.50,"11,291.63",11.19,3.09,7.79,2.23,9.52,KCE,SET,TECH,ETRON
1Q2557,"2,806.35",10.57,50.85,442.55,0.89,3.84,9.82,82.75,15.78,15.77,1.40,-46.46,30.75,"16,882.90",14.39,4.13,8.51,2.31,11.15,KCE,SET,TECH,ETRON
2Q2557,"2,871.44",-2.15,102.34,483.11,0.87,4.03,9.56,83.64,14.52,16.82,1.34,-53.22,35.25,"19,666.95",14.66,4.04,8.87,1.98,11.09,KCE,SET,TECH,ETRON
3Q2557,"3,154.74",26.21,55.31,614.43,1.10,4.66,11.18,81.10,13.97,19.48,1.46,-133.45,40.00,"22,584.13",13.92,4.36,9.28,1.73,11.49,KCE,SET,TECH,ETRON
4Q2557,"2,736.72",-5.98,28.39,583.17,1.03,3.97,9.58,84.75,13.96,21.31,1.37,-146.77,34.25,"19,372.77",10.16,3.36,10.21,2.01,9.67,KCE,SET,TECH,ETRON
1Q2558,"2,944.88",-12.66,1.41,514.14,0.90,3.35,7.72,86.18,11.69,17.46,1.24,-194.32,53.00,"30,141.58",14.29,4.74,11.25,2.06,13.03,KCE,SET,TECH,ETRON
2Q2558,"3,043.27",-4.57,-1.10,493.89,0.86,3.10,7.04,87.94,12.19,16.23,1.31,-204.92,55.50,"31,643.92",14.51,4.58,12.15,1.96,13.53,KCE,SET,TECH,ETRON
3Q2558,"3,280.59",16.70,-8.55,576.47,1.01,3.46,7.95,88.25,12.37,17.57,1.28,-137.23,56.00,"32,079.86",14.63,4.54,12.38,1.93,13.61,KCE,SET,TECH,ETRON
4Q2558,"3,262.41",15.63,12.47,668.10,1.16,3.96,8.61,86.41,12.25,20.48,1.08,-92.67,70.00,"40,213.28",18.66,5.44,12.90,1.54,15.02,KCE,SET,TECH,ETRON
1Q2559,"3,561.46",12.37,44.70,756.76,1.31,4.45,8.91,87.22,11.88,21.25,0.93,-49.38,79.00,"45,524.54",20.32,5.64,14.05,1.89,14.98,KCE,SET,TECH,ETRON
2Q2559,"3,639.13",7.81,63.46,817.24,1.41,4.74,9.08,85.85,12.49,22.46,0.90,-27.38,83.25,"48,000.62",19.36,5.43,15.35,1.79,14.15,KCE,SET,TECH,ETRON
3Q2559,"3,557.68",-4.76,33.41,789.65,1.34,4.58,8.56,86.52,12.28,22.20,0.84,-12.67,106.00,"62,127.11",22.18,6.84,15.51,1.39,16.57,KCE,SET,TECH,ETRON
