,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,71.31,-99.98,,0.01,0.00,0.00,0.00,70.33,26.22,0.01,0.13,-47.22,40.00,600.00,17.14,2.18,18.36,5.00,12.22,KDH,SET,SERVICE,HELTH
2Q2555,70.14,,10.67,-1.17,-0.08,-0.39,-0.45,69.66,26.62,-1.67,0.15,-36.18,40.00,600.00,14.77,2.18,18.36,5.00,13.46,KDH,SET,SERVICE,HELTH
3Q2555,79.11,,0.00,4.30,0.29,1.51,1.75,76.23,20.48,5.44,0.15,-33.46,45.25,678.75,16.69,2.78,16.28,4.42,14.56,KDH,SET,SERVICE,HELTH
4Q2555,83.05,134.48,-72.80,10.14,0.68,3.42,4.01,86.88,11.17,12.21,0.19,-42.66,46.50,697.50,17.16,2.81,16.57,4.30,18.69,KDH,SET,SERVICE,HELTH
1Q2556,79.75,,,-1.94,-0.13,-0.63,-0.75,65.63,31.53,-2.43,0.20,-44.19,63.50,952.50,71.71,3.71,17.13,0.00,27.68,KDH,SET,SERVICE,HELTH
2Q2556,79.91,-784.50,"-1,319.15",-17.11,-1.14,-5.68,-6.89,56.31,41.89,-21.41,0.22,-39.42,81.00,"1,215.00",107.13,4.73,17.13,0.00,62.30,KDH,SET,SERVICE,HELTH
3Q2556,83.86,-13.94,,-19.56,-1.30,-6.73,-8.50,56.52,42.67,-23.33,0.31,-40.10,81.50,"1,222.50",N/A,5.10,15.99,0.00,-205.28,KDH,SET,SERVICE,HELTH
4Q2556,84.68,0.00,,-21.67,-1.30,-4.47,-5.64,53.57,44.92,-25.59,0.24,-69.43,78.50,"1,521.66",N/A,6.91,14.68,0.00,-32.80,KDH,SET,SERVICE,HELTH
1Q2557,95.11,91.31,12.40,-2.20,-0.11,-0.33,-0.40,73.84,24.35,-2.31,0.22,-106.66,0.00,"1,570.12",N/A,2.86,28.28,0.00,-36.79,KDH,SET,SERVICE,HELTH
2Q2557,79.77,-605.31,30.15,-15.45,-0.80,-2.38,-2.87,68.13,28.78,-19.37,0.19,-137.67,88.00,"1,705.81",N/A,3.12,28.16,0.00,-45.11,KDH,SET,SERVICE,HELTH
3Q2557,89.56,23.46,53.08,-11.72,-0.61,-1.85,-2.24,68.43,29.01,-13.09,0.22,-166.95,90.00,"1,744.58",N/A,3.29,27.36,0.00,-73.09,KDH,SET,SERVICE,HELTH
4Q2557,90.16,74.45,88.01,-3.11,-0.16,-0.49,-0.60,72.79,24.63,-3.45,0.25,-179.22,80.50,"1,560.43",N/A,3.01,26.76,0.00,"-1,150.93",KDH,SET,SERVICE,HELTH
1Q2558,86.99,-147.63,-241.49,-7.48,-0.39,-1.13,-1.46,75.43,22.94,-8.60,0.35,-181.49,91.75,"1,778.50",N/A,3.45,26.60,0.00,-535.80,KDH,SET,SERVICE,HELTH
2Q2558,97.42,32.74,67.44,-5.03,-0.26,-0.73,-1.00,74.64,23.80,-5.16,0.37,-190.43,88.00,"1,705.81",N/A,3.36,26.21,0.00,197.18,KDH,SET,SERVICE,HELTH
3Q2558,125.88,-113.68,9.09,-10.65,-0.55,-1.55,-2.14,67.27,31.39,-8.46,0.39,-171.77,84.00,"1,628.27",N/A,3.24,25.95,0.00,87.79,KDH,SET,SERVICE,HELTH
