,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,283.33,-14.29,-4.00,48.73,0.24,4.36,7.58,90.50,9.11,17.20,0.66,-28.84,10.70,"2,140.00",11.70,3.81,2.81,4.25,7.50,KIAT,SET,SERVICE,TRANS
2Q2555,228.78,-47.20,-44.91,31.94,0.13,2.94,4.85,83.33,16.18,13.96,0.64,-5.99,11.40,"2,508.00",12.56,3.76,3.34,3.99,8.86,KIAT,SET,SERVICE,TRANS
3Q2555,246.12,28.87,-34.68,35.22,0.16,3.28,5.51,90.05,9.66,14.31,0.72,13.74,9.90,"2,178.00",11.74,3.36,2.95,4.59,8.29,KIAT,SET,SERVICE,TRANS
4Q2555,219.66,-44.88,-67.86,21.22,0.09,2.03,3.32,84.53,15.01,9.66,0.55,10.21,10.10,"2,222.00",12.96,3.53,2.86,4.50,9.41,KIAT,SET,SERVICE,TRANS
1Q2556,245.63,66.67,-37.50,32.29,0.15,3.02,5.01,87.36,12.23,13.15,0.77,-3.29,8.80,"1,936.00",14.12,2.98,2.96,5.68,9.41,KIAT,SET,SERVICE,TRANS
2Q2556,284.75,20.00,42.06,41.14,0.18,3.60,6.51,88.99,10.77,14.45,0.84,-12.07,6.70,"1,474.00",12.21,2.31,2.90,7.46,7.12,KIAT,SET,SERVICE,TRANS
3Q2556,268.39,-11.11,-2.01,33.82,0.16,3.01,5.51,88.18,11.30,12.60,0.82,-3.17,7.55,"1,661.00",12.79,2.66,2.84,6.62,7.36,KIAT,SET,SERVICE,TRANS
4Q2556,213.94,-75.00,-55.56,10.17,0.04,0.94,1.67,84.50,14.20,4.75,0.73,0.64,6.95,"1,529.00",11.90,2.53,2.74,7.19,6.87,KIAT,SET,SERVICE,TRANS
1Q2557,213.97,125.00,-40.00,20.21,0.09,1.93,3.24,83.55,15.95,9.44,0.63,15.73,6.30,"1,386.00",11.80,2.26,2.79,5.56,6.41,KIAT,SET,SERVICE,TRANS
2Q2557,214.87,22.22,-38.89,24.00,0.11,2.29,3.78,84.84,14.45,11.17,0.67,22.79,6.75,"1,485.00",14.10,2.34,2.88,5.19,7.49,KIAT,SET,SERVICE,TRANS
3Q2557,212.47,-9.09,-37.50,22.20,0.10,2.14,3.49,85.79,13.77,10.45,0.59,12.09,7.80,"1,716.00",19.46,2.70,2.89,4.49,8.86,KIAT,SET,SERVICE,TRANS
4Q2557,230.97,,,33.62,-0.25,3.28,5.15,86.16,12.68,14.56,0.54,8.48,13.10,"2,881.99",37.64,4.53,2.89,2.67,12.50,KIAT,SET,SERVICE,TRANS
1Q2558,222.91,,-77.78,39.68,0.02,3.23,4.46,86.24,12.41,17.80,0.28,12.88,1.02,"2,754.00",27.53,4.11,0.30,2.40,10.84,KIAT,SET,SERVICE,TRANS
2Q2558,218.97,-50.00,-90.91,34.15,0.01,2.43,3.10,85.49,13.31,15.60,0.27,3.19,1.31,"3,536.99",29.60,3.19,0.41,2.15,13.16,KIAT,SET,SERVICE,TRANS
3Q2558,208.93,0.00,-90.00,33.53,0.01,2.43,3.06,84.30,14.44,16.05,0.24,6.28,0.96,"2,592.00",19.99,2.37,0.40,2.93,9.45,KIAT,SET,SERVICE,TRANS
4Q2558,191.04,,,5.56,0.00,0.41,0.50,79.79,16.20,2.91,0.21,9.98,0.65,"1,755.00",12.45,1.60,0.41,4.33,7.56,KIAT,SET,SERVICE,TRANS
1Q2559,204.45,,-50.00,35.26,0.01,2.63,3.14,84.10,13.98,17.24,0.18,10.64,0.71,"1,917.00",16.98,1.74,0.41,5.63,8.31,KIAT,SET,SERVICE,TRANS
2Q2559,195.91,0.00,0.00,28.41,0.01,2.10,2.55,81.82,14.80,14.50,0.25,-53.26,0.72,"1,944.00",17.92,1.71,0.42,5.56,8.98,KIAT,SET,SERVICE,TRANS
3Q2559,205.98,0.00,0.00,24.11,0.01,1.85,2.23,86.61,16.20,11.70,0.15,-40.55,0.61,"1,647.00",16.03,1.52,0.40,6.56,7.69,KIAT,SET,SERVICE,TRANS
4Q2559,219.78,0.00,,27.49,0.01,2.22,2.51,82.41,16.83,12.51,0.11,-26.36,0.63,"1,701.00",18.23,1.57,0.40,6.35,7.03,KIAT,SET,SERVICE,TRANS
1Q2560,226.27,0.00,0.00,25.79,0.01,2.06,2.38,83.39,15.15,11.40,0.20,-86.49,0.66,"1,782.00",15.46,1.61,0.41,6.06,8.06,KIAT,SET,SERVICE,TRANS
2Q2560,215.98,-22.40,-22.40,22.15,0.01,1.79,2.08,78.38,20.73,10.26,0.12,-14.85,0.60,"1,620.00",15.31,1.54,0.39,6.67,7.27,KIAT,SET,SERVICE,TRANS
3Q2560,226.37,57.73,22.40,22.05,0.01,1.80,2.06,87.02,12.05,9.74,0.15,-31.76,0.60,"1,620.00",16.27,1.51,0.40,6.67,7.50,KIAT,SET,SERVICE,TRANS
4Q2560,202.30,,,18.84,0.00,1.53,1.74,81.04,18.29,9.31,0.12,-40.38,0.56,"1,512.00",15.51,1.41,0.40,7.14,7.11,KIAT,SET,SERVICE,TRANS
1Q2561,198.15,,-5.00,25.74,0.01,2.05,2.27,80.62,15.06,12.99,0.10,39.09,0.50,"1,350.00",15.23,1.24,0.40,6.00,5.96,KIAT,SET,SERVICE,TRANS
