,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,1.95,73.97,,,,,,,,KOOL,mai,SERVICE,-
1Q2558,141.44,,,-6.31,-0.02,-1.70,-5.99,55.78,42.50,-4.46,3.14,111.03,,,,,,,,KOOL,mai,SERVICE,-
2Q2558,295.82,,,33.48,0.09,8.19,28.15,70.39,29.71,11.32,1.91,96.22,,,,,,,,KOOL,mai,SERVICE,-
3Q2558,95.41,,,-17.18,-0.05,-3.63,-7.43,43.51,56.18,-18.00,0.69,108.70,2.02,969.60,36.82,0.00,0.00,0.00,12.89,KOOL,mai,SERVICE,-
4Q2558,108.11,78.01,,-1.97,-0.01,-0.36,-0.60,64.30,33.90,-1.82,0.68,167.96,1.25,600.00,71.05,1.84,0.68,0.00,28.45,KOOL,mai,SERVICE,-
1Q2559,228.69,,,16.60,0.04,2.98,4.96,71.95,26.59,7.26,0.65,162.69,1.57,753.60,93.90,2.31,0.68,1.27,18.59,KOOL,mai,SERVICE,-
2Q2559,442.38,325.00,82.80,85.37,0.17,14.12,22.42,86.44,13.40,19.30,0.53,158.99,2.44,"1,171.20",37.86,3.42,0.71,0.82,11.64,KOOL,mai,SERVICE,-
3Q2559,100.38,,86.80,-4.17,-0.01,-0.72,-1.02,65.91,33.53,-4.15,0.28,159.10,5.60,"2,688.00",32.46,6.42,0.87,0.36,20.71,KOOL,mai,SERVICE,-
4Q2559,118.14,-300.00,-140.00,-10.80,-0.02,-2.00,-2.74,49.02,48.04,-9.14,0.46,123.28,5.50,"2,640.00",27.55,6.60,0.83,0.36,23.42,KOOL,mai,SERVICE,-
1Q2560,206.15,-51.46,,-17.45,-0.04,-2.56,-4.58,67.68,30.84,-8.46,1.14,108.77,6.85,"3,288.00",37.80,8.45,0.81,1.10,44.34,KOOL,mai,SERVICE,-
2Q2560,206.83,93.54,,-1.13,-0.00,-0.15,-0.31,60.11,37.57,-0.55,1.01,178.34,3.46,"1,660.80",31.36,4.47,0.77,2.18,-88.87,KOOL,mai,SERVICE,-
3Q2560,61.50,"-2,082.98",-755.00,-26.36,-0.05,-4.15,-7.85,27.98,64.74,-42.86,0.77,220.63,2.98,"1,430.40",N/A,4.10,0.73,2.53,-39.07,KOOL,mai,SERVICE,-
4Q2560,78.87,-83.74,-292.75,-39.30,-0.09,-7.06,-13.07,34.78,61.95,-49.83,0.94,280.98,2.26,"1,084.80",N/A,3.36,0.67,3.34,-21.95,KOOL,mai,SERVICE,-
1Q2561,174.01,25.74,-92.57,-32.81,-0.07,-5.49,-12.49,58.77,37.99,-18.85,1.65,312.40,2.48,"1,190.40",N/A,4.27,0.58,0.00,-21.93,KOOL,mai,SERVICE,-
2Q2561,190.60,-59.67,"-4,656.17",-54.44,-0.11,-8.93,-24.86,63.62,37.42,-28.56,1.95,318.04,1.42,681.60,N/A,2.77,0.51,0.00,-8.65,KOOL,mai,SERVICE,-
3Q2561,96.99,83.69,64.46,-9.87,-0.02,-1.97,-5.28,55.43,43.37,-10.18,1.41,297.26,1.84,883.20,N/A,4.61,0.40,0.00,-10.95,KOOL,mai,SERVICE,-
4Q2561,111.12,-69.12,67.29,-11.77,-0.03,-2.62,-6.72,59.12,38.77,-10.59,1.73,275.13,1.13,542.40,N/A,2.98,0.38,0.00,-11.65,KOOL,mai,SERVICE,-
1Q2562,200.65,67.56,85.71,-3.86,-0.01,-0.77,-2.32,75.81,22.77,-1.92,2.27,264.09,1.40,672.00,N/A,3.99,0.35,0.00,-25.01,KOOL,mai,SERVICE,-
2Q2562,287.80,,,45.61,0.10,8.34,24.37,75.88,21.98,15.85,1.64,228.62,1.23,590.40,N/A,3.59,0.34,0.00,15.88,KOOL,mai,SERVICE,-
3Q2562,103.72,,45.15,-3.39,-0.01,-0.69,-1.63,71.99,34.43,-3.26,1.08,228.80,1.14,547.20,27.21,2.61,0.44,0.00,11.35,KOOL,mai,SERVICE,-
4Q2562,120.35,-54.80,49.79,-7.40,-0.02,-1.62,-3.66,65.06,26.92,-6.15,1.44,243.79,0.89,427.20,16.06,2.07,0.43,0.00,10.66,KOOL,mai,SERVICE,-
1Q2563,272.85,-29.20,-100.00,-11.39,-0.02,-2.13,-6.00,83.29,16.59,-4.18,2.22,241.75,0.48,230.40,7.44,1.17,0.41,0.00,11.02,KOOL,mai,SERVICE,-
2Q2563,308.18,,-10.00,45.03,0.09,7.77,21.93,83.70,16.13,14.61,1.51,257.56,0.81,388.80,16.59,2.13,0.38,0.00,12.69,KOOL,mai,SERVICE,-
3Q2563,95.84,,-330.90,-20.72,-0.04,-3.96,-9.53,63.41,36.52,-21.62,1.30,252.91,1.12,537.60,23.52,2.36,0.47,0.00,20.38,KOOL,mai,SERVICE,-
4Q2563,56.59,20.56,-121.12,-16.43,-0.03,-3.29,-8.27,56.14,43.27,-29.04,1.75,279.52,0.85,408.00,73.89,1.97,0.43,0.00,24.35,KOOL,mai,SERVICE,-
1Q2564,219.20,43.65,3.55,-9.26,-0.02,-1.68,-4.98,82.79,17.09,-4.22,2.20,326.30,1.41,676.80,N/A,3.55,0.40,0.00,34.24,KOOL,mai,SERVICE,-
2Q2564,144.62,,-94.83,1.94,0.00,0.34,0.82,74.49,25.41,1.34,0.95,419.73,0.95,684.00,N/A,3.77,0.30,0.00,-66.14,KOOL,mai,SERVICE,-
3Q2564,115.30,,81.55,-5.86,-0.01,-1.01,-1.84,49.43,34.13,-5.08,0.71,426.96,1.05,831.60,N/A,2.86,0.40,0.00,"2,242.91",KOOL,mai,SERVICE,-
4Q2564,66.51,-43.52,66.67,-8.19,-0.01,-1.34,-2.19,45.80,44.08,-12.32,0.57,419.36,1.00,857.00,N/A,2.48,0.44,0.00,136.00,KOOL,mai,SERVICE,-
1Q2565,247.20,,,15.73,0.01,1.87,2.79,80.43,14.75,6.36,0.45,415.40,0.90,"1,080.00",N/A,2.69,0.47,0.00,41.43,KOOL,mai,SERVICE,-
2Q2565,113.83,-53.35,39.35,10.47,0.01,0.78,1.00,69.79,20.02,9.20,0.18,471.30,0.55,"1,359.75",376.26,1.00,0.55,0.00,37.77,KOOL,mai,SERVICE,-
3Q2565,126.56,,95.35,7.79,-0.00,0.49,0.57,61.51,26.28,6.15,0.14,505.09,0.58,"1,458.64",120.12,1.06,0.55,0.00,30.46,KOOL,mai,SERVICE,-
