,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,814.45",91.28,,-155.07,-0.60,-0.33,-3.23,,,-5.51,8.67,,19.60,"5,053.53",N/A,1.04,18.86,0.00,,KTC,SET,FINCIAL,FIN
2Q2555,"2,760.95",,65.00,86.16,0.33,0.19,1.80,,,3.12,8.54,,17.30,"4,460.52",N/A,0.94,18.34,0.00,,KTC,SET,FINCIAL,FIN
3Q2555,"2,761.13",54.55,218.75,131.70,0.51,0.29,2.69,,,4.77,8.26,,25.00,"6,445.84",N/A,1.33,18.73,0.00,,KTC,SET,FINCIAL,FIN
4Q2555,"2,900.85",47.06,,192.22,0.75,0.40,3.78,,,6.63,8.47,,31.00,"7,992.84",N/A,1.61,19.29,0.00,,KTC,SET,FINCIAL,FIN
1Q2556,"2,877.38",118.67,,421.94,1.64,0.88,7.99,,,14.66,7.73,,40.50,"10,442.25",40.95,2.01,20.13,0.99,,KTC,SET,FINCIAL,FIN
2Q2556,"2,974.54",-23.65,279.43,323.74,1.25,0.68,5.91,,,10.88,7.66,,41.75,"10,764.54",12.94,2.00,20.83,0.96,,KTC,SET,FINCIAL,FIN
3Q2556,"3,018.01",-4.49,134.49,308.35,1.20,0.64,5.37,,,10.22,7.18,,36.50,"9,410.92",8.80,1.68,21.69,1.10,,KTC,SET,FINCIAL,FIN
4Q2556,"3,071.59",-25.86,18.22,228.60,0.89,0.46,3.80,,,7.44,7.47,,29.75,"7,670.54",6.15,1.30,22.88,1.34,,KTC,SET,FINCIAL,FIN
1Q2557,"2,858.63",55.65,-15.85,355.12,1.38,0.70,5.63,,,12.42,6.57,,34.75,"8,959.71",6.99,1.46,23.77,5.76,,KTC,SET,FINCIAL,FIN
2Q2557,"2,990.14",32.22,45.72,471.12,1.82,0.95,7.29,,,15.76,6.75,,44.00,"11,344.67",9.33,1.75,25.15,4.55,,KTC,SET,FINCIAL,FIN
3Q2557,"3,065.30",7.15,63.47,504.05,1.95,1.00,7.53,,,16.44,6.32,,68.25,"17,597.13",12.91,2.73,24.97,2.93,,KTC,SET,FINCIAL,FIN
4Q2557,"3,262.88",-15.57,86.15,424.69,1.65,0.81,5.94,,,13.02,6.40,,64.00,"16,501.34",10.59,2.38,26.93,3.12,,KTC,SET,FINCIAL,FIN
1Q2558,"3,114.42",34.95,61.41,574.29,2.23,1.07,7.50,,,18.44,5.62,,96.75,"24,945.38",14.21,3.39,28.58,2.84,,KTC,SET,FINCIAL,FIN
2Q2558,"3,197.66",-19.15,-1.30,464.30,1.80,0.87,5.94,,,14.52,5.99,,98.25,"25,332.13",12.83,3.19,30.80,2.80,,KTC,SET,FINCIAL,FIN
3Q2558,"3,282.76",7.52,-0.96,499.23,1.94,0.92,6.28,,,15.21,5.68,,93.75,"24,171.88",12.29,3.14,29.86,2.93,,KTC,SET,FINCIAL,FIN
4Q2558,"3,439.37",7.12,25.67,534.79,2.07,0.93,6.32,,,15.55,5.89,,97.75,"25,203.22",12.84,3.07,31.79,2.81,,KTC,SET,FINCIAL,FIN
1Q2559,"3,448.17",18.74,10.57,635.01,2.46,1.07,7.02,,,18.42,5.21,,87.00,"22,431.51",10.82,2.57,33.87,3.74,,KTC,SET,FINCIAL,FIN
2Q2559,"3,592.02",-8.76,24.79,579.86,2.25,0.98,6.28,,,16.14,5.62,,99.25,"25,589.97",12.00,2.73,36.33,3.27,,KTC,SET,FINCIAL,FIN
3Q2559,"3,685.41",10.36,28.08,639.61,2.48,1.05,6.78,,,17.36,5.27,,147.50,"38,030.43",16.91,4.17,35.33,2.20,,KTC,SET,FINCIAL,FIN
4Q2559,"3,942.71",0.40,20.05,640.22,2.49,0.99,6.38,,,16.24,5.62,,138.00,"35,581.01",14.89,3.65,37.81,2.36,,KTC,SET,FINCIAL,FIN
1Q2560,"3,896.17",14.10,15.36,732.55,2.84,1.10,6.85,,,18.80,4.92,,136.00,"35,065.34",14.06,3.40,40.03,2.94,,KTC,SET,FINCIAL,FIN
2Q2560,"4,020.60",7.31,35.68,786.65,3.05,1.20,7.20,,,19.57,5.12,,120.00,"30,940.01",11.94,2.80,42.87,3.33,,KTC,SET,FINCIAL,FIN
3Q2560,"4,075.34",7.58,32.26,846.06,3.28,1.26,7.53,,,20.76,4.85,,113.00,"29,135.17",10.41,2.70,41.92,3.54,,KTC,SET,FINCIAL,FIN
4Q2560,"4,220.47",11.15,46.41,939.07,3.65,1.32,7.75,,,22.25,4.85,,186.00,"47,957.01",15.96,4.11,45.21,2.15,,KTC,SET,FINCIAL,FIN
1Q2561,"4,135.27",28.61,65.03,"1,208.92",4.69,1.68,9.17,,,29.23,4.08,,307.00,"79,154.86",23.95,6.29,48.78,1.73,,KTC,SET,FINCIAL,FIN
2Q2561,"4,324.58",8.02,66.12,"1,305.88",5.06,1.84,9.49,,,30.20,4.24,,352.00,"90,757.36",24.01,6.58,53.47,1.51,,KTC,SET,FINCIAL,FIN
3Q2561,"4,407.81",,,"1,396.21",-8.23,1.92,9.68,,,31.68,3.85,,36.00,"92,820.03",21.59,6.76,5.32,1.47,,KTC,SET,FINCIAL,FIN
4Q2561,"4,568.17",,-87.11,"1,228.57",0.47,1.61,7.81,,,26.89,3.87,,30.50,"78,639.19",16.21,5.20,5.86,1.74,,KTC,SET,FINCIAL,FIN
1Q2562,"4,502.14",31.16,-86.85,"1,589.42",0.62,2.04,9.27,,,35.30,3.25,,35.25,"90,886.28",17.68,5.56,6.34,2.33,,KTC,SET,FINCIAL,FIN
2Q2562,"4,540.88",-16.74,-89.87,"1,323.28",0.51,1.71,7.54,,,29.14,3.56,,43.25,"111,512.95",20.20,6.22,6.96,1.90,,KTC,SET,FINCIAL,FIN
3Q2562,"4,641.99",-2.35,,"1,292.21",0.50,1.64,7.25,,,27.84,3.28,,42.75,"110,223.78",19.91,6.43,6.65,1.92,,KTC,SET,FINCIAL,FIN
4Q2562,"5,294.94",2.08,8.85,"1,319.05",0.51,1.60,6.91,,,24.91,3.33,,39.50,"101,844.20",18.74,5.52,7.15,2.08,,KTC,SET,FINCIAL,FIN
1Q2563,"4,830.26",24.40,3.24,"1,640.97",0.64,1.99,7.98,,,33.97,2.72,,27.25,"70,259.60",,,,3.23,,KTC,SET,FINCIAL,FIN
2Q2563,"4,701.66",-29.98,-13.18,"1,148.92",0.45,1.45,5.52,,,24.44,2.91,,30.00,"77,350.02",13.87,3.62,8.28,2.93,,KTC,SET,FINCIAL,FIN
3Q2563,"4,637.47",6.25,-5.53,"1,220.79",0.47,1.50,5.85,,,26.32,2.90,,34.75,"89,597.11",16.59,4.43,7.85,2.53,,KTC,SET,FINCIAL,FIN
4Q2563,"4,721.60",8.23,0.16,"1,321.23",0.51,1.54,5.96,,,27.98,2.87,,59.50,"153,410.88",28.78,7.15,8.32,1.48,,KTC,SET,FINCIAL,FIN
1Q2564,"4,482.52",23.64,-0.45,"1,633.59",0.63,1.89,6.90,,,36.44,2.43,,79.00,"203,688.39",38.19,8.93,8.84,1.11,,KTC,SET,FINCIAL,FIN
2Q2564,"6,315.48",2.85,46.24,"1,718.04",0.65,2.03,7.00,,,27.20,2.45,,67.00,"172,748.38",32.44,7.07,9.48,1.31,,KTC,SET,FINCIAL,FIN
3Q2564,"5,131.61",-21.62,7.88,"1,312.78",0.51,1.56,5.20,,,25.58,2.21,,54.75,"141,163.79",24.10,5.83,9.40,1.61,,KTC,SET,FINCIAL,FIN
4Q2564,"5,512.06",-5.24,-5.54,"1,124.12",0.48,1.30,4.24,,,20.39,2.30,,59.25,"152,766.29",25.67,5.98,9.91,1.49,,KTC,SET,FINCIAL,FIN
1Q2565,"5,356.65",40.49,7.33,"1,744.43",0.68,1.99,6.24,,,32.57,1.99,,61.50,"158,567.55",,,,1.63,,KTC,SET,FINCIAL,FIN
2Q2565,"5,734.81",7.35,12.02,"1,900.60",0.73,2.15,6.67,,,33.14,2.23,,56.75,"146,965.04",24.53,5.14,11.09,1.75,,KTC,SET,FINCIAL,FIN
3Q2565,"5,886.87",-5.48,35.09,"1,763.58",0.69,1.91,6.07,,,29.96,2.14,,57.25,"148,254.21",23.89,5.31,10.82,1.74,,KTC,SET,FINCIAL,FIN
