,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,526.56,70.83,24.24,20.04,0.41,1.25,3.68,78.99,20.34,3.81,1.81,307.26,11.30,577.47,8.03,1.12,11.24,5.04,9.83,L&E,SET,CONSUMP,HOME
2Q2555,475.75,-87.80,-82.14,2.76,0.05,0.18,0.49,78.43,21.16,0.58,1.80,311.18,11.70,598.35,7.80,1.04,11.23,4.87,10.01,L&E,SET,CONSUMP,HOME
3Q2555,596.22,"1,080.00",-18.06,30.13,0.59,1.89,5.35,79.31,19.76,5.05,1.86,312.01,12.70,649.49,9.76,1.19,10.71,4.48,11.29,L&E,SET,CONSUMP,HOME
4Q2555,674.73,23.73,204.17,37.10,0.73,2.17,6.21,81.30,18.33,5.50,1.85,306.93,13.90,714.87,11.22,1.24,11.30,4.07,10.12,L&E,SET,CONSUMP,HOME
1Q2556,505.49,-46.58,-4.88,21.22,0.39,1.26,3.25,76.74,22.68,4.20,1.35,321.12,18.90,"1,068.10",11.86,1.73,12.00,3.70,10.98,L&E,SET,CONSUMP,HOME
2Q2556,515.86,-15.38,560.00,19.38,0.33,1.18,2.81,76.65,22.50,3.76,1.43,325.05,0.00,"1,063.59",11.66,1.55,12.17,3.72,10.16,L&E,SET,CONSUMP,HOME
3Q2556,669.55,190.91,62.71,55.38,0.96,3.05,7.70,79.01,20.79,8.27,1.61,338.40,16.50,985.92,9.14,1.43,11.57,4.01,9.47,L&E,SET,CONSUMP,HOME
4Q2556,777.93,-16.67,9.59,47.42,0.80,2.37,6.17,80.23,19.44,6.10,1.59,344.03,20.20,"1,207.00",9.07,1.62,12.50,3.28,10.11,L&E,SET,CONSUMP,HOME
1Q2557,593.03,-91.25,-82.05,26.48,0.07,1.27,3.29,76.90,22.89,4.46,1.58,353.52,34.75,"2,076.40",14.48,2.63,13.24,0.72,13.49,L&E,SET,CONSUMP,HOME
2Q2557,599.08,-14.29,-81.82,23.60,0.06,1.08,2.87,76.51,23.03,3.94,1.72,371.67,6.10,"2,343.15",15.76,2.87,2.13,0.64,14.86,L&E,SET,CONSUMP,HOME
3Q2557,788.72,216.67,-80.21,73.01,0.19,3.01,8.44,79.64,20.12,9.26,1.89,382.86,7.05,"2,708.07",17.71,3.27,2.15,0.55,16.21,L&E,SET,CONSUMP,HOME
4Q2557,636.61,-68.42,-92.50,23.97,0.06,0.88,2.48,74.72,25.03,3.77,1.74,428.66,6.40,"2,757.86",16.17,3.06,2.35,0.54,18.25,L&E,SET,CONSUMP,HOME
1Q2558,579.66,-33.33,-42.86,17.38,0.04,0.61,1.67,73.78,25.23,3.00,1.72,462.10,6.35,"2,736.32",18.61,2.65,2.39,2.83,18.62,L&E,SET,CONSUMP,HOME
2Q2558,654.92,0.00,-33.33,16.11,0.04,0.56,1.58,75.24,24.20,2.46,1.92,461.03,5.10,"2,210.10",16.02,2.11,2.44,3.51,16.51,L&E,SET,CONSUMP,HOME
3Q2558,681.30,-25.00,-84.21,13.55,0.03,0.46,1.35,75.23,24.13,1.99,1.92,482.21,4.72,"2,045.42",15.65,2.06,2.30,3.79,20.29,L&E,SET,CONSUMP,HOME
4Q2558,770.67,33.33,-33.33,15.07,0.04,0.51,1.46,74.69,24.77,1.96,1.80,455.33,3.70,"1,645.96",22.42,1.58,2.34,4.84,17.30,L&E,SET,CONSUMP,HOME
1Q2559,679.57,-90.00,-90.00,1.90,0.00,0.07,0.18,76.37,23.01,0.28,1.67,431.04,3.60,"1,601.47",25.55,1.52,2.37,2.57,16.92,L&E,SET,CONSUMP,HOME
2Q2559,640.25,550.00,-35.00,11.67,0.03,0.41,1.12,74.35,25.07,1.82,1.77,437.08,3.16,"1,409.82",29.89,1.33,2.38,2.92,16.23,L&E,SET,CONSUMP,HOME
