,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,322.34,25.00,0.00,43.06,0.05,0.83,1.09,85.36,14.05,13.36,0.31,"8,041.52",2.50,"2,062.50",7.03,0.53,4.76,7.20,7.05,LALIN,SET,PROPCON,PROP
2Q2555,326.76,20.00,-53.85,44.58,0.06,0.85,1.13,85.16,13.76,13.64,0.34,"8,435.17",2.50,"2,062.50",7.06,0.52,4.81,7.20,8.98,LALIN,SET,PROPCON,PROP
3Q2555,448.40,33.33,-42.86,69.50,0.08,1.26,1.76,83.42,16.01,15.50,0.47,"8,152.15",2.92,"2,409.00",10.30,0.61,4.76,6.16,13.92,LALIN,SET,PROPCON,PROP
4Q2555,632.79,75.00,250.00,112.01,0.14,1.92,2.80,87.78,11.92,17.70,0.44,"7,046.40",3.06,"2,524.50",13.32,0.64,4.79,5.88,10.56,LALIN,SET,PROPCON,PROP
1Q2556,626.56,0.00,180.00,117.26,0.14,1.97,2.84,88.77,10.81,18.71,0.44,"6,523.11",4.00,"3,300.00",12.26,0.81,4.92,4.50,10.19,LALIN,SET,PROPCON,PROP
2Q2556,589.13,0.00,133.33,109.67,0.14,1.80,2.61,88.48,11.16,18.62,0.46,"6,156.38",4.22,"3,481.50",10.14,0.83,5.08,4.27,9.24,LALIN,SET,PROPCON,PROP
3Q2556,573.15,-15.66,47.59,101.48,0.12,1.59,2.41,87.51,12.06,17.71,0.58,"6,319.75",4.66,"3,844.50",9.41,0.92,5.09,3.86,10.25,LALIN,SET,PROPCON,PROP
4Q2556,544.61,-7.71,-22.16,89.90,0.11,1.33,2.12,86.49,12.86,16.51,0.61,"6,772.31",3.94,"3,250.50",7.38,0.77,5.10,4.57,10.00,LALIN,SET,PROPCON,PROP
1Q2557,659.81,37.65,7.14,125.45,0.15,1.80,2.88,89.45,9.91,19.01,0.60,"7,197.97",3.50,"2,887.50",6.90,0.67,5.20,7.00,9.22,LALIN,SET,PROPCON,PROP
2Q2557,669.10,13.33,21.43,137.46,0.17,1.99,3.10,89.64,9.37,20.54,0.52,"7,574.68",4.04,"3,333.00",7.81,0.75,5.36,6.06,9.00,LALIN,SET,PROPCON,PROP
