,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,731.94",47.17,-7.14,398.30,0.78,5.54,9.47,80.59,17.16,14.58,0.65,50.84,29.25,"10,237.50",9.81,3.13,9.35,6.15,4.24,LANNA,SET,RESOURC,ENERG
2Q2555,"3,908.43",25.64,15.29,533.64,0.98,7.36,12.16,82.03,17.74,13.65,0.65,37.81,25.00,"8,750.00",8.56,2.50,10.02,7.20,3.72,LANNA,SET,RESOURC,ENERG
3Q2555,"2,986.27",-54.08,-40.79,214.48,0.45,2.90,4.76,77.74,22.04,7.18,0.63,26.71,25.75,"9,012.50",8.44,2.54,10.12,6.99,4.56,LANNA,SET,RESOURC,ENERG
4Q2555,"3,822.64",-8.89,-22.64,226.39,0.41,3.02,5.00,75.20,24.48,5.92,0.69,19.52,23.10,"8,085.00",8.42,2.21,10.45,7.79,4.40,LANNA,SET,RESOURC,ENERG
1Q2556,"2,868.92",24.39,-34.62,263.56,0.51,3.47,5.74,77.85,21.80,9.19,0.63,13.83,25.25,"8,837.50",9.65,2.45,10.32,3.96,5.19,LANNA,SET,RESOURC,ENERG
2Q2556,"2,848.99",-70.59,-84.69,256.63,0.15,3.27,5.36,76.19,23.55,9.01,0.65,16.65,10.60,"5,565.00",6.77,1.47,7.21,6.29,4.56,LANNA,SET,RESOURC,ENERG
3Q2556,"3,209.56",20.00,-60.00,121.12,0.18,1.47,2.46,76.17,23.63,3.77,0.70,12.65,12.00,"6,300.00",9.78,1.63,7.36,5.56,5.45,LANNA,SET,RESOURC,ENERG
4Q2556,"3,236.49",38.89,-39.02,185.29,0.25,2.18,3.70,77.66,22.10,5.72,0.69,12.97,11.60,"6,090.00",10.49,1.53,7.57,5.75,6.23,LANNA,SET,RESOURC,ENERG
1Q2557,"3,295.15",64.00,-19.61,316.57,0.41,3.58,6.12,78.62,21.16,9.61,0.72,14.27,11.70,"6,142.50",10.73,1.53,7.63,6.41,6.20,LANNA,SET,RESOURC,ENERG
2Q2557,"3,510.45",-54.30,24.91,148.71,0.19,1.63,2.68,76.72,23.03,4.24,0.57,14.91,13.80,"7,245.00",11.89,1.72,8.00,5.43,6.94,LANNA,SET,RESOURC,ENERG
3Q2557,"2,676.09",-45.23,-42.98,68.23,0.10,0.76,1.18,78.79,20.77,2.55,0.54,29.24,13.70,"7,192.50",13.30,1.73,7.94,5.47,7.23,LANNA,SET,RESOURC,ENERG
