,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,982.42,-8.33,37.50,89.69,0.11,3.45,3.84,93.32,5.61,9.13,0.08,969.61,3.92,"3,034.25",9.89,1.34,2.93,5.36,5.48,LEE,SET,AGRO,AGRI
2Q2555,"1,023.08",9.09,50.00,80.98,0.12,3.45,3.84,93.18,5.17,7.92,0.15,926.61,3.64,"2,817.52",7.28,1.04,3.04,6.63,5.52,LEE,SET,AGRO,AGRI
3Q2555,"1,031.61",-25.00,-30.77,65.06,0.09,3.02,3.49,93.80,5.39,6.31,0.16,896.70,3.78,"2,976.94",7.37,1.44,2.63,6.25,6.53,LEE,SET,AGRO,AGRI
4Q2555,"1,080.53",-33.33,-50.00,40.64,0.06,1.73,1.99,94.20,4.87,3.76,0.14,914.99,3.66,"2,882.43",8.96,1.54,2.72,5.64,6.90,LEE,SET,AGRO,AGRI
1Q2556,908.74,-50.00,-72.73,20.99,0.03,0.85,0.97,92.74,6.26,2.31,0.13,888.20,3.32,"2,568.45",9.45,1.19,2.79,6.33,7.94,LEE,SET,AGRO,AGRI
2Q2556,"1,012.26",144.70,-38.83,63.51,0.07,2.47,2.77,93.27,5.55,6.27,0.12,919.16,2.76,"2,545.22",12.41,1.19,2.75,6.38,6.89,LEE,SET,AGRO,AGRI
3Q2556,"1,118.41",31.58,7.32,89.33,0.10,3.21,3.62,93.70,5.31,7.99,0.14,845.86,2.72,"2,508.33",13.33,1.04,2.60,6.48,6.38,LEE,SET,AGRO,AGRI
4Q2556,954.61,-27.60,16.55,63.66,0.07,2.21,2.50,93.48,5.29,6.67,0.13,805.07,2.70,"2,489.89",11.75,1.00,2.70,6.52,6.11,LEE,SET,AGRO,AGRI
1Q2557,799.27,-42.80,33.33,34.65,0.04,1.18,1.34,91.61,6.87,4.34,0.13,749.83,2.86,"2,637.44",11.28,1.03,2.77,7.69,6.08,LEE,SET,AGRO,AGRI
2Q2557,931.41,-3.55,-47.45,39.54,0.04,1.40,1.56,92.07,6.00,4.25,0.11,720.42,3.04,"2,803.43",11.36,1.08,2.80,7.24,7.08,LEE,SET,AGRO,AGRI
