,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2558,,,,,,,,,,,0.29,,,,,,,,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2559,97.52,,,85.61,,2.14,2.68,,,87.79,0.21,,11.10,"3,481.68",,1.10,10.05,0.00,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2559,87.81,,,161.63,,4.07,4.93,,,184.07,0.21,,12.40,"3,889.44",,1.20,10.33,0.43,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2559,96.69,,,82.69,,2.06,2.49,,,85.52,0.21,,13.50,"4,234.48",,1.27,10.59,0.39,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2559,95.40,,,80.37,,2.00,2.42,,,84.25,0.21,,13.20,"4,140.38",,1.25,10.59,0.40,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2560,104.26,,,91.28,,2.26,2.73,,,87.55,0.21,,13.60,"4,265.84",,1.28,10.61,6.86,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2560,107.99,,,372.08,,5.98,7.51,,,344.55,0.28,,13.00,"6,992.96",,1.22,10.67,4.18,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2560,197.72,,,172.54,,2.07,2.62,,,87.26,0.24,,13.80,"7,423.29",,1.13,12.19,3.94,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2560,190.45,,,163.86,,1.99,2.47,,,86.04,0.24,,15.00,"8,068.80",,1.22,12.32,3.62,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2561,209.60,,,183.26,,2.21,2.75,,,87.43,0.24,,15.50,"8,337.76",,1.26,12.34,5.63,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2561,173.90,,,166.20,,2.00,2.48,,,95.57,0.24,,15.20,"8,176.38",,1.22,12.42,5.74,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2561,208.20,,,210.04,,2.51,3.11,,,100.88,0.24,,15.80,"8,499.13",,1.26,12.49,5.52,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2561,180.94,,,147.69,,1.76,2.18,,,81.63,0.24,,16.20,"8,714.30",,1.28,12.60,5.38,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2562,212.07,,,183.19,,2.18,2.70,,,86.38,0.24,,18.50,"9,951.52",,1.47,12.58,5.95,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2562,171.04,,,153.88,,1.82,2.26,,,89.97,0.24,,20.10,"10,812.19",,1.59,12.64,5.47,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2562,200.33,,,185.18,,2.19,2.71,,,92.43,0.23,,19.90,"10,704.61",,1.57,12.68,5.53,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2562,233.27,,,163.35,,1.55,2.38,,,70.03,0.85,,19.50,"10,489.44",,1.53,12.75,5.64,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2563,167.41,,,113.63,,0.90,1.66,,,67.87,0.85,,13.70,"7,369.50",,,,8.10,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2563,0.64,,,-476.45,,-3.86,-7.27,,,"-74,796.08",0.92,,11.70,"6,293.66",,0.92,12.73,9.49,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2563,19.02,,,-59.54,,-0.49,-0.95,,,-313.05,0.93,,9.70,"5,217.82",,0.83,11.69,11.44,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2563,0.31,,,-62.61,,-0.52,-1.01,,,"-20,519.26",0.94,,10.00,"5,379.20",,0.86,11.58,11.10,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2564,0.22,,,-52.23,,-0.44,-0.85,,,"-23,316.07",0.95,,10.10,"5,432.99",,0.88,11.46,0.99,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2564,0.15,,,-94.89,,-0.80,-1.56,,,"-62,430.26",0.98,,9.85,"5,298.51",,0.87,11.36,1.02,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2564,18.82,,,-181.73,,-1.54,-3.06,,,-965.87,1.01,,9.10,"4,895.07",,0.81,11.19,1.10,,LHHOTEL,SET,PROPCON,PF&REIT
4Q2564,0.45,,,-108.17,,-0.92,-1.87,,,"-24,266.34",1.04,,8.20,"4,410.94",,0.76,10.85,1.22,,LHHOTEL,SET,PROPCON,PF&REIT
1Q2565,0.29,,,-47.70,,-0.41,-0.84,,,"-16,446.55",1.05,,8.35,"4,491.63",,,,1.20,,LHHOTEL,SET,PROPCON,PF&REIT
2Q2565,159.24,,,271.44,,2.30,4.67,,,170.46,1.01,,9.10,"4,921.97",,0.87,10.56,0.00,,LHHOTEL,SET,PROPCON,PF&REIT
3Q2565,229.05,,,296.69,,2.44,4.86,,,129.53,0.97,,11.00,"5,917.12",,0.99,11.06,0.00,,LHHOTEL,SET,PROPCON,PF&REIT
