,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,,,,,,,,,,,0.01,,,,,,,,,LHPF,SET,PROPCON,PF&REIT
2Q2555,78.78,,,42.83,,1.27,1.29,,,54.37,0.02,,10.00,"3,300.00",,1.00,10.02,0.00,,LHPF,SET,PROPCON,PF&REIT
3Q2555,97.89,,,56.63,,1.65,1.69,,,57.85,0.03,,10.40,"3,432.00",,1.02,10.15,0.00,,LHPF,SET,PROPCON,PF&REIT
4Q2555,120.91,,,74.34,,2.15,2.20,,,61.48,0.03,,10.50,"3,465.00",,1.04,10.13,0.00,,LHPF,SET,PROPCON,PF&REIT
1Q2556,86.21,,,160.93,,4.56,4.68,,,186.67,0.03,,10.70,"3,531.00",,1.03,10.35,5.09,,LHPF,SET,PROPCON,PF&REIT
2Q2556,117.70,,,76.67,,2.14,2.19,,,65.13,0.02,,10.00,"3,300.00",,0.95,10.49,5.45,,LHPF,SET,PROPCON,PF&REIT
3Q2556,84.70,,,43.95,,1.23,1.25,,,51.90,0.03,,9.70,"3,201.00",,0.90,10.72,5.62,,LHPF,SET,PROPCON,PF&REIT
4Q2556,123.02,,,77.62,,2.16,2.21,,,63.10,0.03,,9.35,"3,085.50",,0.89,10.51,5.83,,LHPF,SET,PROPCON,PF&REIT
1Q2557,99.46,,,-93.20,,-2.64,-2.71,,,-93.71,0.03,,9.35,"3,085.50",,0.87,10.74,7.49,,LHPF,SET,PROPCON,PF&REIT
2Q2557,102.61,,,108.78,,3.13,3.21,,,106.01,0.02,,9.20,"3,036.00",,0.91,10.11,7.61,,LHPF,SET,PROPCON,PF&REIT
3Q2557,103.06,,,60.79,,1.73,1.78,,,58.99,0.03,,9.15,"3,019.50",,0.88,10.44,7.65,,LHPF,SET,PROPCON,PF&REIT
4Q2557,103.00,,,60.78,,1.73,1.78,,,59.01,0.03,,8.60,"2,838.00",,0.84,10.27,8.14,,LHPF,SET,PROPCON,PF&REIT
1Q2558,98.35,,,60.80,,1.73,1.78,,,61.82,0.02,,8.25,"2,722.50",,0.79,10.46,8.48,,LHPF,SET,PROPCON,PF&REIT
2Q2558,102.67,,,120.80,,3.41,3.50,,,117.66,0.02,,8.60,"2,838.00",,0.84,10.28,8.14,,LHPF,SET,PROPCON,PF&REIT
3Q2558,105.18,,,60.78,,1.70,1.74,,,57.78,0.03,,8.50,"2,805.00",,0.80,10.66,8.24,,LHPF,SET,PROPCON,PF&REIT
4Q2558,104.93,,,60.79,,1.70,1.74,,,57.93,0.02,,8.20,"2,706.00",,0.78,10.49,8.54,,LHPF,SET,PROPCON,PF&REIT
1Q2559,92.07,,,49.72,,1.39,1.42,,,54.01,0.02,,9.15,"3,019.50",,0.86,10.67,7.65,,LHPF,SET,PROPCON,PF&REIT
2Q2559,89.31,,,71.28,,2.01,2.05,,,79.81,0.02,,9.05,"2,986.50",,0.86,10.47,7.73,,LHPF,SET,PROPCON,PF&REIT
3Q2559,92.04,,,46.79,,1.31,1.34,,,50.84,0.02,,9.15,"3,019.50",,0.87,10.56,7.65,,LHPF,SET,PROPCON,PF&REIT
4Q2559,91.27,,,46.23,,1.29,1.33,,,50.65,0.02,,9.05,"2,986.50",,0.86,10.56,7.73,,LHPF,SET,PROPCON,PF&REIT
