,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"3,475.42",,17.80,159.42,0.08,1.28,3.55,86.13,13.10,4.59,1.75,-100.71,3.88,"7,760.00",26.03,1.85,2.10,1.93,20.34,LOXLEY,SET,SERVICE,COMM
2Q2555,"3,419.45",-59.14,-40.83,65.63,0.03,0.49,1.45,84.79,14.61,1.92,2.10,-77.30,3.70,"7,400.00",23.16,1.69,2.19,2.03,23.25,LOXLEY,SET,SERVICE,COMM
3Q2555,"3,548.60",101.01,57.27,139.57,0.07,1.07,3.05,85.65,13.59,3.93,1.59,-73.28,4.56,"9,120.00",32.98,2.12,2.15,1.64,20.09,LOXLEY,SET,SERVICE,COMM
4Q2555,"3,796.19",16.88,,158.57,0.08,1.25,3.35,84.37,14.82,4.18,1.78,-51.27,5.05,"10,100.00",31.51,2.27,2.22,1.49,17.84,LOXLEY,SET,SERVICE,COMM
1Q2556,"3,622.46",140.05,130.41,389.20,0.19,2.84,7.68,85.72,13.78,10.74,1.65,-24.61,7.00,"14,000.00",27.94,3.20,2.19,1.36,17.50,LOXLEY,SET,SERVICE,COMM
2Q2556,"3,710.49",-78.98,18.52,115.59,0.04,0.79,2.18,84.21,14.74,3.12,1.83,-45.57,5.45,"11,444.75",15.45,2.27,2.52,1.75,15.46,LOXLEY,SET,SERVICE,COMM
3Q2556,"3,523.12",-24.69,-55.60,73.04,0.03,0.51,1.37,84.58,14.91,2.07,1.55,-59.17,4.58,"9,617.79",12.38,1.92,2.38,2.08,13.93,LOXLEY,SET,SERVICE,COMM
4Q2556,"4,177.78",-33.49,-74.73,50.39,0.02,0.37,0.94,82.67,16.61,1.21,1.47,-45.10,3.60,"7,559.84",10.80,1.50,2.40,2.65,13.31,LOXLEY,SET,SERVICE,COMM
1Q2557,"3,527.83",150.00,-73.68,110.66,0.05,0.85,2.02,83.69,15.31,3.14,1.30,-8.29,3.78,"7,937.83",13.45,1.56,2.42,2.51,17.16,LOXLEY,SET,SERVICE,COMM
2Q2557,"3,989.86",-40.00,-24.87,67.70,0.03,0.53,1.22,88.26,11.08,1.70,1.32,-3.30,4.48,"9,407.80",30.02,1.79,2.51,2.12,20.77,LOXLEY,SET,SERVICE,COMM
3Q2557,"4,184.05",33.33,33.02,117.54,0.04,0.89,1.98,87.69,11.91,2.81,1.16,-9.28,4.90,"10,289.78",38.67,1.98,2.48,1.94,19.77,LOXLEY,SET,SERVICE,COMM
4Q2557,"2,892.50",0.00,100.00,90.87,0.04,0.66,1.43,75.63,22.99,3.14,1.15,-19.38,4.26,"9,648.71",31.35,1.60,2.66,2.07,17.93,LOXLEY,SET,SERVICE,COMM
1Q2558,"2,665.00",-58.40,-66.72,36.99,0.02,0.28,0.57,78.78,19.55,1.39,1.00,-3.15,4.14,"9,376.91",26.60,1.54,2.69,2.42,20.48,LOXLEY,SET,SERVICE,COMM
2Q2558,"2,448.60",,,-0.31,-0.01,0.00,0.00,84.15,14.68,-0.01,1.08,17.78,3.60,"8,153.84",28.39,1.32,2.72,2.78,22.69,LOXLEY,SET,SERVICE,COMM
3Q2558,"3,042.47",,25.00,106.33,0.05,0.82,1.69,78.80,20.33,3.49,1.05,62.99,2.60,"5,888.88",25.92,0.99,2.62,3.85,19.62,LOXLEY,SET,SERVICE,COMM
4Q2558,"3,447.08",-40.00,-25.00,79.87,0.03,0.59,1.24,83.81,15.28,2.32,1.17,75.56,2.32,"5,254.70",23.08,0.87,2.66,4.31,20.20,LOXLEY,SET,SERVICE,COMM
1Q2559,"3,148.57",66.67,200.48,130.18,0.05,0.90,1.97,84.71,14.87,4.13,1.22,26.07,2.52,"5,707.69",27.19,0.93,2.72,1.98,18.06,LOXLEY,SET,SERVICE,COMM
2Q2559,"3,538.51",-40.00,,57.55,0.03,0.39,0.87,83.84,14.82,1.63,1.31,-17.16,2.64,"5,979.48",20.33,0.95,2.78,1.89,17.58,LOXLEY,SET,SERVICE,COMM
3Q2559,"3,513.15",33.33,-20.00,93.17,0.04,0.62,1.41,85.81,13.82,2.65,1.26,-55.83,3.20,"7,247.86",19.99,1.16,2.76,1.56,18.78,LOXLEY,SET,SERVICE,COMM
4Q2559,"3,615.10",,,-103.78,-0.04,-0.68,-1.56,82.45,16.68,-2.87,1.37,-58.13,3.12,"7,066.66",20.13,1.12,2.78,1.60,24.88,LOXLEY,SET,SERVICE,COMM
