,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"2,162.42",400.00,-25.93,294.46,0.20,2.95,4.23,90.98,8.59,13.62,0.53,"1,709.29",15.50,"22,873.33",11.93,3.21,4.83,4.19,10.00,LPN,SET,PROPCON,PROP
2Q2555,"1,118.10",-50.42,-75.21,147.01,0.10,1.23,2.15,72.50,26.90,13.15,0.94,"1,787.23",17.20,"25,382.02",14.05,3.74,4.59,3.78,16.12,LPN,SET,PROPCON,PROP
3Q2555,"3,119.15",273.98,-37.15,541.16,0.37,3.83,7.70,95.92,3.82,17.35,1.07,"2,349.25",18.80,"27,743.14",20.15,4.01,4.69,3.46,24.42,LPN,SET,PROPCON,PROP
4Q2555,"6,962.97",123.82,"1,975.00","1,234.22",0.83,8.60,15.93,87.94,11.87,17.73,0.66,"2,314.81",17.90,"26,415.01",25.28,3.70,4.83,3.63,10.39,LPN,SET,PROPCON,PROP
1Q2556,"2,488.29",-71.08,20.00,360.08,0.24,2.40,4.38,88.48,10.92,14.47,1.00,"2,467.38",25.25,"37,261.39",16.81,4.45,5.67,3.01,14.54,LPN,SET,PROPCON,PROP
2Q2556,"4,311.63",129.17,454.66,800.18,0.55,4.97,9.46,93.17,6.59,18.56,0.82,"2,705.09",24.10,"35,564.34",15.58,4.41,5.46,3.15,10.73,LPN,SET,PROPCON,PROP
3Q2556,"3,472.87",-25.45,10.56,614.48,0.41,3.76,6.85,92.12,7.57,17.69,0.83,"2,576.74",20.50,"30,251.82",10.31,3.41,6.00,3.71,9.23,LPN,SET,PROPCON,PROP
4Q2556,"4,127.72",-7.80,-54.46,553.92,0.38,3.25,5.92,78.95,20.62,13.42,0.81,"2,746.06",15.50,"22,873.33",7.60,2.52,6.16,4.90,9.82,LPN,SET,PROPCON,PROP
1Q2557,"2,510.73",-37.13,-0.99,350.67,0.24,1.94,3.74,85.59,14.08,13.97,1.06,"2,617.35",16.00,"23,611.18",10.14,2.45,6.52,5.25,10.46,LPN,SET,PROPCON,PROP
2Q2557,"2,524.66",4.63,-54.79,366.91,0.25,1.97,3.94,84.66,14.45,14.53,0.93,"2,556.44",20.30,"29,956.68",12.92,3.28,6.18,4.14,15.50,LPN,SET,PROPCON,PROP
3Q2557,"3,545.20",54.33,-6.41,561.07,0.38,2.99,5.86,98.08,1.74,15.83,0.99,"3,056.09",21.70,"32,022.66",16.98,3.38,6.43,3.87,17.21,LPN,SET,PROPCON,PROP
4Q2557,"4,333.89",30.30,32.28,742.90,0.50,3.81,7.40,94.41,5.35,17.14,0.90,"5,238.92",22.00,"32,465.37",17.72,3.36,6.55,3.82,15.60,LPN,SET,PROPCON,PROP
1Q2558,"2,194.87",-60.00,-15.84,292.11,0.20,1.43,2.77,88.15,11.28,13.31,0.96,"6,354.51",16.80,"24,791.74",12.26,2.38,7.05,4.76,13.48,LPN,SET,PROPCON,PROP
2Q2558,"5,188.66",180.00,125.23,822.35,0.56,3.92,7.68,93.79,6.05,15.85,0.96,"7,039.08",17.60,"25,972.30",13.23,2.43,7.25,4.55,11.27,LPN,SET,PROPCON,PROP
3Q2558,"6,053.25",21.49,77.29,"1,011.02",0.68,4.98,9.18,85.13,14.66,16.70,0.74,"3,441.57",17.00,"25,086.88",10.37,2.34,7.27,4.71,8.76,LPN,SET,PROPCON,PROP
