,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,115.29",,-80.87,63.27,0.35,0.33,0.43,53.86,44.88,5.67,0.32,467.39,42.25,"7,042.34",N/A,0.49,85.83,0.00,205.06,LRH,SET,SERVICE,TOURISM
2Q2555,999.61,,,-53.81,-0.34,-0.28,-0.37,52.12,46.37,-5.38,0.32,435.62,0.00,"6,583.97",N/A,0.46,86.09,0.00,-44.77,LRH,SET,SERVICE,TOURISM
3Q2555,903.77,-123.53,23.23,-122.94,-0.76,-0.64,-0.85,45.75,52.82,-13.60,0.33,396.93,36.25,"6,042.25",N/A,0.42,85.82,0.00,-59.62,LRH,SET,SERVICE,TOURISM
4Q2555,"1,199.40",,,172.04,1.00,0.89,1.18,59.54,38.27,14.34,0.32,420.67,34.50,"5,750.55",N/A,0.41,85.00,0.00,17.60,LRH,SET,SERVICE,TOURISM
1Q2556,"1,274.69",-60.00,14.29,69.73,0.40,0.36,0.51,55.76,43.37,5.47,0.57,400.65,35.50,"5,917.24",142.95,0.41,86.40,0.35,20.54,LRH,SET,SERVICE,TOURISM
2Q2556,931.90,,-81.91,-105.22,-0.62,-0.54,-0.85,38.14,59.10,-11.29,0.55,382.57,32.50,"5,417.19",110.51,0.44,73.17,0.38,22.36,LRH,SET,SERVICE,TOURISM
3Q2556,863.20,-19.89,2.43,-122.90,-0.74,-0.64,-1.00,36.47,61.71,-14.24,0.55,368.93,29.50,"4,917.14","1,643.61",0.41,72.62,0.42,22.62,LRH,SET,SERVICE,TOURISM
4Q2556,"1,282.65",,63.07,275.02,1.63,1.48,2.32,58.80,38.21,21.44,0.58,411.83,27.50,"4,583.77",701.56,0.38,71.98,0.45,16.18,LRH,SET,SERVICE,TOURISM
1Q2557,"1,208.99",-61.42,57.27,104.78,0.63,0.58,0.91,55.90,43.45,8.67,0.56,467.97,30.50,"5,083.82",45.48,0.46,66.73,1.11,16.34,LRH,SET,SERVICE,TOURISM
2Q2557,776.49,,35.48,-68.28,-0.40,-0.38,-0.59,47.37,47.92,-8.79,0.58,565.50,33.00,"5,500.53",36.56,0.49,67.80,1.03,16.86,LRH,SET,SERVICE,TOURISM
3Q2557,797.75,-57.87,15.04,-106.03,-0.63,-0.58,-0.93,50.31,48.47,-13.29,0.60,678.31,34.50,"5,750.55",30.75,0.51,67.23,0.99,16.89,LRH,SET,SERVICE,TOURISM
4Q2557,"1,233.19",,-68.80,90.74,0.51,0.49,0.80,68.22,30.43,7.36,0.64,742.70,29.25,"4,875.47",23.88,0.44,66.40,1.16,24.11,LRH,SET,SERVICE,TOURISM
1Q2558,"1,304.03",19.29,-3.51,98.78,0.61,0.52,0.86,58.65,37.75,7.57,0.65,791.09,0.00,"4,833.80",266.47,0.43,66.75,0.43,23.77,LRH,SET,SERVICE,TOURISM
2Q2558,854.05,,-82.40,-120.08,-0.73,-0.63,-1.04,49.68,46.30,-14.06,0.68,827.54,27.50,"4,583.77",316.99,0.41,67.67,0.45,24.96,LRH,SET,SERVICE,TOURISM
3Q2558,"1,102.20",27.31,16.02,-86.52,-0.53,-0.45,-0.76,61.92,37.40,-7.85,0.73,854.22,25.50,"4,250.41",N/A,0.38,66.86,0.49,23.47,LRH,SET,SERVICE,TOURISM
4Q2558,"2,397.96",,234.39,284.26,1.70,1.43,2.47,78.40,20.52,11.85,0.72,776.04,23.50,"3,917.04",N/A,0.35,66.42,0.53,14.37,LRH,SET,SERVICE,TOURISM
1Q2559,"1,652.20",-33.11,87.51,196.58,1.14,0.98,1.67,72.10,27.02,11.90,0.67,759.57,24.40,"4,067.06",23.21,0.36,68.34,1.48,12.07,LRH,SET,SERVICE,TOURISM
2Q2559,"1,114.07",,59.76,-49.92,-0.29,-0.25,-0.42,58.70,38.09,-4.48,0.65,695.95,25.25,"4,208.74",15.95,0.36,69.68,1.43,13.05,LRH,SET,SERVICE,TOURISM
3Q2559,902.10,-113.49,-18.18,-113.76,-0.63,-0.59,-0.97,51.35,46.43,-12.61,0.65,643.96,24.60,"4,100.39",12.19,0.36,69.04,1.46,11.13,LRH,SET,SERVICE,TOURISM
