,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,37.06,,,34.67,,1.69,1.72,,,93.54,0.02,,4.46,876.39,,0.43,10.36,15.70,,LUXF,SET,PROPCON,PF&REIT
2Q2555,37.09,,,34.67,,1.69,1.72,,,93.50,0.01,,4.50,884.25,,0.44,10.19,15.56,,LUXF,SET,PROPCON,PF&REIT
3Q2555,37.07,,,35.29,,1.73,1.75,,,95.19,0.00,,5.20,"1,021.80",,0.50,10.36,13.46,,LUXF,SET,PROPCON,PF&REIT
4Q2555,35.88,,,34.29,,1.70,1.70,,,95.58,0.00,,5.85,"1,149.53",,0.57,10.19,11.97,,LUXF,SET,PROPCON,PF&REIT
1Q2556,17.55,,,12.82,,0.64,0.64,,,73.01,0.00,,7.15,"1,404.97",,0.69,10.36,9.82,,LUXF,SET,PROPCON,PF&REIT
2Q2556,17.51,,,13.75,,0.69,0.69,,,78.55,0.00,,7.30,"1,434.45",,0.72,10.08,9.62,,LUXF,SET,PROPCON,PF&REIT
3Q2556,17.77,,,20.17,,1.01,1.01,,,113.50,0.01,,6.00,"1,179.00",,0.59,10.15,11.70,,LUXF,SET,PROPCON,PF&REIT
4Q2556,22.83,,,21.60,,1.07,1.08,,,94.59,0.01,,5.60,"1,100.40",,0.55,10.12,12.53,,LUXF,SET,PROPCON,PF&REIT
1Q2557,17.87,,,15.54,,0.77,0.78,,,86.95,0.01,,5.50,"1,080.75",,0.54,10.23,5.45,,LUXF,SET,PROPCON,PF&REIT
2Q2557,17.76,,,14.67,,0.73,0.73,,,82.60,0.01,,5.20,"1,021.80",,0.51,10.14,5.77,,LUXF,SET,PROPCON,PF&REIT
3Q2557,17.91,,,140.48,,6.72,6.81,,,784.39,0.02,,5.35,"1,051.28",,0.52,10.22,5.61,,LUXF,SET,PROPCON,PF&REIT
4Q2557,21.78,,,19.52,,0.90,0.92,,,89.61,0.01,,5.10,"1,002.15",,0.47,10.79,5.88,,LUXF,SET,PROPCON,PF&REIT
1Q2558,17.93,,,14.69,,0.68,0.69,,,81.93,0.01,,5.45,"1,070.92",,0.50,10.89,5.71,,LUXF,SET,PROPCON,PF&REIT
2Q2558,17.79,,,11.82,,0.55,0.56,,,66.45,0.01,,5.10,"1,002.15",,0.47,10.79,6.10,,LUXF,SET,PROPCON,PF&REIT
3Q2558,17.75,,,40.18,,1.85,1.88,,,226.43,0.02,,5.25,"1,031.63",,0.48,10.85,5.92,,LUXF,SET,PROPCON,PF&REIT
4Q2558,43.04,,,40.79,,1.85,1.89,,,94.78,0.02,,5.60,"1,100.40",,0.51,10.90,5.55,,LUXF,SET,PROPCON,PF&REIT
1Q2559,18.86,,,16.71,,0.76,0.77,,,88.60,0.02,,5.65,"1,110.22",,0.51,11.12,6.76,,LUXF,SET,PROPCON,PF&REIT
2Q2559,18.66,,,16.23,,0.74,0.75,,,86.96,0.02,,6.05,"1,188.83",,0.55,10.97,6.31,,LUXF,SET,PROPCON,PF&REIT
3Q2559,18.70,,,44.84,,2.02,2.06,,,239.82,0.02,,6.30,"1,237.95",,0.57,11.05,6.06,,LUXF,SET,PROPCON,PF&REIT
4Q2559,63.86,,,49.13,,2.18,2.22,,,76.94,0.02,,6.50,"1,277.25",,0.58,11.12,5.88,,LUXF,SET,PROPCON,PF&REIT
1Q2560,18.99,,,13.62,,0.60,0.62,,,71.70,0.02,,6.55,"1,287.08",,0.58,11.37,7.27,,LUXF,SET,PROPCON,PF&REIT
2Q2560,18.84,,,14.15,,0.63,0.65,,,75.10,0.02,,6.70,"1,316.55",,0.60,11.12,7.10,,LUXF,SET,PROPCON,PF&REIT
3Q2560,18.86,,,58.54,,2.58,2.65,,,310.40,0.03,,0.00,"1,414.80",,0.64,11.19,6.61,,LUXF,SET,PROPCON,PF&REIT
4Q2560,82.88,,,69.75,,3.00,3.08,,,84.16,0.03,,7.30,"1,434.45",,0.64,11.32,6.52,,LUXF,SET,PROPCON,PF&REIT
1Q2561,19.02,,,16.55,,0.71,0.73,,,86.99,0.02,,8.10,"1,591.65",,0.69,11.68,6.73,,LUXF,SET,PROPCON,PF&REIT
2Q2561,18.79,,,16.27,,0.71,0.72,,,86.55,0.02,,8.30,"1,630.95",,0.73,11.38,6.57,,LUXF,SET,PROPCON,PF&REIT
3Q2561,18.70,,,36.11,,1.56,1.60,,,193.16,0.03,,8.10,"1,591.65",,0.71,11.44,6.73,,LUXF,SET,PROPCON,PF&REIT
4Q2561,91.24,,,96.21,,4.06,4.18,,,105.46,0.03,,8.10,"1,591.65",,0.71,11.47,6.73,,LUXF,SET,PROPCON,PF&REIT
1Q2562,20.66,,,18.21,,0.76,0.79,,,88.17,0.03,,8.60,"1,689.90",,0.72,11.95,7.09,,LUXF,SET,PROPCON,PF&REIT
2Q2562,20.42,,,14.05,,0.60,0.61,,,68.81,0.03,,8.40,"1,650.60",,0.72,11.62,7.26,,LUXF,SET,PROPCON,PF&REIT
3Q2562,20.46,,,-0.68,,-0.03,-0.03,,,-3.33,0.03,,8.60,"1,689.90",,0.74,11.69,7.09,,LUXF,SET,PROPCON,PF&REIT
4Q2562,108.44,,,106.70,,4.47,4.61,,,98.40,0.03,,8.95,"1,758.67",,0.78,11.50,6.82,,LUXF,SET,PROPCON,PF&REIT
1Q2563,20.75,,,3.07,,0.13,0.13,,,14.80,0.03,,8.90,"1,748.85",,0.74,12.04,7.42,,LUXF,SET,PROPCON,PF&REIT
2Q2563,20.37,,,8.33,,0.36,0.37,,,40.91,0.03,,8.45,"1,660.42",,0.73,11.59,7.81,,LUXF,SET,PROPCON,PF&REIT
3Q2563,20.35,,,13.38,,0.57,0.59,,,65.76,0.03,,6.25,"1,228.13",,,,10.56,,LUXF,SET,PROPCON,PF&REIT
4Q2563,54.29,,,-459.68,,-22.17,-22.55,,,-846.78,0.00,,6.45,"1,267.42",,0.56,11.54,10.23,,LUXF,SET,PROPCON,PF&REIT
1Q2564,0.02,,,-4.75,,-0.26,-0.26,,,"-21,609.09",0.01,,6.25,"1,228.13",,0.68,9.20,2.56,,LUXF,SET,PROPCON,PF&REIT
2Q2564,3.57,,,0.34,,0.02,0.02,,,9.64,0.00,,0.00,"1,316.55",,0.73,9.18,2.39,,LUXF,SET,PROPCON,PF&REIT
3Q2564,0.03,,,-1.13,,-0.06,-0.06,,,"-4,334.62",0.00,,6.90,"1,355.85",,0.77,8.98,2.32,,LUXF,SET,PROPCON,PF&REIT
4Q2564,27.24,,,44.38,,2.47,2.48,,,162.93,0.00,,6.35,"1,247.78",,0.71,8.97,2.52,,LUXF,SET,PROPCON,PF&REIT
2Q2565,25.72,,,20.34,,1.12,1.12,,,79.09,0.00,,6.75,"1,326.38",,0.74,9.16,1.26,,LUXF,SET,PROPCON,PF&REIT
3Q2565,46.55,,,44.66,,2.43,2.43,,,95.94,0.00,,7.10,"1,395.15",,,,1.20,,LUXF,SET,PROPCON,PF&REIT
4Q2565,6.72,,,147.88,,7.63,7.66,,,"2,200.29",0.01,,7.60,"1,503.22",,0.81,9.44,1.11,,LUXF,SET,PROPCON,PF&REIT
1Q2566,19.77,,,17.64,,0.88,0.89,,,89.26,0.00,,7.65,"1,522.88",,0.76,10.20,3.10,,LUXF,SET,PROPCON,PF&REIT
