,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,0.06,,,,,,,,,M-II,SET,PROPCON,PF&REIT
2Q2556,46.35,,,41.44,,4.02,4.22,,,89.40,0.04,,0.00,965.15,,0.99,10.04,0.00,,M-II,SET,PROPCON,PF&REIT
4Q2556,51.31,,,50.82,,3.59,3.72,,,99.05,0.03,,10.80,"1,857.60",,1.87,10.23,0.00,,M-II,SET,PROPCON,PF&REIT
2Q2557,80.14,,,69.36,,3.81,3.95,,,86.55,0.04,,0.00,"1,720.00",,0.99,10.13,2.94,,M-II,SET,PROPCON,PF&REIT
4Q2557,82.10,,,65.03,,3.55,3.67,,,79.21,0.03,,0.00,"1,720.00",,0.97,10.29,2.94,,M-II,SET,PROPCON,PF&REIT
2Q2558,74.18,,,91.16,,4.94,5.11,,,122.90,0.04,,0.00,"1,685.60",,0.95,10.29,5.72,,M-II,SET,PROPCON,PF&REIT
4Q2558,75.03,,,53.11,,3.00,3.11,,,70.79,0.04,,9.25,"1,591.00",,0.88,10.45,6.06,,M-II,SET,PROPCON,PF&REIT
2Q2559,69.60,,,56.24,,3.35,3.48,,,80.80,0.04,,0.00,"1,694.20",,1.05,9.39,8.31,,M-II,SET,PROPCON,PF&REIT
4Q2559,70.26,,,52.92,,3.16,3.27,,,75.32,0.04,,9.40,"1,616.80",,1.00,9.40,8.71,,M-II,SET,PROPCON,PF&REIT
2Q2560,57.50,,,52.53,,3.13,3.25,,,91.37,0.04,,8.90,"1,530.80",,0.95,9.38,7.05,,M-II,SET,PROPCON,PF&REIT
4Q2560,63.37,,,20.87,,1.25,1.30,,,32.93,0.04,,8.85,"1,522.20",,0.94,9.38,7.09,,M-II,SET,PROPCON,PF&REIT
2Q2561,65.37,,,58.04,,3.48,3.62,,,88.80,0.04,,8.35,"1,436.20",,0.90,9.28,6.05,,M-II,SET,PROPCON,PF&REIT
3Q2561,33.40,,,19.77,,1.20,1.24,,,59.19,0.04,,0.00,"1,522.20",,0.94,9.37,5.71,,M-II,SET,PROPCON,PF&REIT
4Q2561,32.52,,,24.79,,1.52,1.58,,,76.21,0.04,,8.60,"1,479.20",,0.94,9.11,5.87,,M-II,SET,PROPCON,PF&REIT
1Q2562,33.42,,,26.20,,1.60,1.66,,,78.40,0.04,,8.50,"1,462.00",,0.93,9.15,6.53,,M-II,SET,PROPCON,PF&REIT
2Q2562,33.37,,,25.11,,1.53,1.59,,,75.26,0.04,,8.75,"1,505.00",,0.95,9.17,6.34,,M-II,SET,PROPCON,PF&REIT
3Q2562,34.72,,,13.67,,0.83,0.87,,,39.37,0.04,,8.65,"1,487.80",,0.94,9.17,6.42,,M-II,SET,PROPCON,PF&REIT
4Q2562,33.59,,,25.25,,1.54,1.61,,,75.18,0.04,,8.75,"1,505.00",,0.96,9.11,6.34,,M-II,SET,PROPCON,PF&REIT
1Q2563,32.58,,,27.20,,1.58,1.73,,,83.49,0.15,,0.00,"1,204.00",,,,8.00,,M-II,SET,PROPCON,PF&REIT
2Q2563,32.19,,,26.26,,1.45,1.67,,,81.56,0.15,,0.00,"1,281.40",,0.81,9.14,7.52,,M-II,SET,PROPCON,PF&REIT
3Q2563,32.66,,,43.61,,2.41,2.76,,,133.54,0.14,,0.00,"1,212.60",,0.77,9.14,7.94,,M-II,SET,PROPCON,PF&REIT
4Q2563,34.18,,,28.26,,1.55,1.78,,,82.70,0.14,,0.00,"1,229.80",,0.77,9.24,7.83,,M-II,SET,PROPCON,PF&REIT
1Q2564,33.03,,,28.67,,1.57,1.80,,,86.79,0.14,,7.25,"1,247.00",,0.78,9.26,8.28,,M-II,SET,PROPCON,PF&REIT
2Q2564,34.72,,,29.53,,1.62,1.85,,,85.04,0.14,,7.80,"1,341.60",,0.84,9.27,7.69,,M-II,SET,PROPCON,PF&REIT
3Q2564,32.37,,,42.92,,2.34,2.67,,,132.59,0.14,,7.50,"1,290.00",,0.81,9.29,8.00,,M-II,SET,PROPCON,PF&REIT
4Q2564,32.34,,,25.75,,1.40,1.59,,,79.60,0.14,,7.85,"1,350.20",,0.84,9.38,7.64,,M-II,SET,PROPCON,PF&REIT
1Q2565,32.50,,,25.84,,1.41,1.60,,,79.52,0.14,,7.80,"1,341.60",,,,7.86,,M-II,SET,PROPCON,PF&REIT
2Q2565,33.69,,,27.44,,1.49,1.70,,,81.45,0.14,,7.30,"1,255.60",,0.78,9.38,8.40,,M-II,SET,PROPCON,PF&REIT
3Q2565,35.00,,,35.24,,1.91,2.17,,,100.68,0.14,,7.35,"1,264.20",,0.78,9.39,8.34,,M-II,SET,PROPCON,PF&REIT
