,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,28.47,,,74.57,,10.50,11.08,,,261.95,0.05,,0.00,668.80,,1.03,10.66,7.75,,M-STOR,SET,PROPCON,PF&REIT
4Q2555,28.46,,,25.69,,3.49,3.69,,,90.25,0.06,,12.10,735.68,,1.06,11.46,7.04,,M-STOR,SET,PROPCON,PF&REIT
2Q2556,28.46,,,22.49,,3.06,3.24,,,79.04,0.06,,0.00,735.68,,1.06,11.46,7.04,,M-STOR,SET,PROPCON,PF&REIT
4Q2556,28.43,,,26.57,,3.63,3.83,,,93.48,0.06,,0.00,693.12,,1.00,11.41,7.47,,M-STOR,SET,PROPCON,PF&REIT
2Q2557,28.37,,,24.20,,3.30,3.49,,,85.29,0.06,,11.60,705.28,,1.02,11.42,7.34,,M-STOR,SET,PROPCON,PF&REIT
4Q2557,28.97,,,26.72,,3.71,3.85,,,92.25,0.02,,10.60,644.48,,0.93,11.39,8.04,,M-STOR,SET,PROPCON,PF&REIT
2Q2558,24.70,,,21.90,,3.08,3.15,,,88.66,0.02,,0.00,650.56,,0.94,11.43,7.36,,M-STOR,SET,PROPCON,PF&REIT
4Q2558,26.96,,,25.01,,3.51,3.59,,,92.79,0.02,,10.20,620.16,,0.89,11.44,7.72,,M-STOR,SET,PROPCON,PF&REIT
2Q2559,26.97,,,23.08,,3.23,3.30,,,85.58,0.02,,10.20,620.16,,0.89,11.48,7.10,,M-STOR,SET,PROPCON,PF&REIT
4Q2559,26.99,,,25.08,,3.50,3.58,,,92.93,0.02,,0.00,632.32,,0.90,11.49,6.96,,M-STOR,SET,PROPCON,PF&REIT
2Q2560,26.92,,,17.28,,2.41,2.47,,,64.17,0.02,,10.20,620.16,,0.88,11.56,7.06,,M-STOR,SET,PROPCON,PF&REIT
4Q2560,24.12,,,22.25,,3.11,3.19,,,92.27,0.02,,10.20,620.16,,0.89,11.48,7.06,,M-STOR,SET,PROPCON,PF&REIT
2Q2561,23.90,,,17.86,,2.50,2.56,,,74.73,0.02,,10.30,626.24,,0.90,11.49,6.70,,M-STOR,SET,PROPCON,PF&REIT
3Q2561,7.35,,,-32.89,,-4.75,-4.86,,,-447.24,0.02,,0.00,620.16,,0.89,11.46,6.76,,M-STOR,SET,PROPCON,PF&REIT
4Q2561,6.74,,,5.68,,0.85,0.87,,,84.18,0.02,,7.75,471.20,,0.72,10.79,8.90,,M-STOR,SET,PROPCON,PF&REIT
1Q2562,8.01,,,6.83,,1.02,1.04,,,85.35,0.02,,7.00,425.60,,0.65,10.77,7.05,,M-STOR,SET,PROPCON,PF&REIT
2Q2562,7.05,,,4.47,,0.67,0.68,,,63.46,0.02,,7.25,440.80,,0.67,10.79,6.81,,M-STOR,SET,PROPCON,PF&REIT
3Q2562,7.14,,,8.31,,1.23,1.27,,,116.44,0.04,,6.95,422.56,,0.65,10.76,7.10,,M-STOR,SET,PROPCON,PF&REIT
4Q2562,7.15,,,6.03,,0.89,0.92,,,84.28,0.02,,6.70,407.36,,0.62,10.79,7.36,,M-STOR,SET,PROPCON,PF&REIT
1Q2563,7.16,,,6.08,,0.91,0.93,,,84.97,0.02,,6.45,392.16,,,,6.33,,M-STOR,SET,PROPCON,PF&REIT
2Q2563,7.01,,,5.93,,0.89,0.90,,,84.48,0.02,,5.85,355.68,,0.54,10.80,6.97,,M-STOR,SET,PROPCON,PF&REIT
3Q2563,7.24,,,4.10,,0.61,0.62,,,56.60,0.02,,5.80,352.64,,0.54,10.80,7.03,,M-STOR,SET,PROPCON,PF&REIT
4Q2563,7.09,,,6.00,,0.90,0.92,,,84.72,0.01,,5.85,355.68,,0.54,10.78,6.97,,M-STOR,SET,PROPCON,PF&REIT
1Q2564,6.92,,,5.88,,0.88,0.90,,,84.89,0.01,,5.95,361.76,,0.55,10.79,6.17,,M-STOR,SET,PROPCON,PF&REIT
2Q2564,7.04,,,5.73,,0.86,0.87,,,81.40,0.02,,6.25,380.00,,0.58,10.79,5.87,,M-STOR,SET,PROPCON,PF&REIT
3Q2564,6.70,,,-17.52,,-2.67,-2.72,,,-261.43,0.01,,6.15,373.92,,0.57,10.79,5.97,,M-STOR,SET,PROPCON,PF&REIT
1Q2565,7.62,,,6.70,,1.03,1.06,,,87.89,0.03,,6.15,373.92,,,,5.34,,M-STOR,SET,PROPCON,PF&REIT
2Q2565,7.61,,,4.67,,0.72,0.74,,,61.39,0.01,,0.00,364.80,,0.57,10.44,5.48,,M-STOR,SET,PROPCON,PF&REIT
3Q2565,7.61,,,4.42,,0.69,0.70,,,58.07,0.01,,0.00,367.84,,0.58,10.41,5.43,,M-STOR,SET,PROPCON,PF&REIT
