,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,734.58",197.69,16.49,236.28,0.27,2.11,3.82,74.11,21.99,13.62,0.80,-122.32,18.00,"15,874.15",20.31,2.69,6.69,4.56,9.00,MAJOR,SET,SERVICE,MEDIA
2Q2555,"1,826.99",-9.64,-28.80,209.14,0.24,1.86,3.33,75.91,21.98,11.45,0.78,-124.23,17.40,"15,390.64",18.72,2.50,6.99,4.70,9.23,MAJOR,SET,SERVICE,MEDIA
3Q2555,"1,775.66",-9.12,-8.33,184.75,0.22,1.66,2.99,75.75,21.42,10.40,0.82,-136.73,18.90,"16,750.59",22.43,2.76,6.87,4.32,10.15,MAJOR,SET,SERVICE,MEDIA
4Q2555,"1,837.85",-13.64,111.11,125.66,0.19,1.11,2.01,71.13,25.97,6.84,0.80,-114.85,19.00,"16,863.95",23.20,2.80,6.79,4.29,9.54,MAJOR,SET,SERVICE,MEDIA
1Q2556,"1,853.30",78.93,26.89,300.43,0.34,2.59,4.75,68.53,21.64,16.21,0.86,-143.88,20.80,"18,461.59",22.76,2.93,7.10,4.18,10.14,MAJOR,SET,SERVICE,MEDIA
2Q2556,"2,583.28",44.14,102.42,422.88,0.49,3.52,6.74,77.60,18.74,16.37,0.97,-184.41,21.00,"18,639.10",21.20,3.01,6.97,4.14,9.52,MAJOR,SET,SERVICE,MEDIA
3Q2556,"1,788.76",-52.82,5.09,196.50,0.23,1.57,3.23,75.27,22.84,10.99,1.14,-203.50,18.60,"16,508.92",14.99,2.66,6.99,4.67,8.89,MAJOR,SET,SERVICE,MEDIA
4Q2556,"1,824.93",-48.62,-37.47,104.53,0.12,0.80,1.74,71.82,26.58,5.73,1.23,-242.98,17.50,"15,532.59",14.03,2.64,6.64,4.96,8.97,MAJOR,SET,SERVICE,MEDIA
1Q2557,"1,750.62",32.83,-53.58,139.62,0.16,1.05,2.29,71.71,25.60,7.98,1.15,-246.47,18.90,"16,775.19",15.95,2.75,6.88,5.29,9.84,MAJOR,SET,SERVICE,MEDIA
2Q2557,"2,450.73",218.25,2.48,443.31,0.50,3.32,7.17,86.76,21.10,18.09,1.17,-213.38,18.90,"16,775.19",18.83,2.76,6.84,5.29,9.70,MAJOR,SET,SERVICE,MEDIA
