,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"27,952.97",27.66,26.32,863.88,3.60,2.87,8.54,93.51,5.95,3.09,1.83,-436.41,358.00,"85,920.00",32.99,8.88,40.34,2.93,19.27,MAKRO,SET,SERVICE,COMM
2Q2555,"27,951.73",-11.11,33.89,768.75,3.20,2.62,7.49,93.19,6.22,2.75,1.88,-427.40,356.00,"85,440.00",30.70,8.10,43.94,2.95,18.39,MAKRO,SET,SERVICE,COMM
3Q2555,"27,771.14",-0.94,13.62,759.95,3.17,2.70,7.64,92.52,6.86,2.74,1.77,-409.69,397.00,"95,280.00",31.98,9.53,41.64,2.64,20.03,MAKRO,SET,SERVICE,COMM
4Q2555,"31,280.01",53.00,71.99,"1,163.34",4.85,3.91,11.31,93.33,6.24,3.72,2.01,-389.01,446.00,"107,040.00",34.86,10.80,41.30,2.35,20.51,MAKRO,SET,SERVICE,COMM
1Q2556,"31,468.39",-13.20,16.94,"1,009.78",4.21,3.04,8.96,93.08,6.40,3.21,1.89,-394.09,532.00,"127,680.00",35.91,11.98,44.40,2.35,23.11,MAKRO,SET,SERVICE,COMM
2Q2556,"31,586.44",-5.23,24.69,959.22,3.99,2.98,8.35,92.94,6.59,3.04,1.71,-371.93,780.00,"187,200.00",50.57,15.77,49.47,1.60,31.72,MAKRO,SET,SERVICE,COMM
3Q2556,"31,245.06",7.02,34.70,"1,024.13",4.27,3.30,8.83,92.76,6.74,3.28,1.64,-373.91,610.00,"146,400.00",37.61,13.20,46.21,2.05,24.16,MAKRO,SET,SERVICE,COMM
4Q2556,"35,480.83",,,"1,305.45",-11.57,3.83,11.28,93.19,6.17,3.68,2.28,-364.69,29.00,"139,200.00",33.49,11.49,2.52,2.16,23.28,MAKRO,SET,SERVICE,COMM
1Q2557,"35,370.95",,-93.82,"1,270.60",0.26,3.50,10.90,93.19,6.38,3.59,1.96,-335.65,32.00,"153,600.00",35.73,13.94,2.30,2.50,24.16,MAKRO,SET,SERVICE,COMM
2Q2557,"34,938.12",-13.92,-94.39,"1,051.72",0.22,2.93,8.69,93.02,6.43,3.01,1.97,-328.52,41.50,"199,200.00",43.69,16.20,2.56,1.93,30.16,MAKRO,SET,SERVICE,COMM
