,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,347.41,80.00,80.00,33.79,0.18,1.68,2.16,68.26,26.69,9.73,0.28,147.32,6.05,"1,121.36",12.66,0.72,8.35,4.13,5.46,MATI,SET,SERVICE,MEDIA
2Q2555,389.39,11.11,11.11,36.30,0.20,1.78,2.30,57.68,35.40,9.32,0.30,138.31,6.80,"1,260.37",12.08,0.80,8.53,3.68,5.91,MATI,SET,SERVICE,MEDIA
3Q2555,350.48,-80.00,-60.00,6.95,0.04,0.34,0.44,61.29,33.64,1.98,0.28,139.37,7.50,"1,390.12",12.98,0.88,8.48,3.33,8.42,MATI,SET,SERVICE,MEDIA
4Q2555,372.49,250.00,40.00,27.10,0.14,1.33,1.70,64.07,30.82,7.28,0.28,112.88,6.80,"1,260.37",13.12,0.80,8.52,3.68,6.73,MATI,SET,SERVICE,MEDIA
1Q2556,327.05,,,-16.85,-0.09,-0.80,-1.03,58.25,36.52,-5.15,0.28,92.82,8.00,"1,482.79",14.24,0.92,8.66,4.38,12.00,MATI,SET,SERVICE,MEDIA
2Q2556,376.66,,-15.00,32.51,0.17,1.54,1.96,63.42,31.91,8.63,0.27,80.08,6.80,"1,260.37",23.56,0.75,9.04,5.15,12.23,MATI,SET,SERVICE,MEDIA
3Q2556,365.85,5.88,350.00,32.92,0.18,1.56,1.99,65.25,30.06,9.00,0.27,66.13,6.70,"1,241.84",24.98,0.76,8.86,5.22,9.30,MATI,SET,SERVICE,MEDIA
4Q2556,539.33,82.91,135.16,60.63,0.33,2.77,3.56,74.87,21.68,11.24,0.30,69.53,6.80,"1,260.37",16.65,0.75,9.03,5.15,7.75,MATI,SET,SERVICE,MEDIA
1Q2557,291.10,,-200.00,-49.50,-0.27,-2.24,-2.92,56.77,37.84,-17.00,0.31,76.15,8.00,"1,482.79",13.58,0.86,9.35,5.00,10.84,MATI,SET,SERVICE,MEDIA
2Q2557,311.97,92.56,,-4.27,-0.02,-0.20,-0.26,56.66,37.62,-1.37,0.30,83.75,6.40,"1,186.23",15.49,0.71,8.96,6.25,11.85,MATI,SET,SERVICE,MEDIA
