,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,389.54,-83.33,200.00,6.25,0.00,2.26,3.13,99.53,0.47,1.60,0.23,"-1,058.09",0.16,293.32,6.54,1.49,0.11,0.00,31.09,MAX,SET,AGRO,AGRI
2Q2555,145.94,,,-1.40,0.00,-0.59,-0.69,96.69,2.49,-0.96,0.13,-988.59,0.16,293.32,5.97,1.45,0.11,0.00,57.34,MAX,SET,AGRO,AGRI
3Q2555,81.06,,,-52.67,-0.03,-26.82,-30.09,96.12,3.28,-64.97,0.11,-986.41,0.16,293.32,6.38,1.46,0.11,0.00,-6.35,MAX,SET,AGRO,AGRI
4Q2555,33.07,-51.72,,-76.51,-0.04,-60.20,-69.27,89.31,10.43,-231.38,0.23,,0.29,531.65,N/A,3.58,0.08,0.00,-4.12,MAX,SET,AGRO,AGRI
1Q2556,0.01,95.61,,-3.54,-0.00,-4.13,-5.18,,"11,946.67","-23,613.33",0.28,,0.31,568.31,N/A,7.87,0.04,0.00,-4.19,MAX,SET,AGRO,AGRI
2Q2556,28.25,48.70,,-1.81,-0.00,-2.18,-2.85,92.55,7.13,-6.41,0.33,,0.18,329.99,N/A,5.12,0.04,0.00,-2.59,MAX,SET,AGRO,AGRI
3Q2556,18.06,,,8.16,0.00,9.01,12.23,80.21,19.79,45.19,0.38,,0.16,293.32,N/A,4.68,0.03,0.00,-3.97,MAX,SET,AGRO,AGRI
4Q2556,50.35,,82.84,-13.85,-0.01,-16.17,-21.67,87.25,11.99,-27.51,0.29,,0.15,274.99,N/A,3.88,0.04,0.00,-35.99,MAX,SET,AGRO,AGRI
1Q2557,63.74,87.28,50.26,-1.75,-0.00,-2.42,-3.12,97.90,2.10,-2.75,0.29,,0.35,641.64,N/A,11.26,0.03,0.00,-85.79,MAX,SET,AGRO,AGRI
2Q2557,52.45,,,-2.46,0.00,-1.00,-1.08,93.06,6.13,-4.69,0.04,,0.67,"5,918.29",N/A,107.15,0.03,0.00,-729.30,MAX,SET,AGRO,AGRI
3Q2557,33.56,,,-2.87,-0.00,-0.42,-0.43,65.18,29.20,-8.54,0.02,,0.91,"8,038.27",N/A,20.08,0.05,0.00,-391.94,MAX,SET,AGRO,AGRI
4Q2557,27.68,,98.15,-5.33,-0.00,-0.56,-0.57,47.03,35.98,-19.25,0.02,,0.62,"12,296.62",N/A,13.01,0.05,0.00,"-1,451.63",MAX,SET,AGRO,AGRI
1Q2558,14.81,,-4.17,-27.57,-0.00,-2.90,-2.97,,234.65,-186.19,0.03,,0.22,"4,363.38",N/A,4.64,0.05,0.00,-126.82,MAX,SET,AGRO,AGRI
2Q2558,31.71,,,-9.77,-0.00,-1.05,-1.07,28.09,86.83,-30.80,0.02,,0.22,"4,363.38",N/A,4.74,0.05,0.00,-101.38,MAX,SET,AGRO,AGRI
3Q2558,19.49,,,-3.20,-0.00,-0.35,-0.35,11.14,51.61,-16.43,0.02,,0.31,"6,148.40",N/A,6.70,0.05,0.00,-143.28,MAX,SET,AGRO,AGRI
4Q2558,19.47,,,9.27,0.00,1.01,1.02,0.66,64.95,47.61,0.01,,0.22,"4,363.38",N/A,4.77,0.05,0.00,-145.70,MAX,SET,AGRO,AGRI
1Q2559,31.97,,,-1.53,-0.00,-0.17,-0.17,47.33,30.17,-4.80,0.01,,0.19,"3,768.37",N/A,4.07,0.05,0.00,-779.22,MAX,SET,AGRO,AGRI
2Q2559,21.26,,,-7.31,-0.00,-0.80,-0.81,-15.79,91.64,-34.40,0.01,,0.14,"2,776.70",803.24,3.00,0.05,0.00,"-2,262.56",MAX,SET,AGRO,AGRI
3Q2559,157.27,,,105.79,0.01,9.14,10.53,-2.09,16.15,67.27,0.27,,0.15,"2,975.03",N/A,3.24,0.05,0.00,29.49,MAX,SET,AGRO,AGRI
4Q2559,44.68,,,-17.65,-0.00,-1.25,-1.61,45.28,42.45,-39.50,0.29,,0.09,"1,785.02",16.22,1.74,0.05,0.00,21.39,MAX,SET,AGRO,AGRI
1Q2560,42.70,,,13.16,0.00,0.80,0.97,49.21,43.28,30.82,0.17,,0.06,"1,190.01",49.25,4.12,0.05,0.00,7.52,MAX,SET,AGRO,AGRI
2Q2560,63.72,,-454.55,-24.45,-0.00,-1.24,-1.48,64.18,29.13,-38.37,0.20,,0.04,"1,193.92",12.07,0.78,0.08,0.00,11.42,MAX,SET,AGRO,AGRI
3Q2560,249.18,,,-5.45,-0.00,-0.27,-0.32,90.02,6.94,-2.19,0.19,,0.03,895.50,13.91,0.60,0.05,0.00,91.51,MAX,SET,AGRO,AGRI
4Q2560,246.60,,,-12.86,-0.00,-0.64,-0.76,89.48,6.86,-5.21,0.20,,0.03,895.51,N/A,0.61,0.05,0.00,69.46,MAX,SET,AGRO,AGRI
1Q2561,244.61,,,4.29,0.00,0.21,0.26,,7.51,1.75,0.20,,0.02,597.01,N/A,0.41,0.05,0.00,259.76,MAX,SET,AGRO,AGRI
2Q2561,237.99,,,0.49,0.00,0.02,0.03,,5.77,0.21,0.24,,0.02,597.01,N/A,0.41,0.05,0.00,43.10,MAX,SET,AGRO,AGRI
3Q2561,245.83,,,0.86,-0.00,0.04,0.05,,5.34,0.35,0.25,,0.02,597.01,N/A,0.41,0.05,0.00,32.11,MAX,SET,AGRO,AGRI
4Q2561,348.54,,,7.67,0.00,0.37,0.45,,4.76,2.20,0.22,,0.02,597.01,N/A,0.41,0.05,0.00,19.68,MAX,SET,AGRO,AGRI
1Q2562,393.77,,,9.96,0.00,0.48,0.59,,3.58,2.53,0.21,,0.02,597.01,70.52,0.40,0.05,0.00,16.82,MAX,SET,AGRO,AGRI
2Q2562,343.10,,,-171.74,-0.00,-8.76,-10.63,,4.12,-50.05,0.21,,0.02,597.01,43.20,0.39,0.05,0.00,-5.85,MAX,SET,AGRO,AGRI
3Q2562,362.24,,,1.33,-0.00,0.07,0.09,,3.81,0.37,0.23,,0.01,298.50,N/A,0.22,0.05,0.00,-4.06,MAX,SET,AGRO,AGRI
4Q2562,414.32,,,-1.07,-0.00,-0.06,-0.07,,2.94,-0.26,0.23,,0.02,597.01,N/A,0.43,0.05,0.00,-5.51,MAX,SET,AGRO,AGRI
1Q2563,478.85,,,66.05,0.00,3.47,4.23,,3.49,13.79,0.21,,0.01,298.50,,,,0.00,-5.00,MAX,SET,AGRO,AGRI
2Q2563,448.85,,95.67,-2.99,-0.00,-0.15,-0.19,,3.25,-0.67,0.21,,0.01,298.50,N/A,0.21,0.05,0.00,6.61,MAX,SET,AGRO,AGRI
3Q2563,460.65,"-1,950.00",,-128.38,-0.00,-5.39,-7.10,,3.34,-27.87,0.40,,0.01,856.69,15.69,0.60,0.05,0.00,-39.30,MAX,SET,AGRO,AGRI
4Q2563,-28.91,-43.17,,-330.06,-0.01,-12.23,-17.76,,-71.92,"1,141.55",0.51,,0.01,856.69,N/A,0.46,0.02,0.00,-4.83,MAX,SET,AGRO,AGRI
1Q2564,12.94,97.96,,-11.51,-0.00,-0.45,-0.68,,89.68,-88.99,0.52,,0.00,"1,713.39",N/A,0.92,0.02,0.00,-5.99,MAX,SET,AGRO,AGRI
