,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,997.42",-19.77,45.77,309.74,2.07,1.11,2.44,78.06,17.35,15.51,1.16,257.03,91.75,"17,306.72",13.38,1.39,65.99,5.45,9.64,MBK,SET,PROPCON,PROP
2Q2555,"2,454.37",148.31,121.55,875.30,5.14,3.20,6.52,65.38,16.98,35.66,0.93,211.08,96.00,"18,108.39",11.47,1.29,74.22,5.21,8.26,MBK,SET,PROPCON,PROP
3Q2555,"2,141.38",-57.78,-2.25,323.88,2.17,1.12,2.18,76.53,18.49,15.12,0.97,198.88,117.00,"22,069.60",12.64,1.62,72.09,4.27,9.74,MBK,SET,PROPCON,PROP
4Q2555,"2,392.46",44.24,21.32,499.32,3.13,1.60,3.20,68.67,20.56,20.87,1.03,199.40,109.00,"20,560.57",10.85,1.37,79.83,4.59,9.36,MBK,SET,PROPCON,PROP
1Q2556,"2,384.84",345.69,573.91,"2,115.13",13.95,6.18,12.43,78.11,19.06,88.69,0.99,208.57,182.00,"34,330.50",18.12,2.26,80.59,3.02,7.96,MBK,SET,PROPCON,PROP
2Q2556,"2,481.91",-71.61,-22.96,608.65,3.96,1.61,3.51,49.14,21.59,24.52,1.40,224.00,159.00,"29,992.03",8.19,1.57,94.55,3.71,8.73,MBK,SET,PROPCON,PROP
3Q2556,"2,401.84",95.45,256.68,"1,050.77",7.74,2.67,6.50,60.04,23.07,43.75,1.47,241.07,154.00,"29,048.88",7.54,1.72,87.23,3.94,7.42,MBK,SET,PROPCON,PROP
4Q2556,"2,473.63",-58.01,3.83,354.88,3.25,0.91,2.22,106.76,22.74,14.35,1.38,250.12,140.00,"26,408.07",5.70,1.59,88.04,4.34,6.47,MBK,SET,PROPCON,PROP
1Q2557,"2,270.15",-93.54,-98.49,294.15,0.21,0.78,1.80,77.01,20.30,12.96,1.27,270.97,144.00,"27,162.59",5.99,1.65,87.13,3.99,9.08,MBK,SET,PROPCON,PROP
2Q2557,"2,403.01",61.90,-91.41,451.82,0.34,1.19,2.70,46.17,21.76,18.80,1.25,292.00,14.60,"27,539.85",10.94,1.60,9.14,3.94,8.98,MBK,SET,PROPCON,PROP
3Q2557,"2,260.17",-8.82,-95.99,396.34,0.31,1.05,2.33,104.82,19.03,17.54,1.19,332.44,16.30,"30,746.54",12.88,1.78,8.39,3.53,12.45,MBK,SET,PROPCON,PROP
