,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,129.32,-80.11,274.60,16.85,0.04,0.35,0.53,43.34,53.17,13.03,0.59,,3.00,"1,426.78",9.88,0.85,3.51,0.00,7.13,MDX,SET,RESOURC,ENERG
2Q2555,670.10,"2,285.80",,405.25,0.89,7.87,11.99,83.65,15.32,60.48,0.47,,3.50,"1,664.58",10.51,1.62,2.16,0.00,3.07,MDX,SET,RESOURC,ENERG
3Q2555,174.12,-78.87,85.68,97.85,0.19,1.87,2.69,56.59,39.73,56.20,0.41,,6.90,"3,281.59",6.26,2.32,2.97,0.00,5.02,MDX,SET,RESOURC,ENERG
4Q2555,99.37,,,-16.84,-0.01,-0.32,-0.45,8.93,84.58,-16.94,0.37,693.44,6.95,"3,305.37",5.98,2.24,3.10,0.00,6.04,MDX,SET,RESOURC,ENERG
1Q2556,119.70,,7.31,19.43,0.04,0.38,0.52,34.32,61.70,16.23,0.41,675.57,17.10,"8,132.64",17.78,5.09,3.36,0.00,13.79,MDX,SET,RESOURC,ENERG
2Q2556,110.96,547.59,-70.87,159.62,0.26,3.09,4.33,20.08,74.88,143.86,0.39,739.89,11.00,"5,231.52",11.47,3.66,3.01,0.00,18.34,MDX,SET,RESOURC,ENERG
3Q2556,240.79,,,-126.95,-0.16,-2.42,-3.43,-51.49,148.74,-52.72,0.44,366.16,10.00,"4,755.93",24.01,3.05,3.28,0.00,47.13,MDX,SET,RESOURC,ENERG
4Q2556,217.79,,,189.58,0.39,3.59,5.06,78.50,16.45,87.05,0.38,374.17,7.10,"3,376.71",64.52,1.59,4.48,0.00,11.54,MDX,SET,RESOURC,ENERG
1Q2557,427.02,-0.40,864.90,182.46,0.39,3.49,4.72,82.60,13.58,42.73,0.33,330.41,9.75,"4,637.03",21.40,2.00,4.87,0.00,9.07,MDX,SET,RESOURC,ENERG
2Q2557,93.77,-41.51,-12.85,139.95,0.23,2.69,3.56,-20.84,109.95,149.25,0.31,307.83,10.80,"5,136.41",14.28,2.99,3.61,0.00,10.51,MDX,SET,RESOURC,ENERG
3Q2557,55.36,,62.76,-40.50,-0.06,-0.78,-1.02,-216.77,308.50,-73.15,0.31,481.97,12.20,"5,802.24",16.78,3.21,3.80,0.00,9.95,MDX,SET,RESOURC,ENERG
4Q2557,128.91,,-29.04,150.12,0.28,2.88,3.71,-31.09,69.71,116.45,0.27,435.82,9.75,"4,637.03",11.96,2.60,3.75,0.00,10.22,MDX,SET,RESOURC,ENERG
1Q2558,56.93,,,0.93,-0.00,0.02,0.02,-25.70,112.07,1.63,0.28,525.13,9.60,"4,565.69",13.38,2.38,4.03,0.00,18.07,MDX,SET,RESOURC,ENERG
2Q2558,139.35,,-1.04,132.84,0.22,2.52,3.16,48.43,46.43,95.32,0.24,531.78,8.45,"4,018.76",22.14,2.11,4.00,0.00,16.96,MDX,SET,RESOURC,ENERG
3Q2558,54.79,-50.67,,55.45,0.11,1.04,1.27,-20.16,109.88,101.19,0.22,686.00,6.90,"3,281.59",18.18,1.23,5.61,0.00,9.89,MDX,SET,RESOURC,ENERG
4Q2558,202.04,27.54,-48.89,128.05,0.14,2.35,2.85,-9.40,34.35,63.38,0.21,738.19,5.05,"2,401.75",9.57,1.12,4.49,0.00,5.36,MDX,SET,RESOURC,ENERG
