,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,159.35,33.33,,6.58,0.08,1.65,5.21,92.99,6.80,4.13,2.21,-535.20,2.12,169.60,9.11,1.37,1.55,7.55,9.51,META,mai,PROPCON,-
2Q2555,102.30,,,-0.37,0.00,-0.09,-0.29,80.92,15.90,-0.36,2.22,-466.34,2.54,203.20,9.89,1.57,1.61,6.30,13.64,META,mai,PROPCON,-
3Q2555,158.84,,-57.14,2.54,0.03,0.57,2.02,86.41,11.25,1.60,2.92,-321.51,3.08,246.40,15.39,1.99,1.55,5.19,16.69,META,mai,PROPCON,-
4Q2555,143.77,,,-1.61,-0.03,-0.27,-0.72,88.66,10.63,-1.12,1.19,-311.46,6.65,"1,155.11",140.09,3.55,1.87,0.30,44.86,META,mai,PROPCON,-
1Q2556,155.94,,-50.00,7.69,0.04,1.08,2.39,85.98,9.41,4.93,1.25,-262.08,3.22,559.31,78.40,1.76,1.83,0.62,26.97,META,mai,PROPCON,-
2Q2556,168.30,,,-17.88,-0.09,-1.58,-2.48,88.80,11.91,-10.62,0.37,-334.94,3.06,974.76,51.39,2.99,1.87,0.62,86.83,META,mai,PROPCON,-
3Q2556,102.25,72.09,,-8.32,-0.02,-0.55,-0.75,82.92,13.91,-8.14,0.35,-343.90,2.92,930.17,405.78,0.83,3.51,0.65,291.12,META,mai,PROPCON,-
4Q2556,172.69,"-7,580.71","-6,044.57",-500.39,-1.84,-39.11,-58.06,83.27,14.32,-289.76,0.73,-295.28,2.64,840.97,N/A,0.76,3.48,0.72,-2.53,META,mai,PROPCON,-
1Q2557,119.39,98.48,,-8.93,-0.03,-0.85,-1.47,79.60,15.12,-7.48,0.71,-312.88,2.40,764.52,N/A,0.69,3.46,0.00,-2.31,META,mai,PROPCON,-
2Q2557,122.17,35.43,78.95,-5.77,-0.02,-0.56,-0.96,76.44,19.60,-4.72,0.74,-245.40,3.82,"1,216.86",N/A,1.11,3.43,0.00,-3.29,META,mai,PROPCON,-
3Q2557,87.64,-376.19,-259.13,-30.65,-0.09,-2.94,-4.53,67.80,26.79,-34.97,0.39,-217.87,3.04,"1,291.19",N/A,1.19,3.41,0.00,-2.86,META,mai,PROPCON,-
4Q2557,166.55,-895.10,53.47,-313.59,-0.86,-34.43,-52.28,74.77,21.04,-188.28,0.74,-182.60,2.70,"1,146.78",N/A,1.52,1.78,0.00,-4.05,META,mai,PROPCON,-
1Q2558,119.44,,,8.73,0.02,1.14,1.95,82.99,13.03,7.31,0.68,-166.59,2.90,"1,231.73",N/A,2.77,1.05,0.00,-4.41,META,mai,PROPCON,-
2Q2558,126.89,,,0.46,0.00,0.04,0.05,85.26,11.78,0.36,0.22,-225.85,3.82,"1,622.49",N/A,3.96,1.06,0.00,-5.21,META,mai,PROPCON,-
3Q2558,139.28,,75.28,-9.35,-0.02,-0.50,-0.66,80.76,16.87,-6.71,0.43,-582.33,3.66,"2,718.16",N/A,1.94,1.88,0.00,-10.60,META,mai,PROPCON,-
4Q2558,93.50,-743.22,79.05,-106.05,-0.18,-5.50,-7.78,55.17,37.02,-113.42,0.39,-813.28,2.70,"2,005.20",N/A,1.41,1.91,0.00,-27.50,META,mai,PROPCON,-
1Q2559,186.18,,-76.19,4.18,0.01,0.23,0.30,80.05,16.39,2.24,0.18,-711.42,2.72,"2,259.18",N/A,1.73,1.76,0.00,-27.16,META,mai,PROPCON,-
