,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,503.69,442.86,-26.92,51.38,0.04,0.72,1.27,55.25,38.53,10.20,0.75,808.62,0.77,796.76,7.70,0.23,3.36,0.00,9.02,MIDA,SET,SERVICE,COMM
2Q2555,525.67,-23.68,0.00,45.72,0.03,0.64,1.11,55.05,38.60,8.70,0.74,799.75,0.81,838.15,9.43,0.24,3.40,0.00,8.62,MIDA,SET,SERVICE,COMM
3Q2555,626.28,20.69,191.67,48.50,0.04,0.68,1.17,57.77,37.21,7.74,0.71,728.11,0.89,920.93,10.26,0.26,3.43,0.00,7.96,MIDA,SET,SERVICE,COMM
4Q2555,597.89,,,-489.38,-0.49,-7.04,-12.43,55.77,36.89,-81.85,0.82,632.01,1.37,"1,417.62",12.61,0.40,3.46,0.00,-258.61,MIDA,SET,SERVICE,COMM
1Q2556,560.99,,297.37,169.45,0.15,2.50,4.36,48.89,45.62,30.20,0.68,568.92,2.42,"2,504.11",N/A,0.81,2.98,0.00,35.15,MIDA,SET,SERVICE,COMM
2Q2556,637.67,-88.64,-40.86,32.22,0.02,0.47,0.79,79.41,15.83,5.05,0.67,494.50,1.60,"1,655.61",N/A,0.48,3.32,0.00,33.66,MIDA,SET,SERVICE,COMM
3Q2556,584.16,-11.66,-56.71,31.72,0.02,0.46,0.77,31.06,63.01,5.43,0.66,364.69,1.35,"1,396.92",N/A,0.40,3.34,0.00,39.38,MIDA,SET,SERVICE,COMM
4Q2556,598.64,172.08,,56.40,0.04,0.82,1.36,56.00,37.43,9.42,0.66,310.56,1.43,"1,479.70",N/A,0.43,3.36,0.00,6.38,MIDA,SET,SERVICE,COMM
1Q2557,538.14,-84.16,-95.68,14.93,0.01,0.21,0.36,51.61,43.13,2.77,0.72,278.32,1.65,"1,707.35",7.35,0.49,3.38,0.67,10.26,MIDA,SET,SERVICE,COMM
2Q2557,570.49,67.38,-36.27,46.25,0.01,0.63,1.10,-31.49,42.46,8.11,0.74,282.71,0.86,"1,957.75",23.62,0.56,1.54,0.59,10.41,MIDA,SET,SERVICE,COMM
3Q2557,618.78,21.96,-12.01,45.97,0.01,0.62,1.08,131.44,39.67,7.43,0.77,357.41,0.98,"2,230.92",23.35,0.63,1.55,0.51,11.24,MIDA,SET,SERVICE,COMM
4Q2557,626.49,-30.91,-77.66,33.86,0.01,0.44,0.78,57.75,38.43,5.40,0.79,381.71,1.34,"3,050.44",27.79,0.86,1.56,0.38,14.60,MIDA,SET,SERVICE,COMM
1Q2558,568.15,,,-4.38,-0.01,-0.05,-0.10,44.15,48.34,-0.77,0.83,395.08,1.50,"3,414.68",44.61,1.05,1.43,0.34,15.71,MIDA,SET,SERVICE,COMM
2Q2558,582.48,,-8.51,45.56,0.01,0.53,0.99,49.35,43.29,7.82,0.86,406.85,1.11,"2,779.54",49.96,0.77,1.60,0.46,15.11,MIDA,SET,SERVICE,COMM
3Q2558,680.35,14.50,-14.10,62.37,0.01,0.70,1.34,53.21,39.85,9.17,0.93,414.00,1.10,"2,754.50",57.34,0.76,1.45,0.46,15.60,MIDA,SET,SERVICE,COMM
4Q2558,701.55,58.34,96.85,71.69,0.02,0.79,1.52,54.41,37.96,10.22,0.90,464.26,0.93,"2,328.81",49.73,0.63,1.47,0.54,13.07,MIDA,SET,SERVICE,COMM
1Q2559,674.63,-17.04,,61.93,0.02,0.68,1.29,17.29,39.69,9.18,0.92,466.10,1.05,"2,629.30",34.79,0.71,1.48,0.00,13.02,MIDA,SET,SERVICE,COMM
2Q2559,723.02,-33.78,-0.40,46.64,0.01,0.50,0.97,87.53,40.31,6.45,0.98,481.85,0.97,"2,428.97",17.99,0.65,1.50,0.00,12.87,MIDA,SET,SERVICE,COMM
3Q2559,646.96,-64.56,-69.17,37.36,0.00,0.38,0.77,-68.08,45.17,5.77,1.04,516.30,0.81,"2,028.32",14.81,0.54,1.51,0.00,12.71,MIDA,SET,SERVICE,COMM
4Q2559,594.37,-14.16,-83.29,38.67,0.00,0.38,0.80,-5.43,55.44,6.51,1.10,445.58,0.82,"2,053.36",17.51,0.54,1.51,0.00,13.11,MIDA,SET,SERVICE,COMM
1Q2560,596.20,33.99,-73.01,31.46,0.00,0.31,0.64,0.15,47.93,5.28,1.09,445.56,0.79,"1,978.23",25.03,0.52,1.52,0.00,13.45,MIDA,SET,SERVICE,COMM
2Q2560,626.99,6.40,-56.63,35.64,0.00,0.35,0.73,2.48,47.08,5.68,1.10,388.39,0.74,"1,853.03",35.96,0.49,1.52,0.00,12.98,MIDA,SET,SERVICE,COMM
3Q2560,732.10,6.94,30.88,33.52,0.00,0.32,0.68,119.13,45.54,4.58,1.09,390.82,0.71,"1,777.91",47.26,0.47,1.52,0.00,12.44,MIDA,SET,SERVICE,COMM
4Q2560,771.36,38.10,110.56,29.05,0.01,0.28,0.59,-93.55,49.10,3.77,1.09,424.97,0.61,"1,527.50",37.83,0.40,1.53,0.00,12.37,MIDA,SET,SERVICE,COMM
1Q2561,737.43,135.11,269.46,57.48,0.01,0.55,1.15,50.53,42.37,7.79,1.09,477.49,0.60,"1,502.46",30.95,0.39,1.53,0.00,11.45,MIDA,SET,SERVICE,COMM
2Q2561,684.63,-53.33,62.04,43.14,0.01,0.41,0.86,45.51,46.82,6.30,1.15,517.31,0.59,"1,477.42",19.27,0.38,1.55,0.00,12.10,MIDA,SET,SERVICE,COMM
3Q2561,727.25,-14.29,29.87,35.11,0.01,0.32,0.70,47.60,45.57,4.83,1.15,610.30,0.60,"1,502.46",18.36,0.38,1.56,0.00,12.26,MIDA,SET,SERVICE,COMM
4Q2561,686.17,,,5.83,-0.00,0.05,0.12,-117.85,49.91,0.85,1.15,655.77,0.58,"1,452.37",16.80,0.37,1.56,0.00,12.48,MIDA,SET,SERVICE,COMM
1Q2562,745.17,,-33.33,46.05,0.01,0.42,0.91,48.70,45.03,6.18,1.13,655.68,0.59,"1,477.42",24.26,0.38,1.56,0.00,12.93,MIDA,SET,SERVICE,COMM
2Q2562,673.15,,,7.29,-0.00,0.07,0.14,46.27,48.29,1.08,1.10,665.52,0.61,"1,527.50",32.10,0.39,1.57,0.00,13.31,MIDA,SET,SERVICE,COMM
3Q2562,677.61,,-97.00,17.90,0.00,0.17,0.35,-80.14,50.20,2.64,1.10,849.23,0.55,"1,377.25",52.59,0.35,1.57,0.00,13.15,MIDA,SET,SERVICE,COMM
4Q2562,668.47,,23.37,14.58,-0.00,0.14,0.29,6.22,44.94,2.18,1.10,598.53,0.53,"1,327.17",124.24,0.34,1.57,0.00,12.58,MIDA,SET,SERVICE,COMM
1Q2563,597.80,-191.84,,-6.27,-0.01,-0.06,-0.12,-3.77,50.93,-1.05,1.10,578.93,0.27,676.11,,,,0.00,12.85,MIDA,SET,SERVICE,COMM
