,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,115.47,,,113.24,,2.79,2.87,,,98.07,0.03,,11.70,"3,861.00",,0.98,11.90,8.29,,MJLF,SET,PROPCON,PF&REIT
2Q2555,113.95,,,76.84,,1.88,1.94,,,67.43,0.03,,11.90,"3,927.00",,0.99,12.00,8.15,,MJLF,SET,PROPCON,PF&REIT
3Q2555,110.00,,,91.28,,2.24,2.31,,,82.98,0.03,,13.10,"4,323.00",,1.09,11.98,7.40,,MJLF,SET,PROPCON,PF&REIT
4Q2555,111.80,,,76.91,,1.88,1.94,,,68.79,0.03,,14.70,"4,851.00",,1.22,12.01,6.60,,MJLF,SET,PROPCON,PF&REIT
1Q2556,112.69,,,85.39,,2.09,2.15,,,75.78,0.03,,14.50,"4,785.00",,1.21,12.01,6.76,,MJLF,SET,PROPCON,PF&REIT
2Q2556,114.08,,,78.48,,1.92,1.98,,,68.80,0.03,,13.40,"4,422.00",,1.11,12.02,7.31,,MJLF,SET,PROPCON,PF&REIT
3Q2556,114.08,,,75.09,,1.84,1.90,,,65.82,0.03,,12.80,"4,224.00",,1.07,12.01,7.66,,MJLF,SET,PROPCON,PF&REIT
4Q2556,116.98,,,101.55,,2.49,2.56,,,86.81,0.03,,11.90,"3,927.00",,0.99,11.99,8.24,,MJLF,SET,PROPCON,PF&REIT
1Q2557,115.20,,,72.25,,1.77,1.82,,,62.72,0.03,,0.00,"3,828.00",,0.96,12.07,8.53,,MJLF,SET,PROPCON,PF&REIT
2Q2557,119.62,,,88.76,,2.17,2.23,,,74.20,0.03,,11.90,"3,927.00",,0.99,12.02,8.32,,MJLF,SET,PROPCON,PF&REIT
3Q2557,116.63,,,85.11,,2.08,2.14,,,72.98,0.03,,12.40,"4,092.00",,1.03,12.07,7.98,,MJLF,SET,PROPCON,PF&REIT
4Q2557,119.50,,,89.20,,2.17,2.24,,,74.64,0.03,,12.20,"4,026.00",,1.01,12.07,8.11,,MJLF,SET,PROPCON,PF&REIT
1Q2558,121.26,,,59.93,,1.46,1.50,,,49.42,0.03,,12.40,"4,092.00",,1.02,12.11,7.90,,MJLF,SET,PROPCON,PF&REIT
2Q2558,121.75,,,101.81,,2.49,2.56,,,83.62,0.03,,13.10,"4,323.00",,1.09,12.02,7.48,,MJLF,SET,PROPCON,PF&REIT
3Q2558,119.75,,,96.01,,2.34,2.40,,,80.18,0.03,,0.00,"4,389.00",,1.10,12.08,7.37,,MJLF,SET,PROPCON,PF&REIT
4Q2558,120.69,,,104.36,,2.53,2.60,,,86.47,0.03,,13.10,"4,323.00",,1.08,12.12,7.48,,MJLF,SET,PROPCON,PF&REIT
1Q2559,121.91,,,78.68,,1.91,1.96,,,64.54,0.03,,14.60,"4,818.00",,1.20,12.18,6.92,,MJLF,SET,PROPCON,PF&REIT
2Q2559,120.37,,,101.49,,2.46,2.52,,,84.32,0.03,,14.80,"4,884.00",,1.22,12.16,6.82,,MJLF,SET,PROPCON,PF&REIT
3Q2559,121.42,,,88.85,,2.14,2.20,,,73.18,0.03,,15.30,"5,049.00",,1.25,12.22,6.60,,MJLF,SET,PROPCON,PF&REIT
4Q2559,121.71,,,89.87,,2.16,2.22,,,73.84,0.03,,14.70,"4,851.00",,1.20,12.24,6.87,,MJLF,SET,PROPCON,PF&REIT
1Q2560,117.26,,,12.65,,0.31,0.32,,,10.79,0.03,,0.00,"4,818.00",,1.19,12.26,6.92,,MJLF,SET,PROPCON,PF&REIT
2Q2560,110.51,,,110.25,,2.69,2.76,,,99.77,0.03,,13.00,"4,290.00",,1.08,12.04,7.77,,MJLF,SET,PROPCON,PF&REIT
3Q2560,108.57,,,95.76,,2.32,2.38,,,88.20,0.03,,12.50,"4,125.00",,1.03,12.15,8.08,,MJLF,SET,PROPCON,PF&REIT
4Q2560,103.71,,,13.06,,0.32,0.33,,,12.60,0.03,,12.80,"4,224.00",,1.05,12.21,7.89,,MJLF,SET,PROPCON,PF&REIT
1Q2561,101.22,,,104.19,,2.55,2.61,,,102.93,0.03,,12.60,"4,158.00",,1.05,12.03,7.10,,MJLF,SET,PROPCON,PF&REIT
2Q2561,99.16,,,63.06,,1.54,1.58,,,63.59,0.03,,12.30,"4,059.00",,1.01,12.12,7.28,,MJLF,SET,PROPCON,PF&REIT
