,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,115.93,113.33,-36.00,25.96,0.03,0.97,2.30,,,22.39,1.35,,0.78,624.00,5.41,0.56,1.40,0.00,,ML,SET,FINCIAL,FIN
2Q2555,112.03,71.88,61.76,43.33,0.06,1.63,3.72,,,38.67,1.23,,0.00,632.00,6.22,0.55,1.43,0.00,,ML,SET,FINCIAL,FIN
3Q2555,112.88,-52.73,-36.59,21.17,0.03,0.81,1.77,,,18.75,1.15,,0.98,784.00,6.68,0.66,1.48,0.00,,ML,SET,FINCIAL,FIN
4Q2555,110.49,119.23,280.00,44.98,0.06,1.72,3.66,,,40.71,1.11,,1.25,"1,000.00",9.46,0.83,1.51,0.00,,ML,SET,FINCIAL,FIN
1Q2556,118.44,-29.82,25.00,35.12,0.04,1.32,2.74,,,29.65,1.05,,1.46,"1,168.00",8.62,0.93,1.56,0.00,,ML,SET,FINCIAL,FIN
2Q2556,118.65,2.50,-25.45,29.48,0.04,1.11,2.23,,,24.85,0.99,,1.04,832.00,5.75,0.64,1.63,0.00,,ML,SET,FINCIAL,FIN
3Q2556,72.10,-4.88,50.00,28.61,0.04,1.08,2.12,,,39.68,0.92,,0.99,792.00,6.06,0.59,1.67,0.00,,ML,SET,FINCIAL,FIN
4Q2556,157.50,-48.72,-64.91,19.17,0.02,0.73,1.39,,,12.17,0.92,,0.95,760.00,5.50,0.56,1.71,0.00,,ML,SET,FINCIAL,FIN
1Q2557,101.64,29.60,-35.20,20.73,0.03,0.77,1.49,,,20.40,0.95,,1.02,816.00,7.99,0.65,1.57,0.49,,ML,SET,FINCIAL,FIN
2Q2557,109.62,30.94,-17.22,28.80,0.03,1.06,2.03,,,26.27,0.88,,1.05,924.00,9.43,0.66,1.76,0.48,,ML,SET,FINCIAL,FIN
3Q2557,101.87,-23.07,-33.05,23.13,0.03,0.86,1.60,,,22.70,0.84,,1.56,"1,372.80",14.11,0.96,1.63,0.32,,ML,SET,FINCIAL,FIN
4Q2557,160.30,-46.27,-29.85,14.54,0.01,0.54,1.00,,,9.07,0.83,,2.28,"2,006.40",21.85,1.38,1.65,0.22,,ML,SET,FINCIAL,FIN
1Q2558,103.26,98.08,7.21,24.45,0.03,0.88,1.65,,,23.68,0.93,,2.40,"2,112.00",26.64,1.58,1.52,0.21,,ML,SET,FINCIAL,FIN
2Q2558,106.63,-38.79,-49.88,18.92,0.02,0.66,1.26,,,17.74,0.92,,2.04,"1,974.72",21.72,1.32,1.70,0.25,,ML,SET,FINCIAL,FIN
3Q2558,108.15,46.62,-4.48,24.14,0.02,0.84,1.59,,,22.32,0.88,,1.76,"1,703.68",21.02,1.13,1.56,0.29,,ML,SET,FINCIAL,FIN
4Q2558,179.03,61.43,186.96,35.36,0.04,1.22,2.28,,,19.75,0.88,,1.40,"1,355.20",16.52,0.89,1.58,0.36,,ML,SET,FINCIAL,FIN
1Q2559,107.41,-15.95,21.77,32.76,0.03,1.10,2.07,,,30.50,0.87,,1.79,"1,732.72",16.84,1.11,1.62,1.79,,ML,SET,FINCIAL,FIN
2Q2559,104.25,-37.47,24.40,20.45,0.02,0.67,1.28,,,19.61,0.96,,2.08,"2,013.44",18.11,1.26,1.65,1.54,,ML,SET,FINCIAL,FIN
3Q2559,105.88,82.04,54.45,37.33,0.04,1.16,2.32,,,35.26,1.06,,1.76,"1,703.68",15.12,1.07,1.64,1.82,,ML,SET,FINCIAL,FIN
4Q2559,110.58,-31.26,-34.23,27.69,0.03,0.81,1.69,,,25.04,1.11,,2.06,"1,994.08",15.84,1.23,1.68,1.55,,ML,SET,FINCIAL,FIN
1Q2560,117.06,29.91,1.65,33.30,0.03,0.95,2.00,,,28.44,1.11,,1.88,"1,819.84",16.93,1.21,1.55,0.48,,ML,SET,FINCIAL,FIN
2Q2560,122.15,-25.58,20.98,32.30,0.03,0.91,1.91,,,26.44,1.09,,1.71,"1,820.80",15.33,1.08,1.74,0.53,,ML,SET,FINCIAL,FIN
3Q2560,123.53,17.19,-22.12,28.53,0.03,0.80,1.66,,,23.10,1.07,,1.80,"1,916.63",14.67,1.13,1.60,0.51,,ML,SET,FINCIAL,FIN
4Q2560,123.21,-33.33,-24.47,18.39,0.02,0.51,1.06,,,14.93,1.06,,1.41,"1,501.36",12.32,0.87,1.63,0.64,,ML,SET,FINCIAL,FIN
1Q2561,124.77,50.00,-12.79,30.46,0.03,0.84,1.73,,,24.41,1.06,,1.24,"1,320.35",11.73,0.75,1.64,4.03,,ML,SET,FINCIAL,FIN
2Q2561,128.44,0.00,17.19,29.39,0.03,0.79,1.66,,,22.88,1.14,,1.00,"1,064.80",9.71,0.60,1.67,5.00,,ML,SET,FINCIAL,FIN
3Q2561,129.81,-33.33,-33.33,20.79,0.02,0.55,1.18,,,16.02,1.13,,1.08,"1,149.98",10.77,0.65,1.65,4.63,,ML,SET,FINCIAL,FIN
4Q2561,129.05,-47.40,-47.40,15.75,0.01,0.42,0.88,,,12.20,1.08,,0.95,"1,011.56",10.21,0.57,1.67,5.26,,ML,SET,FINCIAL,FIN
1Q2562,125.52,90.11,-33.33,26.61,0.02,0.71,1.47,,,21.20,1.04,,1.02,"1,086.09",11.27,0.61,1.68,0.00,,ML,SET,FINCIAL,FIN
2Q2562,122.93,0.00,-33.33,13.81,0.02,0.38,0.76,,,11.23,0.97,,1.01,"1,075.45",11.62,0.59,1.71,0.00,,ML,SET,FINCIAL,FIN
3Q2562,123.71,0.00,0.00,23.37,0.02,0.64,1.26,,,18.89,0.96,,0.97,"1,032.85",13.42,0.56,1.73,0.00,,ML,SET,FINCIAL,FIN
4Q2562,210.26,64.45,212.64,35.12,0.03,0.96,1.87,,,16.70,0.95,,0.87,926.37,11.65,0.50,1.75,0.00,,ML,SET,FINCIAL,FIN
1Q2563,148.42,-42.32,-5.15,20.20,0.02,0.54,1.05,,,13.61,0.94,,0.43,457.86,,,,6.98,,ML,SET,FINCIAL,FIN
2Q2563,135.44,29.10,22.45,26.07,0.02,0.69,1.35,,,19.25,0.99,,0.85,905.08,9.78,0.47,1.82,3.53,,ML,SET,FINCIAL,FIN
3Q2563,147.09,25.85,54.10,32.82,0.03,0.86,1.69,,,22.31,0.95,,0.83,883.78,8.44,0.46,1.81,3.61,,ML,SET,FINCIAL,FIN
4Q2563,141.08,-40.33,-44.09,19.58,0.02,0.49,0.99,,,13.88,1.08,,0.97,"1,032.85",9.04,0.53,1.84,3.09,,ML,SET,FINCIAL,FIN
1Q2564,144.04,115.28,108.70,42.15,0.04,1.02,2.11,,,29.26,1.06,,1.26,"1,341.64",13.60,0.68,1.86,3.97,,ML,SET,FINCIAL,FIN
2Q2564,141.84,-24.22,22.50,31.95,0.03,0.77,1.59,,,22.52,1.05,,1.42,"1,512.01",12.53,0.75,1.90,3.52,,ML,SET,FINCIAL,FIN
3Q2564,139.86,-12.30,-14.63,28.02,0.03,0.68,1.39,,,20.03,1.03,,1.23,"1,309.70",10.35,0.65,1.88,4.07,,ML,SET,FINCIAL,FIN
4Q2564,136.08,,,0.70,-0.00,0.02,0.03,,,0.51,1.02,,1.41,"1,501.36",12.34,0.74,1.91,3.55,,ML,SET,FINCIAL,FIN
1Q2565,146.83,,-8.46,38.59,0.04,0.89,1.88,,,26.28,1.20,,1.34,"1,426.83",,,,0.00,,ML,SET,FINCIAL,FIN
2Q2565,142.60,-31.46,-17.20,26.45,0.02,0.61,1.27,,,18.55,0.98,,1.17,"1,245.81",12.55,0.60,1.94,0.00,,ML,SET,FINCIAL,FIN
3Q2565,142.06,-4.87,-10.19,25.16,0.02,0.61,1.19,,,17.71,0.91,,1.14,"1,235.16",13.17,0.59,1.97,0.00,,ML,SET,FINCIAL,FIN
