,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,33.01,,,-38.53,,-2.62,-2.68,,,-116.74,0.02,,8.25,"1,138.50",,0.77,10.71,8.64,,MNIT,SET,PROPCON,PF&REIT
4Q2555,35.29,,,-6.82,,-0.48,-0.49,,,-19.33,0.03,,8.35,"1,152.30",,0.82,10.15,8.54,,MNIT,SET,PROPCON,PF&REIT
2Q2556,34.17,,,59.75,,4.60,4.70,,,174.83,0.01,,3.00,414.00,,0.30,10.00,7.17,,MNIT,SET,PROPCON,PF&REIT
4Q2556,21.30,,,9.85,,1.02,1.04,,,46.26,0.02,,3.76,518.88,,0.45,8.43,5.72,,MNIT,SET,PROPCON,PF&REIT
2Q2557,21.64,,,14.37,,1.93,1.97,,,66.43,0.02,,3.68,507.84,,0.70,5.28,7.40,,MNIT,SET,PROPCON,PF&REIT
4Q2557,22.00,,,10.40,,1.40,1.42,,,47.26,0.01,,3.00,414.00,,0.57,5.29,9.08,,MNIT,SET,PROPCON,PF&REIT
2Q2558,22.46,,,12.36,,1.66,1.69,,,55.04,0.02,,0.00,411.24,,0.56,5.28,5.58,,MNIT,SET,PROPCON,PF&REIT
4Q2558,20.02,,,10.58,,1.42,1.45,,,52.87,0.01,,2.78,383.64,,0.52,5.30,5.99,,MNIT,SET,PROPCON,PF&REIT
2Q2559,18.59,,,1.66,,0.23,0.23,,,8.94,0.01,,2.62,361.56,,0.49,5.29,6.03,,MNIT,SET,PROPCON,PF&REIT
4Q2559,16.52,,,3.85,,0.53,0.53,,,23.28,0.01,,2.02,278.76,,0.39,5.23,7.83,,MNIT,SET,PROPCON,PF&REIT
2Q2560,15.59,,,0.77,,0.11,0.11,,,4.92,0.02,,1.92,264.96,,0.37,5.21,5.21,,MNIT,SET,PROPCON,PF&REIT
4Q2560,10.13,,,2.19,,0.30,0.31,,,21.63,0.01,,2.00,276.00,,0.39,5.18,5.00,,MNIT,SET,PROPCON,PF&REIT
2Q2561,10.41,,,0.94,,0.13,0.13,,,8.99,0.01,,0.00,248.40,,0.35,5.15,3.61,,MNIT,SET,PROPCON,PF&REIT
3Q2561,5.85,,,1.89,,0.26,0.27,,,32.35,0.01,,1.63,224.94,,0.32,5.15,3.99,,MNIT,SET,PROPCON,PF&REIT
4Q2561,5.96,,,2.57,,0.36,0.36,,,43.17,0.01,,0.00,205.62,,0.29,5.17,4.36,,MNIT,SET,PROPCON,PF&REIT
1Q2562,5.33,,,1.99,,0.28,0.28,,,37.40,0.01,,0.00,216.66,,0.30,5.17,2.26,,MNIT,SET,PROPCON,PF&REIT
2Q2562,5.62,,,-14.40,,-2.02,-2.04,,,-256.32,0.01,,1.47,202.86,,0.28,5.16,2.41,,MNIT,SET,PROPCON,PF&REIT
3Q2562,7.45,,,0.01,,0.00,0.00,,,0.19,0.02,,0.00,205.62,,0.29,5.05,2.38,,MNIT,SET,PROPCON,PF&REIT
4Q2562,7.60,,,3.69,,0.52,0.53,,,48.60,0.02,,1.69,233.22,,0.33,5.05,2.10,,MNIT,SET,PROPCON,PF&REIT
1Q2563,7.49,,,3.24,,0.46,0.46,,,43.27,0.01,,0.93,128.34,,,,4.09,,MNIT,SET,PROPCON,PF&REIT
2Q2563,7.19,,,-0.05,,-0.01,-0.01,,,-0.67,0.02,,1.41,194.58,,0.28,5.07,2.70,,MNIT,SET,PROPCON,PF&REIT
3Q2563,6.73,,,5.99,,0.84,0.85,,,89.01,0.01,,1.50,207.00,,0.30,5.07,2.53,,MNIT,SET,PROPCON,PF&REIT
4Q2563,6.18,,,2.13,,0.30,0.30,,,34.46,0.01,,1.49,205.62,,0.29,5.12,2.55,,MNIT,SET,PROPCON,PF&REIT
1Q2564,6.52,,,2.92,,0.41,0.42,,,44.72,0.01,,1.65,227.70,,0.32,5.08,6.06,,MNIT,SET,PROPCON,PF&REIT
2Q2564,6.62,,,-0.72,,-0.10,-0.10,,,-10.82,0.01,,1.61,222.18,,0.32,5.05,6.21,,MNIT,SET,PROPCON,PF&REIT
3Q2564,6.21,,,2.63,,0.37,0.38,,,42.38,0.01,,1.76,242.88,,0.35,5.02,5.68,,MNIT,SET,PROPCON,PF&REIT
4Q2564,5.48,,,1.21,,0.17,0.17,,,22.15,0.01,,1.62,223.56,,0.32,5.04,6.17,,MNIT,SET,PROPCON,PF&REIT
1Q2565,6.17,,,1.44,,0.20,0.21,,,23.30,0.01,,1.64,226.32,,,,3.05,,MNIT,SET,PROPCON,PF&REIT
2Q2565,6.56,,,3.05,,0.43,0.44,,,46.51,0.02,,0.00,219.42,,0.32,5.04,3.14,,MNIT,SET,PROPCON,PF&REIT
3Q2565,6.93,,,2.41,,0.34,0.35,,,34.74,0.01,,1.64,230.46,,0.33,5.04,2.99,,MNIT,SET,PROPCON,PF&REIT
