,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,40.63,,,37.57,,3.51,3.58,,,92.48,0.02,,9.55,959.49,,0.91,10.46,7.75,,MNIT2,SET,PROPCON,PF&REIT
4Q2555,40.64,,,43.02,,4.01,4.08,,,105.84,0.02,,0.00,974.56,,0.93,10.46,7.63,,MNIT2,SET,PROPCON,PF&REIT
2Q2556,40.53,,,37.49,,3.48,3.55,,,92.49,0.02,,9.45,949.44,,0.90,10.51,9.95,,MNIT2,SET,PROPCON,PF&REIT
4Q2556,40.46,,,40.34,,3.74,3.82,,,99.69,0.02,,9.40,944.42,,0.89,10.51,10.00,,MNIT2,SET,PROPCON,PF&REIT
2Q2557,40.42,,,36.89,,3.41,3.48,,,91.28,0.02,,9.15,919.30,,0.87,10.54,6.04,,MNIT2,SET,PROPCON,PF&REIT
4Q2557,40.43,,,33.83,,3.13,3.19,,,83.68,0.02,,8.25,828.88,,0.78,10.56,6.70,,MNIT2,SET,PROPCON,PF&REIT
2Q2558,40.44,,,37.34,,3.41,3.52,,,92.33,0.04,,8.00,803.76,,0.76,10.54,8.40,,MNIT2,SET,PROPCON,PF&REIT
4Q2558,40.36,,,27.45,,2.52,2.59,,,68.01,0.01,,7.80,783.67,,0.74,10.59,8.61,,MNIT2,SET,PROPCON,PF&REIT
2Q2559,29.42,,,20.37,,1.89,1.93,,,69.24,0.03,,6.80,683.20,,0.65,10.52,8.94,,MNIT2,SET,PROPCON,PF&REIT
4Q2559,21.51,,,7.20,,0.67,0.68,,,33.46,0.01,,6.15,617.89,,0.59,10.51,9.88,,MNIT2,SET,PROPCON,PF&REIT
2Q2560,21.05,,,14.56,,1.36,1.38,,,69.18,0.03,,4.96,498.33,,0.47,10.45,6.05,,MNIT2,SET,PROPCON,PF&REIT
4Q2560,23.38,,,18.34,,1.74,1.78,,,78.45,0.02,,5.30,532.49,,0.51,10.48,5.66,,MNIT2,SET,PROPCON,PF&REIT
2Q2561,24.65,,,13.49,,1.30,1.34,,,54.72,0.03,,0.00,537.51,,0.53,10.02,4.86,,MNIT2,SET,PROPCON,PF&REIT
3Q2561,12.35,,,5.36,,0.52,0.53,,,43.39,0.02,,0.00,512.40,,0.51,10.04,5.10,,MNIT2,SET,PROPCON,PF&REIT
4Q2561,11.92,,,10.99,,1.07,1.09,,,92.25,0.02,,0.00,502.35,,0.50,10.03,5.20,,MNIT2,SET,PROPCON,PF&REIT
1Q2562,12.14,,,7.12,,0.69,0.71,,,58.60,0.04,,0.00,496.32,,0.49,10.08,4.86,,MNIT2,SET,PROPCON,PF&REIT
2Q2562,11.85,,,6.41,,0.62,0.64,,,54.11,0.03,,0.00,512.40,,0.51,9.93,4.71,,MNIT2,SET,PROPCON,PF&REIT
3Q2562,10.96,,,5.02,,0.49,0.50,,,45.85,0.02,,0.00,498.33,,0.50,9.93,4.84,,MNIT2,SET,PROPCON,PF&REIT
4Q2562,9.58,,,3.22,,0.32,0.32,,,33.64,0.01,,0.00,490.29,,0.49,9.91,4.92,,MNIT2,SET,PROPCON,PF&REIT
1Q2563,9.27,,,4.72,,0.46,0.47,,,50.92,0.04,,3.00,301.41,,,,7.50,,MNIT2,SET,PROPCON,PF&REIT
2Q2563,9.54,,,5.02,,0.49,0.50,,,52.60,0.03,,0.00,361.69,,0.36,9.89,6.25,,MNIT2,SET,PROPCON,PF&REIT
3Q2563,8.47,,,11.03,,1.08,1.11,,,130.21,0.02,,0.00,401.88,,0.40,9.88,5.63,,MNIT2,SET,PROPCON,PF&REIT
4Q2563,7.16,,,-46.03,,-4.67,-4.75,,,-643.26,0.01,,5.00,502.35,,0.50,9.92,4.50,,MNIT2,SET,PROPCON,PF&REIT
1Q2564,6.94,,,3.14,,0.33,0.33,,,45.27,0.03,,0.00,482.26,,0.51,9.37,4.79,,MNIT2,SET,PROPCON,PF&REIT
2Q2564,7.21,,,7.55,,0.78,0.80,,,104.70,0.03,,4.94,496.32,,0.53,9.40,4.66,,MNIT2,SET,PROPCON,PF&REIT
3Q2564,7.75,,,4.87,,0.52,0.53,,,62.78,0.02,,4.88,490.29,,0.52,9.43,4.71,,MNIT2,SET,PROPCON,PF&REIT
4Q2564,7.67,,,-0.73,,-0.08,-0.08,,,-9.57,0.02,,5.05,507.37,,0.57,8.91,4.55,,MNIT2,SET,PROPCON,PF&REIT
1Q2565,8.61,,,7.30,,0.80,0.82,,,84.79,0.02,,4.98,500.34,,,,3.21,,MNIT2,SET,PROPCON,PF&REIT
2Q2565,9.23,,,3.41,,0.37,0.38,,,36.92,0.03,,5.00,502.35,,0.56,8.94,3.20,,MNIT2,SET,PROPCON,PF&REIT
3Q2565,10.93,,,4.28,,0.46,0.48,,,39.16,0.03,,0.00,494.31,,0.55,8.93,3.25,,MNIT2,SET,PROPCON,PF&REIT
