,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,149.51,-11.81,92.37,13.85,0.12,2.31,3.94,50.17,46.19,9.26,0.69,-109.00,4.00,480.00,8.91,1.39,2.87,5.00,8.37,MOONG,mai,CONSUMP,-
2Q2555,158.83,-48.07,-45.51,7.19,0.06,1.20,2.05,48.17,46.66,4.53,0.73,-124.28,4.62,554.40,9.12,1.55,2.99,4.33,10.68,MOONG,mai,CONSUMP,-
3Q2555,163.86,118.64,-12.12,15.73,0.13,2.50,4.50,50.64,44.33,9.60,0.86,-130.52,4.40,528.00,9.79,1.54,2.85,4.55,11.66,MOONG,mai,CONSUMP,-
4Q2555,174.99,-13.02,-12.90,13.68,0.11,2.05,3.75,45.81,49.99,7.82,0.81,-110.15,4.82,578.40,11.04,1.62,2.98,4.15,13.29,MOONG,mai,CONSUMP,-
1Q2556,191.42,31.59,29.96,17.54,0.15,2.56,4.58,49.44,44.61,9.16,0.77,-103.66,5.80,696.00,13.80,1.87,3.09,3.45,14.47,MOONG,mai,CONSUMP,-
2Q2556,175.92,-37.65,56.04,11.68,0.09,1.65,3.01,48.27,47.70,6.64,0.88,-93.90,6.60,792.00,14.63,2.01,3.29,3.03,15.21,MOONG,mai,CONSUMP,-
3Q2556,179.00,-78.30,-84.51,2.44,0.02,0.34,0.64,42.73,53.92,1.36,0.89,-83.75,5.70,684.00,11.67,1.79,3.19,3.51,17.34,MOONG,mai,CONSUMP,-
4Q2556,186.43,"1,024.43",100.25,27.39,0.23,3.77,6.88,58.20,36.93,14.69,0.76,-93.17,4.70,564.00,12.44,1.47,3.21,4.26,11.58,MOONG,mai,CONSUMP,-
1Q2557,181.84,-65.62,-47.68,9.42,0.08,1.35,2.26,52.07,44.71,5.18,0.60,-83.18,5.55,666.00,11.28,1.62,3.43,3.60,13.44,MOONG,mai,CONSUMP,-
2Q2557,167.32,52.83,28.24,14.39,0.12,2.18,3.45,46.11,51.76,8.60,0.56,-60.68,4.82,578.40,11.36,1.37,3.51,4.15,11.28,MOONG,mai,CONSUMP,-
3Q2557,187.31,76.50,942.86,25.40,0.21,3.85,5.98,50.93,46.81,13.56,0.55,-43.35,5.25,630.00,11.75,1.53,3.43,3.81,8.91,MOONG,mai,CONSUMP,-
4Q2557,177.63,-66.43,-68.87,8.53,0.07,1.26,1.93,38.33,57.85,4.80,0.53,-16.96,5.90,708.00,9.24,1.62,3.64,3.39,12.57,MOONG,mai,CONSUMP,-
1Q2558,157.71,52.90,38.44,13.04,0.11,1.93,2.88,40.51,56.25,8.27,0.45,-1.12,7.25,870.00,15.07,1.95,3.72,4.14,14.09,MOONG,mai,CONSUMP,-
2Q2558,170.95,-5.25,-14.17,12.50,0.10,1.79,2.72,44.99,53.23,7.31,0.60,-0.33,5.50,660.00,12.91,1.73,3.82,4.55,12.07,MOONG,mai,CONSUMP,-
3Q2558,184.57,116.02,5.05,30.27,0.22,4.11,6.38,48.23,50.22,16.40,0.51,3.63,4.82,694.84,11.68,1.51,3.83,5.18,11.98,MOONG,mai,CONSUMP,-
4Q2558,169.16,-43.34,77.33,18.93,0.13,2.56,3.80,43.94,52.65,11.19,0.46,5.84,4.90,706.37,10.98,1.44,3.40,5.10,10.49,MOONG,mai,CONSUMP,-
1Q2559,177.33,14.21,32.46,20.73,0.14,2.78,4.00,43.64,53.17,11.69,0.42,6.73,4.92,709.54,9.49,1.40,3.52,3.05,9.31,MOONG,mai,CONSUMP,-
2Q2559,161.19,-37.48,-12.60,13.02,0.09,1.72,2.48,45.05,52.50,8.08,0.47,7.12,4.98,718.19,8.71,1.36,3.66,3.01,9.66,MOONG,mai,CONSUMP,-
3Q2559,185.79,59.48,-35.47,20.90,0.14,2.63,3.93,45.54,52.47,11.25,0.52,7.74,4.88,711.66,8.58,1.37,3.61,3.04,10.96,MOONG,mai,CONSUMP,-
4Q2559,198.58,27.25,44.91,23.16,0.18,2.80,4.14,49.26,47.90,11.66,0.44,7.75,4.80,700.00,9.51,1.29,3.72,3.09,9.74,MOONG,mai,CONSUMP,-
1Q2560,191.45,-34.28,-16.62,18.96,0.12,2.33,3.24,46.02,50.15,9.90,0.34,9.17,8.15,"1,277.27",16.42,2.22,3.95,2.21,15.71,MOONG,mai,CONSUMP,-
2Q2560,205.12,-8.33,22.25,16.57,0.11,2.02,2.79,47.61,50.76,8.08,0.42,2.42,7.05,"1,104.88",14.53,1.86,3.80,2.55,13.61,MOONG,mai,CONSUMP,-
3Q2560,194.48,-11.36,-32.06,16.77,0.10,1.95,2.79,42.75,54.31,8.62,0.44,-1.32,6.40,"1,057.66",13.29,1.79,3.78,2.67,13.92,MOONG,mai,CONSUMP,-
4Q2560,225.39,66.67,-11.01,26.25,0.16,2.99,4.22,47.09,50.82,11.64,0.39,-0.74,5.30,875.87,11.61,1.44,3.69,3.22,11.60,MOONG,mai,CONSUMP,-
1Q2561,213.31,16.92,58.33,32.23,0.19,3.59,4.94,46.22,49.95,15.11,0.37,-2.26,5.90,979.95,12.48,1.54,3.85,3.05,11.00,MOONG,mai,CONSUMP,-
2Q2561,212.71,15.79,100.00,35.47,0.22,3.92,5.28,39.95,58.11,16.67,0.33,4.19,5.95,"1,002.17",10.92,1.50,4.02,2.98,9.13,MOONG,mai,CONSUMP,-
3Q2561,228.32,-5.64,112.92,35.56,0.21,3.86,5.13,46.16,52.02,15.58,0.33,9.27,6.50,"1,094.81",9.89,1.62,4.01,2.73,8.66,MOONG,mai,CONSUMP,-
4Q2561,247.93,-26.59,-6.22,25.87,0.15,2.72,3.57,46.29,50.84,10.43,0.30,7.44,6.55,"1,103.23",8.52,1.55,4.23,2.71,8.52,MOONG,mai,CONSUMP,-
1Q2562,196.29,103.41,63.16,52.33,0.31,5.29,6.86,44.81,49.96,26.66,0.30,5.04,6.15,"1,037.13",8.03,1.41,4.37,4.23,6.35,MOONG,mai,CONSUMP,-
2Q2562,187.13,-93.55,-90.91,2.56,0.02,0.25,0.33,46.96,50.30,1.37,0.34,2.05,5.30,893.79,5.99,1.13,4.68,4.91,7.62,MOONG,mai,CONSUMP,-
3Q2562,172.79,111.50,-79.62,7.89,0.04,0.80,1.05,49.53,47.72,4.57,0.31,-0.70,4.40,742.01,6.38,0.99,4.44,5.91,8.72,MOONG,mai,CONSUMP,-
4Q2562,248.63,249.17,-3.08,25.59,0.15,2.56,3.33,61.16,35.97,10.29,0.30,-11.25,3.68,620.59,7.00,0.82,4.48,7.07,7.48,MOONG,mai,CONSUMP,-
1Q2563,196.53,-52.61,-77.42,11.02,0.07,1.08,1.40,53.87,41.86,5.60,0.31,-19.85,3.04,512.66,5.80,0.66,4.62,8.55,10.56,MOONG,mai,CONSUMP,-
2Q2563,186.49,85.71,550.00,21.94,0.13,2.14,2.81,60.26,37.46,11.77,0.31,-27.31,3.58,603.73,12.83,0.76,4.69,7.26,9.25,MOONG,mai,CONSUMP,-
3Q2563,209.28,-61.54,18.20,9.57,0.05,0.95,1.24,60.94,37.33,4.57,0.30,-34.22,3.72,627.34,9.44,0.82,4.56,6.99,8.93,MOONG,mai,CONSUMP,-
4Q2563,209.54,80.00,-39.07,14.65,0.09,1.46,1.86,62.02,35.05,6.99,0.26,-32.10,4.14,698.51,10.25,0.90,4.62,6.28,10.58,MOONG,mai,CONSUMP,-
1Q2564,218.64,88.89,142.86,29.19,0.17,3.79,5.21,54.68,32.85,13.35,0.64,-30.69,4.72,796.37,13.93,1.00,4.70,3.81,9.11,MOONG,mai,CONSUMP,-
2Q2564,200.00,-88.24,-84.62,3.18,0.02,0.59,1.01,58.88,38.76,1.59,0.78,-34.97,5.10,860.49,12.39,1.05,4.84,3.53,12.25,MOONG,mai,CONSUMP,-
3Q2564,190.03,0.00,-60.00,2.33,0.02,0.35,0.57,56.24,40.20,1.23,0.53,-38.50,4.92,830.12,12.26,1.03,4.78,3.66,13.76,MOONG,mai,CONSUMP,-
1Q2565,235.31,368.45,-44.89,31.62,0.09,3.85,5.87,50.28,34.44,13.44,0.52,-40.65,5.20,877.36,10.66,0.83,6.29,4.04,11.66,MOONG,mai,CONSUMP,-
2Q2565,215.34,-92.97,-67.05,2.22,0.01,0.26,0.41,58.13,37.95,1.03,0.56,-45.73,3.22,"1,100.07",14.89,1.02,3.20,3.22,21.12,MOONG,mai,CONSUMP,-
3Q2565,194.46,,,-4.35,-0.01,-0.53,-0.81,57.43,42.67,-2.24,0.54,-42.53,2.48,863.86,14.07,0.81,3.15,4.10,19.95,MOONG,mai,CONSUMP,-
