,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,312.45,,,18.46,0.23,3.60,16.89,75.17,23.24,5.91,4.08,-49.34,,,,,,,,MORE,mai,SERVICE,-
2Q2555,325.21,,,14.62,-0.04,2.64,11.18,76.34,21.47,4.50,2.67,-47.73,,,,,,,,MORE,mai,SERVICE,-
3Q2555,377.27,,,9.45,0.03,1.39,5.80,74.20,23.94,2.50,3.63,-56.46,,,,,,,,MORE,mai,SERVICE,-
4Q2555,452.01,,,10.51,-0.10,1.21,3.30,62.53,29.45,2.33,1.06,-46.69,3.06,"1,958.40",40.33,0.00,0.00,0.00,18.79,MORE,mai,SERVICE,-
1Q2556,448.02,,-91.30,15.88,0.02,1.59,3.31,71.61,27.21,3.54,1.11,-13.42,3.58,"2,291.20",43.20,4.88,0.73,0.11,22.80,MORE,mai,SERVICE,-
2Q2556,444.61,100.00,,24.48,0.04,2.44,4.88,70.65,26.31,5.51,0.90,10.95,2.16,"1,555.20",30.82,3.17,0.68,0.16,14.78,MORE,mai,SERVICE,-
3Q2556,425.33,-75.00,-63.60,10.86,0.01,1.14,2.09,72.07,26.49,2.55,0.79,40.43,2.00,"1,440.00",23.87,2.81,0.71,0.18,13.18,MORE,mai,SERVICE,-
4Q2556,403.60,,,-10.79,0.00,-1.09,-1.96,61.38,36.02,-2.67,0.79,57.70,1.49,"1,122.47",18.17,2.14,0.73,0.23,13.37,MORE,mai,SERVICE,-
1Q2557,375.14,,,-23.70,-0.02,-2.38,-4.13,58.48,39.32,-6.32,0.68,77.10,1.26,949.20,19.73,1.62,0.78,1.59,17.98,MORE,mai,SERVICE,-
2Q2557,364.79,50.00,,-4.08,-0.01,-0.45,-0.73,61.87,35.97,-1.12,0.59,89.35,1.30,979.33,69.42,1.72,0.76,1.54,29.93,MORE,mai,SERVICE,-
3Q2557,344.07,0.00,,-6.35,-0.01,-0.70,-1.12,59.57,37.96,-1.85,0.60,100.07,3.68,"2,772.27",N/A,5.04,0.73,0.54,105.06,MORE,mai,SERVICE,-
4Q2557,444.37,-200.00,,-21.41,-0.03,-2.06,-3.65,64.74,33.44,-4.82,0.94,109.25,15.00,"11,300.00",N/A,20.58,0.73,0.13,710.80,MORE,mai,SERVICE,-
1Q2558,283.95,33.33,0.00,-69.99,-0.02,-5.40,-9.21,32.97,54.02,-24.65,0.56,119.68,2.14,"10,254.17",N/A,19.16,0.14,0.00,-416.36,MORE,mai,SERVICE,-
2Q2558,242.82,71.50,43.00,-60.75,-0.01,-4.27,-6.40,40.49,45.07,-25.02,0.44,124.31,2.04,"10,285.00",N/A,11.66,0.18,0.00,-127.29,MORE,mai,SERVICE,-
3Q2558,117.50,-357.89,-161.00,-140.73,-0.03,-10.06,-14.61,20.89,91.98,-119.78,0.46,132.73,2.00,"10,583.33",N/A,11.40,0.18,0.00,-51.13,MORE,mai,SERVICE,-
4Q2558,78.62,-63.60,-42.33,-231.04,-0.04,-17.82,-27.63,-126.73,209.11,-293.86,0.67,155.33,1.71,"9,048.75",N/A,10.04,0.17,0.00,-22.33,MORE,mai,SERVICE,-
1Q2559,107.86,67.21,30.00,-87.07,-0.01,-7.56,-13.11,-1.02,76.83,-80.72,0.82,155.26,1.70,"8,995.83",N/A,13.43,0.13,0.00,-21.28,MORE,mai,SERVICE,-
2Q2559,265.80,,,13.31,0.00,1.29,2.15,-9.53,45.29,5.01,0.52,165.78,2.32,"12,276.66",N/A,21.12,0.11,0.00,-33.98,MORE,mai,SERVICE,-
3Q2559,-5.38,,33.33,-94.57,-0.02,-10.90,-16.26,"1,086.50",-909.64,"1,757.70",0.46,199.79,1.80,"9,525.00",N/A,16.84,0.11,0.00,-28.97,MORE,mai,SERVICE,-
4Q2559,357.99,-40.23,42.86,-143.58,-0.02,-19.71,-31.06,1.63,79.35,-40.11,0.74,36.53,1.33,"7,037.92",N/A,14.73,0.09,0.00,-28.60,MORE,mai,SERVICE,-
1Q2560,201.08,99.18,98.57,-7.81,-0.00,-1.18,-2.04,56.05,35.39,-3.89,0.71,-5.62,0.82,"4,339.17",N/A,12.79,0.06,0.00,-24.72,MORE,mai,SERVICE,-
2Q2560,230.91,"-4,300.00",,-50.33,-0.01,-7.84,-15.49,62.32,35.36,-21.80,1.35,,0.93,"4,921.25",N/A,14.63,0.06,0.00,-20.43,MORE,mai,SERVICE,-
3Q2560,248.60,-172.73,-37.93,-132.15,-0.02,-21.61,-57.54,58.49,34.72,-53.16,2.11,,1.25,"6,614.58",N/A,28.40,0.04,0.00,-23.73,MORE,mai,SERVICE,-
4Q2560,322.68,41.67,42.62,-75.48,-0.01,-13.01,-44.15,63.09,26.93,-23.39,2.75,,0.91,"4,815.42",N/A,30.66,0.03,0.00,-23.33,MORE,mai,SERVICE,-
1Q2561,307.05,,,24.19,0.00,4.40,14.63,,31.14,7.88,1.96,,0.51,"2,698.75",N/A,26.45,0.02,0.00,-15.55,MORE,mai,SERVICE,-
2Q2561,302.06,-88.30,,20.92,0.00,4.16,11.50,,6.48,6.92,1.58,,0.39,"2,063.75",N/A,15.92,0.02,0.00,-21.46,MORE,mai,SERVICE,-
3Q2561,358.53,,90.00,-17.52,-0.00,-3.67,-9.87,,16.05,-4.89,1.81,,0.68,"3,598.33",N/A,23.44,0.03,0.00,"1,306.72",MORE,mai,SERVICE,-
4Q2561,-905.09,,,92.04,0.02,18.34,34.67,-16.82,13.21,-10.17,0.46,,0.38,"2,481.73",N/A,18.37,0.03,0.00,17.00,MORE,mai,SERVICE,-
1Q2562,4.11,,,-9.82,-0.00,-1.88,-2.75,-234.37,235.93,-239.00,0.46,,0.27,"1,763.34",15.22,5.16,0.05,0.00,18.42,MORE,mai,SERVICE,-
2Q2562,16.58,,,3.58,0.00,0.68,1.01,-58.37,59.52,21.57,0.50,574.50,0.14,914.32,11.63,2.75,0.05,0.00,19.21,MORE,mai,SERVICE,-
3Q2562,5.45,,62.08,-6.81,-0.00,-1.30,-1.93,-141.18,143.51,-124.97,0.47,209.87,0.16,"1,044.94",17.76,3.11,0.05,0.00,19.80,MORE,mai,SERVICE,-
4Q2562,14.18,24.18,,-5.16,-0.00,-1.01,-1.49,,50.22,-36.40,0.48,"21,884.94",0.39,"2,547.04",35.73,7.71,0.05,0.00,-195.75,MORE,mai,SERVICE,-
1Q2563,8.43,-53.62,27.89,-7.64,-0.00,-1.49,-2.24,,109.38,-90.63,0.52,"27,880.20",0.22,"1,436.79",N/A,4.41,0.05,0.00,-135.54,MORE,mai,SERVICE,-
2Q2563,8.83,-11.32,,-8.31,-0.00,-1.62,-2.50,,113.33,-94.12,0.56,"60,802.78",0.35,"2,285.81",N/A,7.17,0.05,0.00,-107.92,MORE,mai,SERVICE,-
3Q2563,8.90,-135.59,-205.49,-18.44,-0.00,-3.65,-5.78,,129.56,-207.15,0.61,,0.74,"4,832.84",N/A,15.53,0.05,0.00,-143.96,MORE,mai,SERVICE,-
4Q2563,16.11,20.50,-220.29,-14.39,-0.00,-2.80,-4.75,140.79,30.65,-89.29,0.80,211.16,0.84,"5,485.93",N/A,18.72,0.04,0.00,-131.69,MORE,mai,SERVICE,-
1Q2564,49.74,,,6.55,0.00,1.21,2.19,69.51,17.67,13.17,0.82,-240.35,1.30,"8,490.13",N/A,30.47,0.04,0.00,-317.10,MORE,mai,SERVICE,-
2Q2564,43.76,130.69,,15.18,0.00,2.76,4.90,44.32,24.88,34.68,0.73,-527.36,1.28,"8,359.52",N/A,29.31,0.04,0.00,"-3,012.29",MORE,mai,SERVICE,-
3Q2564,118.75,487.98,,88.83,0.01,15.66,24.42,14.21,7.73,74.80,0.43,-773.40,1.59,"10,384.09",N/A,34.57,0.05,0.00,98.75,MORE,mai,SERVICE,-
4Q2564,-68.52,"1,070.58",,"1,047.14",0.16,94.67,112.30,-20.89,-20.02,"-1,528.29",0.12,-818.21,1.80,"11,755.57",121.38,30.15,0.06,0.00,10.19,MORE,mai,SERVICE,-
1Q2565,36.65,-99.75,,2.42,0.00,0.15,0.18,77.39,17.94,6.59,0.20,-897.29,1.75,"11,429.03",9.86,7.94,0.22,0.00,10.00,MORE,mai,SERVICE,-
2Q2565,61.44,910.00,73.39,26.70,0.00,1.64,1.94,43.42,12.80,43.46,0.17,"-1,175.47",1.92,"12,604.58",10.92,9.83,0.20,0.00,10.86,MORE,mai,SERVICE,-
3Q2565,22.70,,,-7.55,-0.00,-0.45,-0.53,44.47,49.76,-33.25,0.21,"-1,276.16",2.58,"17,894.59",15.35,12.50,0.22,0.00,16.75,MORE,mai,SERVICE,-
