,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,,68.42,-5.88,179.53,0.32,2.17,4.19,,,,1.26,,15.20,"8,676.38",13.26,1.96,7.77,7.68,,MST,SET,FINCIAL,FIN
2Q2555,,-6.25,-6.25,173.98,0.30,1.87,4.10,,,,1.12,,13.30,"7,591.83",11.86,1.83,7.28,8.77,,MST,SET,FINCIAL,FIN
3Q2555,,10.00,10.00,186.78,0.33,1.67,4.32,,,,2.05,,13.80,"7,877.24",12.45,1.82,7.59,8.45,,MST,SET,FINCIAL,FIN
4Q2555,,3.03,78.95,198.12,0.34,1.46,4.48,,,,2.09,,14.50,"8,276.81",12.79,1.92,7.57,8.05,,MST,SET,FINCIAL,FIN
1Q2556,,185.29,203.13,554.42,0.97,3.08,12.17,,,,3.79,,22.20,"12,672.08",17.16,2.81,7.91,5.63,,MST,SET,FINCIAL,FIN
2Q2556,,-35.05,110.00,360.67,0.63,1.83,7.56,,,,2.53,,23.50,"13,414.14",12.05,2.92,8.05,5.32,,MST,SET,FINCIAL,FIN
3Q2556,,-28.30,36.89,256.07,0.45,1.55,5.15,,,,2.12,,22.70,"12,957.49",9.97,2.62,8.66,5.51,,MST,SET,FINCIAL,FIN
4Q2556,,5.87,40.66,274.66,0.48,1.82,5.35,,,,1.78,,20.80,"11,872.94",8.67,2.37,8.76,6.01,,MST,SET,FINCIAL,FIN
1Q2557,,-54.00,-77.32,127.86,0.22,0.88,2.39,,,,1.68,,20.80,"11,872.94",8.21,2.25,9.24,11.92,,MST,SET,FINCIAL,FIN
2Q2557,,72.73,-39.68,215.93,0.38,1.42,4.41,,,,2.62,,22.20,"12,672.08",12.43,2.35,9.47,11.17,,MST,SET,FINCIAL,FIN
3Q2557,,78.95,50.53,385.21,0.68,2.01,8.81,,,,4.15,,23.10,"13,185.81",15.08,3.00,7.69,10.74,,MST,SET,FINCIAL,FIN
4Q2557,,36.76,94.45,535.22,0.93,2.49,11.59,,,,3.22,,23.00,"13,128.73",13.08,3.02,7.62,10.78,,MST,SET,FINCIAL,FIN
1Q2558,,-31.32,190.32,364.59,0.64,1.90,7.20,,,,2.39,,22.80,"13,014.57",10.29,2.66,8.56,7.24,,MST,SET,FINCIAL,FIN
2Q2558,,-36.42,6.87,231.80,0.41,1.25,4.54,,,,2.88,,23.40,"13,357.06",8.90,2.54,9.20,7.05,,MST,SET,FINCIAL,FIN
3Q2558,,-15.00,-49.24,199.86,0.35,1.00,4.18,,,,3.48,,23.00,"13,128.73",8.66,2.64,8.70,7.17,,MST,SET,FINCIAL,FIN
