,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,2.11,,,,,,,,,MTC,SET,FINCIAL,FIN
3Q2557,"1,342.09",,,397.35,0.25,6.05,20.01,,,29.61,2.50,,,,,,,,,MTC,SET,FINCIAL,FIN
4Q2557,504.65,-67.71,,146.76,0.08,1.85,4.11,,,29.08,0.72,,12.20,"25,864.00",49.31,0.00,0.00,0.00,,MTC,SET,FINCIAL,FIN
1Q2558,525.28,10.47,,181.45,0.09,2.12,3.49,,,34.54,0.58,,18.20,"38,584.00",70.91,7.56,2.41,0.71,,MTC,SET,FINCIAL,FIN
2Q2558,579.64,-11.11,,183.41,0.08,2.03,3.50,,,31.64,0.88,,19.10,"40,492.00",69.23,7.66,2.49,0.68,,MTC,SET,FINCIAL,FIN
3Q2558,672.66,32.38,-58.02,220.05,0.11,2.05,4.15,,,32.71,1.16,,15.50,"32,860.00",50.50,6.32,2.45,0.84,,MTC,SET,FINCIAL,FIN
4Q2558,764.80,7.74,40.05,240.09,0.11,1.94,4.34,,,31.39,1.31,,21.30,"45,156.00",61.72,8.34,2.55,0.61,,MTC,SET,FINCIAL,FIN
1Q2559,862.22,13.94,44.44,280.01,0.13,1.98,4.83,,,32.48,1.57,,19.40,"41,128.00",49.85,7.28,2.67,1.03,,MTC,SET,FINCIAL,FIN
2Q2559,998.69,6.67,73.34,300.29,0.14,1.81,5.12,,,30.07,2.10,,19.80,"41,976.00",45.45,7.08,2.80,1.01,,MTC,SET,FINCIAL,FIN
3Q2559,"1,197.31",37.98,80.67,400.93,0.19,2.05,6.67,,,33.49,2.41,,18.50,"39,220.00",37.70,6.75,2.74,1.08,,MTC,SET,FINCIAL,FIN
4Q2559,"1,397.20",20.21,101.58,482.91,0.23,2.12,7.49,,,34.56,2.65,,24.70,"52,364.00",42.87,8.43,2.93,0.81,,MTC,SET,FINCIAL,FIN
1Q2560,"1,556.54",8.70,92.31,536.22,0.25,2.09,7.70,,,34.45,2.71,,31.00,"65,720.00",44.89,9.82,3.16,0.32,,MTC,SET,FINCIAL,FIN
2Q2560,"1,754.45",8.00,94.71,571.24,0.27,2.01,7.71,,,32.56,2.96,,33.50,"71,020.00",41.28,9.82,3.41,0.30,,MTC,SET,FINCIAL,FIN
3Q2560,"1,961.69",14.81,62.02,650.36,0.31,2.05,8.22,,,33.15,3.04,,35.25,"74,730.00",37.53,9.85,3.58,0.28,,MTC,SET,FINCIAL,FIN
4Q2560,"2,164.28",12.90,52.17,742.79,0.35,2.11,8.65,,,34.32,3.13,,38.75,"82,150.00",36.66,9.97,3.89,0.26,,MTC,SET,FINCIAL,FIN
1Q2561,"2,333.85",11.43,56.00,833.63,0.39,2.20,8.90,,,35.72,2.98,,38.50,"81,620.00",32.64,9.13,4.22,0.47,,MTC,SET,FINCIAL,FIN
2Q2561,"2,520.32",10.26,59.26,912.18,0.43,2.24,9.08,,,36.19,3.13,,33.00,"69,960.00",25.00,7.15,4.61,0.55,,MTC,SET,FINCIAL,FIN
3Q2561,"2,682.39",6.98,48.39,965.25,0.46,2.19,8.94,,,35.98,3.04,,48.25,"102,290.00",32.59,9.91,4.87,0.37,,MTC,SET,FINCIAL,FIN
4Q2561,"2,804.14",2.17,34.29,"1,002.31",0.47,2.11,8.50,,,35.74,3.00,,49.00,"103,880.00",30.08,9.20,5.32,0.37,,MTC,SET,FINCIAL,FIN
1Q2562,"2,842.94",0.00,20.51,"1,005.36",0.47,1.99,7.85,,,35.36,2.90,,44.00,"93,280.00",25.12,7.58,5.80,0.59,,MTC,SET,FINCIAL,FIN
2Q2562,"3,040.86",4.26,13.95,"1,020.78",0.49,1.89,7.54,,,33.57,3.05,,56.50,"119,780.00",30.83,9.00,6.28,0.46,,MTC,SET,FINCIAL,FIN
3Q2562,"3,287.43",4.08,10.87,"1,080.40",0.51,1.88,7.55,,,32.86,2.99,,57.00,"120,840.00",30.26,8.77,6.50,0.46,,MTC,SET,FINCIAL,FIN
4Q2562,"3,516.70",3.92,12.77,"1,130.92",0.53,1.87,7.34,,,32.16,2.87,,63.75,"135,150.00",32.89,9.10,7.01,0.41,,MTC,SET,FINCIAL,FIN
1Q2563,"3,540.11",10.12,24.18,"1,237.34",0.58,1.91,7.43,,,34.95,2.92,,35.00,"74,200.00",,,,0.86,,MTC,SET,FINCIAL,FIN
2Q2563,"3,565.26",2.18,21.70,"1,266.55",0.60,1.83,7.17,,,35.52,2.90,,52.00,"110,240.00",24.67,6.36,8.18,0.58,,MTC,SET,FINCIAL,FIN
3Q2563,"3,736.65",5.64,23.53,"1,339.97",0.63,1.87,7.19,,,35.86,2.77,,49.25,"104,410.00",22.14,5.81,8.48,0.61,,MTC,SET,FINCIAL,FIN
4Q2563,"3,890.57",3.17,22.64,"1,370.06",0.65,1.83,6.85,,,35.21,2.73,,59.00,"125,080.00",25.14,6.48,9.11,0.51,,MTC,SET,FINCIAL,FIN
1Q2564,"3,857.14",0.00,11.37,"1,373.66",0.65,1.75,6.43,,,35.61,2.62,,70.75,"149,990.00",28.77,7.25,9.76,0.52,,MTC,SET,FINCIAL,FIN
2Q2564,"3,896.41",-7.69,0.61,"1,270.07",0.60,1.53,5.70,,,32.60,2.84,,57.50,"121,900.00",22.78,5.53,10.40,0.64,,MTC,SET,FINCIAL,FIN
3Q2564,"4,031.85",-6.09,-10.57,"1,200.77",0.56,1.35,5.19,,,29.78,2.87,,58.25,"123,490.00",23.07,5.48,10.63,0.64,,MTC,SET,FINCIAL,FIN
4Q2564,"4,233.34",-7.91,-20.17,"1,100.05",0.52,1.16,4.53,,,25.99,2.96,,58.75,"124,550.00",23.89,5.24,11.20,0.63,,MTC,SET,FINCIAL,FIN
1Q2565,"4,447.82",25.27,0.00,"1,375.56",0.65,1.35,5.38,,,30.93,3.03,,52.50,"111,300.00",,,,0.70,,MTC,SET,FINCIAL,FIN
2Q2565,"4,824.74",0.01,8.35,"1,380.61",0.65,1.25,5.20,,,28.62,3.32,,42.25,"90,630.00",18.32,3.45,12.38,0.87,,MTC,SET,FINCIAL,FIN
3Q2565,"5,185.16",-12.54,0.90,"1,205.28",0.57,1.01,4.39,,,23.24,3.40,,35.50,"76,850.00",15.20,2.86,12.66,1.02,,MTC,SET,FINCIAL,FIN
