,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,1.10,-23.33,,,,,,,,MVP,mai,SERVICE,-
2Q2561,173.19,,,22.78,0.24,12.03,29.36,77.12,22.77,13.15,1.69,-25.91,,,,,,,,MVP,mai,SERVICE,-
3Q2561,168.44,,,-54.63,-0.50,-17.67,-44.16,85.96,13.95,-32.43,1.39,-38.79,3.28,656.00,21.33,,0.00,0.00,95.22,MVP,mai,SERVICE,-
4Q2561,109.22,78.20,,-18.61,-0.11,-5.27,-12.59,76.54,23.44,-17.04,1.38,-71.72,1.44,288.00,N/A,1.82,0.79,0.00,-40.79,MVP,mai,SERVICE,-
1Q2562,96.57,,,3.89,0.02,1.26,2.79,79.39,20.45,4.03,1.04,-131.26,1.88,376.00,N/A,2.73,0.69,0.00,-11.40,MVP,mai,SERVICE,-
2Q2562,80.88,248.13,-72.17,13.23,0.07,4.61,8.92,81.58,17.69,16.35,0.85,-191.97,1.93,386.00,N/A,2.73,0.71,0.00,-8.93,MVP,mai,SERVICE,-
3Q2562,44.83,-52.49,,6.40,0.03,2.00,4.05,60.77,38.78,14.29,1.20,-214.24,1.86,372.00,N/A,2.40,0.78,0.00,30.75,MVP,mai,SERVICE,-
4Q2562,112.14,-2.11,,6.26,0.03,1.75,3.83,83.24,16.70,5.58,1.17,-210.33,1.75,350.00,66.30,2.17,0.81,0.00,10.31,MVP,mai,SERVICE,-
1Q2563,70.00,-75.54,-60.40,1.15,0.01,0.33,0.69,71.92,27.82,1.64,1.02,-190.31,0.00,238.00,7.88,1.43,0.83,0.00,8.22,MVP,mai,SERVICE,-
2Q2563,12.30,,,-19.66,-0.10,-5.80,-12.52,-59.01,137.77,-159.74,1.32,-127.21,1.25,250.00,8.98,1.49,0.84,0.00,30.83,MVP,mai,SERVICE,-
3Q2563,62.01,,-95.93,0.23,0.00,0.07,0.15,78.89,21.09,0.37,1.13,-122.93,1.18,236.00,N/A,1.59,0.74,0.00,38.43,MVP,mai,SERVICE,-
4Q2563,64.77,,,-25.41,-0.13,-8.43,-18.59,66.92,32.96,-39.24,1.30,-48.74,1.24,248.00,N/A,1.67,0.74,0.00,-17.06,MVP,mai,SERVICE,-
1Q2564,32.17,,60.44,2.48,0.01,0.86,1.95,62.88,36.66,7.69,1.21,-19.13,1.90,380.00,N/A,3.01,0.63,0.00,-27.64,MVP,mai,SERVICE,-
2Q2564,43.94,,91.05,-3.58,-0.01,-1.06,-2.83,66.86,33.02,-8.15,2.15,-40.02,6.40,"1,280.00",N/A,9.93,0.64,0.00,"-1,573.49",MVP,mai,SERVICE,-
3Q2564,45.16,,"15,018.32",1.84,0.20,0.46,1.08,68.61,30.32,4.08,0.88,-10.20,4.04,808.00,N/A,6.36,0.64,0.00,109.96,MVP,mai,SERVICE,-
4Q2564,121.17,-93.40,,4.84,0.01,1.19,2.16,77.25,22.15,3.99,0.76,13.27,4.28,"1,040.25",70.55,4.76,0.90,0.00,22.68,MVP,mai,SERVICE,-
1Q2565,72.20,65.14,74.62,5.45,0.02,1.07,1.67,59.10,39.87,7.54,0.44,98.47,5.95,"1,478.05",32.63,6.43,0.93,0.00,26.39,MVP,mai,SERVICE,-
2Q2565,68.63,-84.26,,1.26,0.00,0.20,0.29,79.67,19.14,1.84,0.45,171.06,3.58,894.28,18.53,2.10,1.45,0.00,15.71,MVP,mai,SERVICE,-
3Q2565,58.74,,,-17.93,-0.06,-2.83,-4.14,46.88,41.09,-30.52,0.48,247.81,3.42,"1,062.57",20.66,2.40,1.44,0.00,27.13,MVP,mai,SERVICE,-
