,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,776.51,0.00,-81.82,47.60,0.02,1.24,3.60,73.41,24.70,6.13,1.91,105.13,0.75,"1,235.81",11.85,1.13,0.67,0.00,6.43,NATION,SET,SERVICE,MEDIA
2Q2555,728.39,50.00,,57.68,0.03,1.48,4.21,72.31,25.35,7.92,1.79,90.77,1.31,"2,158.54",17.40,1.90,0.69,0.00,7.83,NATION,SET,SERVICE,MEDIA
3Q2555,785.83,0.00,50.00,59.49,0.03,1.51,4.17,73.02,24.47,7.57,1.73,73.04,1.43,"2,356.27",15.45,1.99,0.72,0.00,7.87,NATION,SET,SERVICE,MEDIA
4Q2555,811.15,33.33,100.00,60.44,0.04,1.51,4.06,73.03,24.23,7.45,1.65,57.99,1.76,"2,900.02",17.13,2.34,0.75,0.00,8.19,NATION,SET,SERVICE,MEDIA
1Q2556,777.88,0.00,100.00,86.33,0.04,2.12,5.26,76.05,21.68,11.10,1.35,81.86,2.36,"3,888.67",40.65,5.97,0.79,0.00,8.77,NATION,SET,SERVICE,MEDIA
2Q2556,791.24,25.00,66.67,82.77,0.05,1.78,3.17,72.14,24.69,10.46,0.50,101.69,1.53,"5,042.09",22.23,3.44,0.89,0.00,7.57,NATION,SET,SERVICE,MEDIA
3Q2556,756.35,-80.00,-66.67,81.43,0.01,1.53,2.19,73.13,23.59,10.77,0.37,132.45,1.34,"4,415.94",17.24,1.39,0.96,0.00,5.81,NATION,SET,SERVICE,MEDIA
4Q2556,734.40,,,27.11,0.00,0.50,0.70,67.85,26.37,3.69,0.41,158.59,1.34,"4,427.36",15.72,1.36,0.99,0.00,6.51,NATION,SET,SERVICE,MEDIA
1Q2557,602.60,,-92.50,14.05,0.00,0.26,0.37,67.87,27.66,2.33,0.48,170.88,1.30,"4,295.20",17.06,1.30,1.00,1.54,8.37,NATION,SET,SERVICE,MEDIA
2Q2557,708.31,-33.33,-96.00,4.59,0.00,0.07,0.12,66.28,25.19,0.65,1.28,181.62,1.33,"4,394.64",23.23,1.32,1.01,1.50,15.11,NATION,SET,SERVICE,MEDIA
3Q2557,772.64,450.00,10.00,35.14,0.01,0.41,0.94,78.47,22.46,4.55,1.28,181.75,1.48,"4,890.27",41.20,1.50,0.99,1.35,15.93,NATION,SET,SERVICE,MEDIA
4Q2557,867.25,-63.64,,16.31,0.00,0.19,0.43,74.37,20.68,1.88,1.25,164.15,1.85,"6,135.24",80.84,1.85,1.00,1.08,16.28,NATION,SET,SERVICE,MEDIA
1Q2558,747.50,0.00,33.33,13.86,0.00,0.16,0.37,73.66,23.33,1.85,1.26,135.50,2.34,"7,760.25",120.39,2.31,1.01,1.20,16.60,NATION,SET,SERVICE,MEDIA
2Q2558,737.58,175.00,450.00,41.35,0.01,0.49,1.01,70.08,26.44,5.61,0.92,122.57,1.83,"7,430.23",91.99,1.85,0.99,1.53,16.21,NATION,SET,SERVICE,MEDIA
3Q2558,801.82,-27.27,-27.27,31.49,0.01,0.37,0.71,73.19,23.61,3.93,0.90,103.32,1.48,"6,009.15",61.52,1.52,0.97,1.55,14.80,NATION,SET,SERVICE,MEDIA
4Q2558,816.61,,,-59.73,-0.01,-0.71,-1.36,60.83,37.32,-7.31,0.89,106.13,1.44,"5,857.40",62.07,1.47,0.98,1.59,15.29,NATION,SET,SERVICE,MEDIA
1Q2559,680.53,23.08,,-54.33,-0.01,-0.66,-1.26,66.34,30.10,-7.98,0.91,118.68,1.49,"6,060.78",170.33,1.55,0.96,2.01,18.11,NATION,SET,SERVICE,MEDIA
2Q2559,499.36,-640.00,,-361.80,-0.07,-4.55,-8.95,13.68,82.86,-72.45,1.03,98.27,1.19,"4,840.74",N/A,1.26,0.95,2.52,64.39,NATION,SET,SERVICE,MEDIA
3Q2559,504.12,6.76,,-304.48,-0.07,-3.99,-8.33,80.02,15.30,-60.40,1.15,91.97,1.08,"4,393.28",N/A,1.28,0.84,2.78,-43.14,NATION,SET,SERVICE,MEDIA
4Q2559,496.83,-71.01,-807.69,-520.42,-0.12,-7.11,-15.97,54.58,41.74,-104.75,1.35,73.66,1.12,"4,555.99",N/A,1.44,0.78,2.68,-20.67,NATION,SET,SERVICE,MEDIA
1Q2560,550.90,46.61,-530.00,-274.50,-0.06,-3.93,-9.56,54.97,42.05,-49.83,1.52,58.35,1.00,"4,067.85",N/A,1.52,0.66,0.00,-13.40,NATION,SET,SERVICE,MEDIA
2Q2560,424.86,-3.17,12.16,-279.90,-0.07,-4.19,-10.77,31.71,63.37,-65.88,1.62,57.32,0.63,"2,562.74",N/A,1.06,0.60,0.00,-14.95,NATION,SET,SERVICE,MEDIA
3Q2560,387.49,-510.77,-475.36,"-1,787.26",-0.40,-32.19,-113.99,45.35,49.35,-461.24,5.89,58.80,0.63,"2,562.74",N/A,1.18,0.53,0.00,-3.35,NATION,SET,SERVICE,MEDIA
4Q2560,527.08,98.74,95.76,-36.70,-0.01,-0.84,-9.06,97.89,-2.33,-6.96,29.26,43.10,0.48,"1,952.57",N/A,3.52,0.14,0.00,-3.34,NATION,SET,SERVICE,MEDIA
1Q2561,416.07,-520.00,50.79,-139.11,-0.03,-3.48,-212.87,51.69,42.31,-33.43,"-1,025.77",22.68,0.00,"1,545.78",N/A,2.79,0.14,0.00,-3.23,NATION,SET,SERVICE,MEDIA
2Q2561,398.20,-6.45,49.23,-150.41,-0.03,-3.90,190.29,47.27,43.49,-37.77,-25.65,-14.26,0.00,"1,545.78",N/A,2.79,0.14,0.00,-3.52,NATION,SET,SERVICE,MEDIA
3Q2561,413.06,30.30,94.21,-113.15,-0.02,-3.20,50.09,53.63,41.26,-27.39,-11.99,-34.97,0.00,"1,545.78",N/A,147.00,0.00,0.00,71.31,NATION,SET,SERVICE,MEDIA
4Q2561,260.71,,,693.16,0.15,19.73,"1,601.88",-40.06,128.23,265.88,8.78,10.74,0.00,"1,545.78",N/A,0.00,-0.06,0.00,4.67,NATION,SET,SERVICE,MEDIA
1Q2562,324.17,,12.90,-113.89,-0.03,-3.08,-34.81,50.18,41.72,-35.13,12.47,-1.83,0.00,813.59,N/A,0.00,-0.08,0.00,4.12,NATION,SET,SERVICE,MEDIA
2Q2562,669.76,,,168.27,0.04,5.50,47.49,22.68,24.56,25.12,4.66,51.25,0.00,,,,-0.08,,,NATION,SET,SERVICE,MEDIA
3Q2562,320.53,-53.49,,74.96,0.02,3.86,15.75,39.67,49.73,23.39,1.73,68.24,0.00,,,,0.06,,,NATION,SET,SERVICE,MEDIA
4Q2562,317.61,,,-131.44,-0.03,-9.56,-29.75,42.45,51.40,-41.38,2.64,42.67,0.00,,,,0.07,,,NATION,SET,SERVICE,MEDIA
1Q2563,346.04,35.48,25.93,-91.24,-0.02,-6.08,-26.20,48.66,46.94,-26.37,4.07,44.27,0.00,0.00,,,,0.00,6.62,NATION,SET,SERVICE,MEDIA
2Q2563,321.34,65.00,,-35.25,-0.01,-2.19,-11.42,59.56,35.52,-10.97,4.36,-22.32,0.00,,,,0.06,,,NATION,SET,SERVICE,MEDIA
3Q2563,351.35,28.57,,-13.53,-0.01,-0.87,-4.80,61.07,33.98,-3.85,4.65,-50.20,0.00,,,,0.06,,,NATION,SET,SERVICE,MEDIA
