,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,165.04,75.00,-53.33,11.37,0.07,2.33,3.47,82.22,17.44,6.89,0.49,-61.48,5.55,962.58,11.00,2.97,1.87,5.40,8.56,NBC,mai,SERVICE,-
2Q2555,194.03,57.14,-31.25,19.54,0.11,3.80,5.76,83.72,15.88,10.07,0.54,-53.27,4.82,840.97,11.62,2.51,1.93,6.18,8.28,NBC,mai,SERVICE,-
3Q2555,188.26,-45.45,-62.50,10.24,0.06,1.83,2.97,85.78,13.88,5.44,0.69,-84.12,5.00,872.37,13.30,2.51,1.99,5.96,10.91,NBC,mai,SERVICE,-
4Q2555,193.09,-33.33,0.00,6.87,0.04,1.18,1.95,84.70,14.58,3.56,0.61,-134.59,4.94,873.74,18.24,2.52,1.99,5.95,10.08,NBC,mai,SERVICE,-
1Q2556,181.64,225.00,85.71,22.25,0.13,3.75,5.92,85.76,13.89,12.25,0.55,-158.05,6.10,"1,078.91",67.40,8.99,2.04,0.97,10.00,NBC,mai,SERVICE,-
2Q2556,162.58,-61.54,-54.55,9.70,0.05,1.61,2.52,80.81,17.53,5.97,0.57,-171.72,4.02,721.46,36.39,5.48,2.21,1.46,7.69,NBC,mai,SERVICE,-
3Q2556,162.81,,,10.76,-0.03,0.97,1.18,77.48,19.06,6.61,0.12,-102.37,3.36,"1,791.58",36.52,4.73,2.11,1.75,7.79,NBC,mai,SERVICE,-
4Q2556,173.64,,,8.33,0.00,0.51,0.58,74.56,19.72,4.80,0.13,-50.32,4.30,"2,297.97",46.36,1.58,2.72,1.37,12.56,NBC,mai,SERVICE,-
1Q2557,136.84,,-95.38,2.95,0.01,0.18,0.20,74.15,20.54,2.16,0.12,-15.77,3.94,"2,105.59",41.26,1.45,2.71,2.19,16.74,NBC,mai,SERVICE,-
2Q2557,174.92,-50.00,-94.00,1.77,0.00,0.08,0.12,77.27,18.34,1.01,0.92,0.88,3.64,"1,945.30",61.28,1.34,2.71,2.37,29.67,NBC,mai,SERVICE,-
3Q2557,193.69,-33.33,,1.14,0.00,0.04,0.08,79.09,16.82,0.59,0.96,-42.48,3.30,"1,763.59",74.04,1.23,2.69,2.62,39.17,NBC,mai,SERVICE,-
4Q2557,236.42,350.00,,4.85,0.01,0.17,0.34,84.07,13.56,2.05,0.99,-84.40,4.02,"2,149.53",151.47,1.50,2.69,2.15,24.41,NBC,mai,SERVICE,-
1Q2558,187.88,-33.33,0.00,3.36,0.01,0.12,0.24,80.99,15.46,1.79,0.98,-150.34,3.94,"2,106.75",196.62,1.49,2.64,2.03,19.54,NBC,mai,SERVICE,-
2Q2558,224.19,216.67,533.33,10.06,0.02,0.37,0.71,83.29,14.20,4.49,0.87,-201.06,3.26,"1,745.04",156.85,1.23,2.66,2.45,16.49,NBC,mai,SERVICE,-
3Q2558,221.63,-63.16,250.00,3.65,0.01,0.14,0.26,82.46,15.49,1.65,0.88,-201.61,3.30,"1,766.45",91.01,1.26,2.61,2.42,13.45,NBC,mai,SERVICE,-
4Q2558,212.44,,,-37.63,-0.07,-1.49,-2.79,73.60,24.47,-17.71,0.85,-153.44,2.60,"1,392.14",63.51,1.01,2.58,3.07,15.33,NBC,mai,SERVICE,-
1Q2559,137.93,-31.43,,-49.03,-0.09,-2.02,-3.80,69.89,26.62,-35.55,0.91,-121.45,2.52,"1,349.30",N/A,1.02,2.46,3.17,24.03,NBC,mai,SERVICE,-
2Q2559,112.93,-35.87,,-67.11,-0.13,-2.98,-5.56,61.68,33.90,-59.43,0.82,-96.06,1.98,"1,060.16",N/A,0.84,2.36,4.04,223.32,NBC,mai,SERVICE,-
3Q2559,152.78,12.80,,-58.25,-0.11,-2.86,-5.22,65.17,31.76,-38.13,0.84,-54.20,1.92,"1,028.04",N/A,0.89,2.15,4.17,-16.81,NBC,mai,SERVICE,-
4Q2559,132.89,-72.90,-169.23,-101.07,-0.19,-5.27,-9.81,71.68,25.89,-76.05,0.88,-55.30,1.82,974.49,N/A,0.90,2.02,4.40,-19.42,NBC,mai,SERVICE,-
1Q2560,169.25,32.08,-39.13,-68.67,-0.13,-3.78,-7.26,62.08,36.60,-40.57,0.96,-4.01,1.83,979.85,N/A,1.00,1.83,0.00,-17.94,NBC,mai,SERVICE,-
2Q2560,132.78,25.78,24.00,-50.98,-0.10,-3.03,-5.78,52.75,42.88,-38.39,0.85,36.68,1.78,953.08,N/A,1.05,1.70,0.00,-23.27,NBC,mai,SERVICE,-
3Q2560,140.89,"-1,075.79",-924.77,-598.53,-1.12,-47.50,-108.39,66.93,32.04,-424.83,2.74,55.97,1.51,808.51,N/A,0.95,1.59,0.00,-2.58,NBC,mai,SERVICE,-
4Q2560,96.18,66.77,-96.96,-198.06,-0.37,-22.71,-105.79,-3.29,94.67,-205.94,5.56,82.06,1.17,626.46,N/A,2.48,0.47,0.00,-1.65,NBC,mai,SERVICE,-
