,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,171.72,86.40,11.84,14.21,0.95,2.39,4.66,74.88,24.34,8.28,0.90,386.26,22.80,340.88,8.58,1.18,19.40,3.29,9.07,NC,SET,CONSUMP,FASHION
2Q2555,162.59,-15.97,19.23,11.94,0.80,1.95,3.74,69.08,27.86,7.35,0.94,404.20,0.00,343.87,8.33,1.08,21.38,3.26,9.35,NC,SET,CONSUMP,FASHION
3Q2555,160.67,-27.45,-8.01,8.66,0.58,1.34,2.54,70.50,28.42,5.39,0.86,422.81,24.00,358.82,8.32,1.12,21.39,3.13,10.10,NC,SET,CONSUMP,FASHION
4Q2555,187.84,49.69,70.11,12.97,0.87,1.93,3.57,69.63,26.76,6.91,0.83,403.42,24.90,372.28,8.77,1.03,24.29,3.01,9.52,NC,SET,CONSUMP,FASHION
1Q2556,173.07,-34.71,-40.41,8.47,0.57,1.28,2.33,72.79,26.65,4.89,0.82,407.18,24.40,364.80,7.63,1.00,24.31,3.07,10.62,NC,SET,CONSUMP,FASHION
2Q2556,165.49,57.66,11.80,13.35,0.89,2.05,3.75,65.72,31.12,8.07,0.85,400.27,19.70,294.53,7.00,0.81,24.23,3.81,9.29,NC,SET,CONSUMP,FASHION
3Q2556,156.38,-41.24,-9.46,7.84,0.52,1.23,2.23,68.84,30.38,5.02,0.78,393.20,0.00,290.05,6.67,0.83,23.37,3.87,9.27,NC,SET,CONSUMP,FASHION
4Q2556,187.75,-9.52,-45.28,7.10,0.47,1.12,2.01,69.47,29.82,3.78,0.83,373.44,0.00,272.11,6.38,0.77,23.74,4.12,10.66,NC,SET,CONSUMP,FASHION
1Q2557,159.17,25.23,4.96,8.89,0.59,1.39,2.50,69.41,29.89,5.58,0.76,368.99,18.00,269.12,7.32,0.76,23.55,2.50,10.28,NC,SET,CONSUMP,FASHION
2Q2557,147.71,-57.96,-72.01,3.74,0.25,0.59,1.05,63.09,33.58,2.53,0.77,375.65,18.50,276.59,7.44,0.77,24.05,2.43,13.29,NC,SET,CONSUMP,FASHION
