,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,2.87,,,,,,,,,NCAP,SET,FINCIAL,FIN
2Q2563,565.77,,,70.65,0.12,1.80,6.89,,,12.49,2.79,,,,,,,,,NCAP,SET,FINCIAL,FIN
3Q2563,293.33,-8.33,,68.22,0.11,1.78,6.94,,,23.26,3.01,,,,,,,,,NCAP,SET,FINCIAL,FIN
4Q2563,289.36,-27.27,,62.89,0.08,1.47,4.75,,,21.74,1.78,,5.60,"5,040.00",28.34,,0.00,0.00,,NCAP,SET,FINCIAL,FIN
1Q2564,311.43,0.00,,74.77,0.08,1.66,4.36,,,24.01,1.48,,13.00,"11,700.00",57.99,6.98,1.86,0.00,,NCAP,SET,FINCIAL,FIN
2Q2564,324.84,12.50,-25.00,74.67,0.09,1.69,4.16,,,22.98,1.44,,11.30,"10,170.00",42.43,5.79,1.95,0.00,,NCAP,SET,FINCIAL,FIN
3Q2564,349.21,-11.11,-27.27,73.55,0.08,1.57,3.93,,,21.06,1.58,,10.30,"9,270.00",33.04,5.05,2.04,0.00,,NCAP,SET,FINCIAL,FIN
4Q2564,396.40,25.00,25.00,87.96,0.10,1.64,4.49,,,22.19,1.90,,9.95,"8,955.00",31.32,4.71,2.11,0.00,,NCAP,SET,FINCIAL,FIN
1Q2565,454.46,-30.00,-12.50,65.18,0.07,1.02,3.18,,,14.34,2.33,,10.20,"9,180.00",,,,0.00,,NCAP,SET,FINCIAL,FIN
2Q2565,489.47,-85.71,-88.89,13.08,0.01,0.17,0.42,,,2.67,1.04,,4.84,"6,561.00",21.77,1.60,3.04,0.00,,NCAP,SET,FINCIAL,FIN
3Q2565,488.36,0.00,-87.50,16.22,0.01,0.19,0.39,,,3.32,1.05,,3.42,"4,914.00",20.49,1.19,3.06,0.00,,NCAP,SET,FINCIAL,FIN
