,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,217.01,,,-20.02,-0.02,-0.60,-0.91,65.43,33.67,-9.22,0.52,"2,746.95",1.27,"1,506.20",7.82,0.68,1.87,5.51,7.76,NCH,SET,PROPCON,PROP
2Q2555,416.69,,32.14,44.28,0.04,1.33,2.03,78.49,19.87,10.63,0.55,"2,722.08",1.14,"1,352.02",8.24,0.61,1.85,6.14,7.31,NCH,SET,PROPCON,PROP
3Q2555,401.15,-24.32,115.38,32.65,0.03,0.97,1.50,77.74,21.82,8.14,0.55,,1.24,"1,470.62",8.36,0.68,1.82,5.65,7.85,NCH,SET,PROPCON,PROP
4Q2555,538.97,28.57,-68.42,43.17,0.04,1.22,1.95,77.01,21.88,8.01,0.65,,1.32,"1,565.50",8.11,0.71,1.85,5.30,18.31,NCH,SET,PROPCON,PROP
1Q2556,372.42,-63.89,,15.28,0.01,0.41,0.68,76.30,23.18,4.10,0.68,,1.40,"1,660.38",16.59,0.74,1.89,2.50,15.17,NCH,SET,PROPCON,PROP
2Q2556,489.35,107.69,-27.03,31.98,0.03,0.82,1.43,79.46,20.09,6.54,0.81,,1.20,"1,423.18",10.51,0.63,1.90,2.92,16.45,NCH,SET,PROPCON,PROP
3Q2556,367.82,-33.33,-35.71,21.68,0.02,0.52,0.96,74.65,23.90,5.90,0.88,,1.16,"1,375.74",11.18,0.61,1.89,3.02,18.79,NCH,SET,PROPCON,PROP
4Q2556,451.73,72.22,-13.89,36.34,0.03,0.84,1.59,75.60,22.15,8.04,0.94,,1.15,"1,363.88",12.17,0.60,1.91,3.04,20.17,NCH,SET,PROPCON,PROP
1Q2557,325.55,-83.87,-61.54,6.22,0.01,0.14,0.27,74.50,25.04,1.91,0.98,,1.24,"1,470.62",13.97,0.64,1.94,2.74,22.17,NCH,SET,PROPCON,PROP
2Q2557,484.28,440.00,0.00,31.85,0.03,0.70,1.39,79.26,20.15,6.58,0.99,,1.48,"1,755.26",18.24,0.76,1.94,2.30,22.69,NCH,SET,PROPCON,PROP
3Q2557,403.96,-85.19,-77.78,5.15,0.00,0.11,0.22,74.79,24.55,1.28,1.01,,1.72,"2,039.89",21.23,0.89,1.93,1.98,24.95,NCH,SET,PROPCON,PROP
4Q2557,629.74,"1,400.00",93.55,70.84,0.06,1.44,3.03,79.09,18.37,11.25,1.20,,1.54,"1,826.42",22.96,0.79,1.94,2.21,21.17,NCH,SET,PROPCON,PROP
1Q2558,488.78,-55.00,440.00,31.53,0.03,0.60,1.32,80.29,19.33,6.45,1.18,,1.68,"1,992.45",17.47,0.84,2.00,2.20,18.21,NCH,SET,PROPCON,PROP
2Q2558,608.45,37.04,37.04,44.79,0.04,0.86,1.86,81.37,18.29,7.36,1.14,,1.77,"2,099.19",15.06,0.87,2.03,2.09,16.73,NCH,SET,PROPCON,PROP
3Q2558,493.17,-54.05,325.00,20.33,0.02,0.40,0.84,78.98,20.45,4.12,1.09,,1.78,"2,111.05",13.86,0.88,2.03,2.08,15.18,NCH,SET,PROPCON,PROP
4Q2558,546.93,41.18,-60.00,28.28,0.02,0.56,1.16,79.05,19.16,5.17,1.05,,1.47,"1,743.40",10.41,0.72,2.04,2.52,15.51,NCH,SET,PROPCON,PROP
1Q2559,326.20,,,-12.26,-0.01,-0.24,-0.50,71.19,26.85,-3.76,1.07,"3,978.50",1.46,"1,731.54",14.55,0.74,1.97,0.36,19.48,NCH,SET,PROPCON,PROP
