,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,1.66,-73.89,,,,,,,,NDR,mai,INDUS,-
3Q2557,598.94,,,39.21,0.28,7.01,20.67,91.90,7.59,6.55,2.22,-96.49,,,,,,,,NDR,mai,INDUS,-
4Q2557,193.29,-84.55,,7.07,0.04,1.11,3.50,87.38,11.64,3.66,2.10,-104.46,,,,,,,,NDR,mai,INDUS,-
1Q2558,176.31,-47.60,,4.77,0.02,0.72,1.68,89.68,9.54,2.71,0.88,-112.07,4.56,980.40,21.47,0.00,0.00,1.75,5.68,NDR,mai,INDUS,-
2Q2558,210.13,79.82,,8.65,0.04,1.29,2.36,91.76,7.65,4.12,0.80,-145.86,3.86,829.90,20.95,2.30,1.68,2.07,9.24,NDR,mai,INDUS,-
3Q2558,201.39,33.42,-80.58,11.58,0.05,1.72,3.08,91.21,8.35,5.75,0.77,-162.80,4.38,941.70,26.03,2.55,1.72,1.83,16.55,NDR,mai,INDUS,-
4Q2558,209.19,-19.66,1.00,9.38,0.04,1.39,2.42,89.87,9.27,4.48,0.71,-172.32,4.06,872.90,27.51,2.29,1.77,1.97,13.82,NDR,mai,INDUS,-
1Q2559,201.89,-50.39,-4.38,4.74,0.02,0.71,1.22,91.58,7.97,2.35,0.74,-158.38,3.94,847.10,24.78,2.16,1.82,1.52,13.48,NDR,mai,INDUS,-
2Q2559,215.73,284.68,104.55,17.93,0.08,2.65,4.56,91.28,7.86,8.31,0.69,-136.94,3.62,778.30,22.74,2.03,1.78,1.66,10.52,NDR,mai,INDUS,-
3Q2559,218.36,2.04,56.46,18.31,0.08,2.60,4.45,91.98,7.53,8.38,0.73,-137.05,4.06,872.90,20.10,2.17,1.87,1.48,10.69,NDR,mai,INDUS,-
4Q2559,214.39,-16.16,63.27,15.38,0.07,2.09,3.59,91.06,7.89,7.17,0.71,-117.46,4.20,903.00,18.02,2.15,1.95,1.43,10.48,NDR,mai,INDUS,-
1Q2560,217.13,-17.41,171.82,12.70,0.06,1.70,2.94,92.64,6.77,5.85,0.74,-109.88,4.22,907.30,16.19,2.09,2.02,2.30,9.80,NDR,mai,INDUS,-
2Q2560,202.34,-69.87,-78.71,3.59,0.02,0.49,0.83,92.72,6.72,1.77,0.66,-74.40,4.08,877.20,13.70,2.06,1.99,2.38,11.01,NDR,mai,INDUS,-
3Q2560,213.23,-55.76,-90.77,1.86,0.01,0.26,0.43,93.46,6.20,0.87,0.64,-48.37,3.84,828.86,16.69,1.91,2.01,2.52,12.67,NDR,mai,INDUS,-
4Q2560,192.38,,,-1.13,-0.01,-0.16,-0.26,91.96,7.52,-0.59,0.61,-60.66,3.68,794.33,23.98,1.83,2.01,2.63,15.63,NDR,mai,INDUS,-
1Q2561,207.38,"-1,165.17",,-19.15,-0.08,-2.02,-3.63,78.61,20.78,-9.23,0.93,39.48,3.00,812.55,49.38,1.92,1.96,0.09,37.97,NDR,mai,INDUS,-
2Q2561,252.66,,128.14,3.06,0.04,0.25,0.46,84.32,15.10,1.21,0.69,79.41,2.20,610.77,N/A,0.99,2.28,0.12,25.04,NDR,mai,INDUS,-
3Q2561,272.22,-91.28,-55.04,13.46,0.00,1.12,1.87,85.47,14.29,4.95,0.65,90.21,2.30,709.60,N/A,0.99,2.32,0.11,19.43,NDR,mai,INDUS,-
4Q2561,280.18,"3,620.45",,30.88,0.13,2.56,4.17,73.12,14.11,11.02,0.60,101.65,1.99,613.96,N/A,0.86,2.32,0.12,9.17,NDR,mai,INDUS,-
1Q2562,196.39,,76.81,-5.02,-0.02,-0.42,-0.66,80.09,18.84,-2.55,0.54,86.18,2.06,649.71,22.65,0.85,2.42,1.46,8.05,NDR,mai,INDUS,-
2Q2562,223.15,,-96.43,-0.16,0.00,-0.01,-0.02,82.58,16.51,-0.07,0.57,48.59,1.83,577.17,13.46,0.77,2.37,1.64,7.98,NDR,mai,INDUS,-
3Q2562,213.78,,,-2.63,-0.01,-0.23,-0.36,81.71,17.74,-1.23,0.52,61.05,1.33,419.47,10.60,0.57,2.32,2.26,7.72,NDR,mai,INDUS,-
4Q2562,223.94,-330.71,,-12.07,-0.04,-1.12,-1.69,80.48,18.93,-5.39,0.51,101.16,1.08,340.62,14.75,0.47,2.29,2.78,17.80,NDR,mai,INDUS,-
1Q2563,170.44,80.01,57.78,-2.41,-0.01,-0.23,-0.34,78.77,19.71,-1.41,0.44,142.20,0.87,274.39,N/A,0.39,2.23,0.00,13.94,NDR,mai,INDUS,-
2Q2563,158.29,,"1,860.42",8.86,0.03,0.86,1.23,82.48,17.04,5.59,0.43,199.50,1.14,359.55,N/A,0.51,2.23,0.00,12.39,NDR,mai,INDUS,-
3Q2563,226.17,101.45,,17.97,0.06,1.72,2.46,83.97,15.81,7.94,0.44,208.22,1.43,451.01,N/A,0.63,2.26,0.00,9.50,NDR,mai,INDUS,-
4Q2563,223.98,15.79,,20.80,0.07,1.92,2.77,87.03,13.33,9.29,0.44,208.56,1.45,457.32,35.81,0.61,2.37,0.00,6.07,NDR,mai,INDUS,-
1Q2564,200.91,-48.02,,10.91,0.03,1.01,1.44,82.99,15.90,5.43,0.40,203.80,2.06,649.71,14.35,0.86,2.38,2.43,6.82,NDR,mai,INDUS,-
2Q2564,202.29,-13.67,4.68,9.74,0.03,0.88,1.21,85.59,13.77,4.81,0.35,213.83,3.10,"1,046.32",17.92,1.37,2.42,1.51,9.94,NDR,mai,INDUS,-
