,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,44.33,60.00,,-13.98,-0.01,-1.80,-2.35,67.10,30.78,-31.54,0.32,-202.63,0.66,924.05,238.18,1.49,0.45,0.00,-54.01,NEP,SET,INDUS,PKG
2Q2555,48.19,,"1,000.00",107.33,0.08,13.86,17.09,46.67,49.57,222.73,0.16,-176.43,0.76,"1,072.59",N/A,1.88,0.41,0.00,15.83,NEP,SET,INDUS,PKG
3Q2555,313.01,137.66,,256.83,0.18,28.39,31.47,9.27,4.48,82.05,0.07,-163.84,0.91,"1,295.66",15.75,1.89,0.48,0.00,3.93,NEP,SET,INDUS,PKG
4Q2555,44.66,,80.00,-6.08,-0.01,-0.60,-0.64,44.75,50.82,-13.61,0.07,-78.99,1.06,"1,511.35",4.43,1.60,0.67,0.00,4.43,NEP,SET,INDUS,PKG
1Q2556,51.73,-220.00,-60.00,-22.43,-0.02,-2.22,-2.40,56.79,40.74,-43.36,0.08,-19.59,1.73,"2,502.12",7.27,2.65,0.66,0.00,7.40,NEP,SET,INDUS,PKG
2Q2556,59.50,,-42.86,62.36,0.04,5.95,6.50,55.90,41.37,104.81,0.10,8.23,1.26,"1,822.36",5.43,1.96,0.64,0.00,6.26,NEP,SET,INDUS,PKG
3Q2556,73.50,,,-36.07,-0.03,-3.30,-3.71,72.44,25.46,-49.07,0.14,-13.83,1.30,"1,880.23",6.47,1.90,0.69,0.00,140.15,NEP,SET,INDUS,PKG
4Q2556,79.41,-60.00,-700.00,-56.59,-0.04,-5.27,-6.10,84.82,14.93,-71.26,0.17,-75.11,1.09,"1,576.50",N/A,1.65,0.66,0.00,-48.22,NEP,SET,INDUS,PKG
1Q2557,78.32,47.50,-31.25,-30.39,-0.02,-2.91,-3.44,77.27,22.36,-38.81,0.19,-130.74,1.03,"1,489.72",N/A,1.66,0.62,0.00,-40.21,NEP,SET,INDUS,PKG
2Q2557,76.61,-23.81,,-37.75,-0.03,-3.73,-4.45,75.98,22.74,-49.28,0.19,-183.70,1.17,"1,692.26",N/A,1.95,0.60,0.00,-13.15,NEP,SET,INDUS,PKG
3Q2557,79.64,15.38,12.00,-32.33,-0.02,-3.34,-3.97,73.33,20.94,-40.60,0.19,-206.88,1.08,"1,562.13",N/A,1.88,0.57,0.00,-12.69,NEP,SET,INDUS,PKG
4Q2557,78.85,-268.18,-102.50,-116.28,-0.08,-13.03,-15.73,80.17,19.13,-147.47,0.23,-177.21,0.90,"1,301.78",N/A,1.63,0.55,0.00,-7.50,NEP,SET,INDUS,PKG
1Q2558,71.71,,,20.23,0.01,2.44,2.93,77.96,20.96,28.21,0.17,-157.21,0.73,"1,055.89",N/A,1.55,0.47,0.00,-8.16,NEP,SET,INDUS,PKG
2Q2558,78.96,,30.77,-26.64,-0.02,-3.28,-3.87,81.01,17.74,-33.74,0.19,-148.78,0.85,"1,229.46",N/A,1.75,0.48,0.00,-10.58,NEP,SET,INDUS,PKG
3Q2558,92.75,5.56,22.73,-23.46,-0.02,-2.95,-3.54,81.15,17.36,-25.30,0.21,-132.81,0.71,"1,026.96",N/A,1.52,0.47,0.00,-9.73,NEP,SET,INDUS,PKG
4Q2558,85.25,-276.47,20.99,-93.35,-0.06,-12.63,-15.44,68.52,28.86,-109.49,0.24,-127.05,0.48,694.29,N/A,1.07,0.45,0.00,-8.63,NEP,SET,INDUS,PKG
1Q2559,87.88,76.56,,-21.09,-0.01,-3.10,-3.85,83.37,15.75,-24.00,0.24,-167.56,0.47,680.69,N/A,1.22,0.39,0.00,-5.87,NEP,SET,INDUS,PKG
2Q2559,69.60,73.33,77.78,-6.39,-0.00,-0.96,-1.19,77.28,22.43,-9.19,0.25,-171.80,0.55,796.55,N/A,1.48,0.37,0.00,-7.93,NEP,SET,INDUS,PKG
3Q2559,71.62,-325.00,0.00,-24.73,-0.02,-3.36,-4.03,71.06,27.58,-34.54,0.16,-94.30,0.42,608.28,N/A,1.91,0.37,0.00,-6.02,NEP,SET,INDUS,PKG
