,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,200.72,,813.64,84.94,0.33,13.79,20.23,31.54,19.69,42.32,0.49,41.05,3.02,778.50,N/A,2.07,1.46,4.97,-14.39,NEX,SET,TECH,ETRON
2Q2555,241.17,49.00,"3,984.00",126.42,0.49,14.63,24.66,40.72,8.74,52.42,0.85,-118.47,3.36,866.15,N/A,1.88,1.79,4.46,22.33,NEX,SET,TECH,ETRON
3Q2555,242.57,7.39,"1,153.14",128.88,0.53,12.42,22.90,37.73,9.27,53.13,0.84,-285.26,4.84,"1,247.67",723.10,2.00,2.18,3.44,10.31,NEX,SET,TECH,ETRON
4Q2555,342.72,-94.89,,4.04,0.03,0.43,0.73,89.73,6.12,1.18,0.56,-312.51,3.90,"1,005.35",7.58,1.61,2.42,4.27,3.12,NEX,SET,TECH,ETRON
1Q2556,179.04,24.83,-89.79,7.79,0.03,0.94,1.42,69.45,17.47,4.35,0.45,-326.62,4.16,"1,072.37",2.81,1.80,2.31,5.29,3.86,NEX,SET,TECH,ETRON
2Q2556,148.93,-77.37,-98.45,1.76,0.01,0.22,0.32,70.35,16.14,1.18,0.49,-143.22,2.90,747.57,2.52,1.21,2.40,7.59,4.66,NEX,SET,TECH,ETRON
3Q2556,139.96,152.50,-96.35,4.45,0.02,0.58,0.83,76.06,16.76,3.18,0.40,48.32,2.82,726.95,5.11,1.36,2.31,7.02,11.72,NEX,SET,TECH,ETRON
4Q2556,141.28,-44.97,-60.74,2.45,0.01,0.32,0.45,74.39,15.28,1.73,0.42,-4.41,2.54,589.29,32.83,1.09,2.32,8.66,10.43,NEX,SET,TECH,ETRON
1Q2557,124.52,,,-3.68,-0.02,-0.49,-0.68,83.83,15.97,-2.95,0.36,-10.17,2.42,561.45,34.12,1.04,2.33,2.07,11.94,NEX,SET,TECH,ETRON
2Q2557,129.01,-139.18,,-8.79,-0.04,-1.20,-1.67,83.80,15.80,-6.82,0.43,-16.02,2.40,556.81,111.63,1.03,2.32,2.08,15.59,NEX,SET,TECH,ETRON
3Q2557,128.95,4.41,,-8.40,-0.04,-1.14,-1.64,79.84,18.50,-6.52,0.45,-30.07,2.58,598.57,N/A,1.16,2.23,1.94,26.60,NEX,SET,TECH,ETRON
