,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,274.12,66.67,0.00,-83.59,-0.01,-6.88,-547.64,87.56,5.88,-30.50,-45.18,274.27,0.00,"1,786.97",N/A,0.00,-0.01,0.00,-21.69,NFC,SET,INDUS,PETRO
4Q2555,350.86,-100.00,33.33,-71.17,-0.02,-6.22,114.53,19.25,73.47,-20.28,-12.40,85.18,0.00,"1,786.97",N/A,0.00,-0.03,0.00,-18.28,NFC,SET,INDUS,PETRO
2Q2556,391.56,,,-48.82,,-4.57,39.98,91.16,3.48,-12.47,-7.98,77.38,0.00,"1,786.97",N/A,0.00,-0.04,0.00,-17.66,NFC,SET,INDUS,PETRO
4Q2556,431.25,0.00,0.00,-48.82,-0.02,-4.85,28.60,92.89,3.57,-11.32,-6.08,60.16,0.00,"1,786.97",N/A,0.00,-0.05,0.00,-48.85,NFC,SET,INDUS,PETRO
2Q2557,402.31,50.00,0.00,-53.67,-0.01,-5.22,24.20,93.86,5.51,-13.34,-5.28,32.84,0.00,"1,786.97",N/A,0.00,-0.06,0.00,-98.34,NFC,SET,INDUS,PETRO
3Q2557,191.20,,,-36.41,,-3.70,13.65,101.25,-1.45,-19.04,-4.17,93.26,0.00,"1,786.97",N/A,0.00,-0.07,0.00,-140.32,NFC,SET,INDUS,PETRO
4Q2557,252.69,,,-36.13,,-3.94,11.89,92.19,7.03,-14.30,-3.89,141.67,0.00,"1,786.97",N/A,0.00,-0.07,0.00,-93.25,NFC,SET,INDUS,PETRO
1Q2558,241.03,,,-30.51,,-3.25,9.03,96.47,3.18,-12.66,-3.69,323.87,0.00,"1,786.97",N/A,0.00,-0.08,0.00,-78.78,NFC,SET,INDUS,PETRO
2Q2558,505.17,-400.00,-400.00,-246.97,-0.05,-36.58,51.81,42.70,1.69,-48.89,-1.67,774.60,0.00,,,,-0.09,,,NFC,SET,INDUS,PETRO
3Q2558,260.79,,,18.55,0.00,4.22,-3.14,92.51,7.41,7.11,-1.82,501.71,0.00,,,,-0.13,,,NFC,SET,INDUS,PETRO
4Q2558,361.92,,,296.23,0.07,67.96,-112.37,76.80,10.13,81.85,6.23,376.24,0.00,,,,-0.12,,,NFC,SET,INDUS,PETRO
1Q2559,268.78,-95.86,,19.13,0.00,4.71,29.92,87.80,11.35,7.12,4.71,229.10,0.00,,,,0.01,,,NFC,SET,INDUS,PETRO
2Q2559,243.32,"5,317.24",,340.31,0.16,45.43,85.67,85.70,13.99,139.86,0.50,153.00,0.00,,,,0.03,,,NFC,SET,INDUS,PETRO
3Q2559,271.23,-87.27,,66.25,0.02,6.18,8.78,82.58,10.29,24.43,0.35,176.11,0.00,,,,0.26,,,NFC,SET,INDUS,PETRO
4Q2559,265.00,,,-22.45,-0.02,-2.15,-2.92,87.35,11.91,-8.47,0.36,202.54,0.00,,,,0.29,,,NFC,SET,INDUS,PETRO
1Q2560,296.44,,468.97,44.75,0.02,4.27,5.79,85.48,11.16,15.09,0.35,214.12,0.00,,,,0.28,,,NFC,SET,INDUS,PETRO
2Q2560,236.70,149.70,-73.77,17.82,0.04,1.68,2.22,73.25,26.40,7.53,0.30,147.92,0.00,,,,0.29,,,NFC,SET,INDUS,PETRO
3Q2560,287.27,-53.64,-4.50,20.69,0.02,1.93,2.52,82.49,16.81,7.20,0.31,64.76,0.00,,,,0.75,,,NFC,SET,INDUS,PETRO
4Q2560,308.32,531.41,,130.94,0.12,11.63,14.63,77.61,17.54,42.47,0.21,-8.31,0.00,,,,0.76,,,NFC,SET,INDUS,PETRO
1Q2561,307.28,-80.02,46.06,26.11,0.02,2.22,2.69,80.19,17.48,8.50,0.21,-65.04,0.00,,,,0.88,,,NFC,SET,INDUS,PETRO
2Q2561,301.86,-34.02,-61.41,17.24,0.02,1.46,1.74,80.81,18.17,5.71,0.16,-76.44,10.90,"11,857.38",60.49,12.02,0.91,0.00,57.77,NFC,SET,INDUS,PETRO
3Q2561,286.89,-25.79,-38.22,12.73,0.01,1.05,1.26,83.85,15.28,4.44,0.23,-76.61,11.30,"12,292.51",62.90,12.27,0.92,0.00,62.25,NFC,SET,INDUS,PETRO
4Q2561,299.11,,,-5.16,-0.00,-0.39,-0.51,81.90,17.30,-1.73,0.41,-60.71,5.50,"5,983.08",31.91,5.90,0.93,0.00,40.40,NFC,SET,INDUS,PETRO
1Q2562,333.45,,-82.99,4.33,0.00,0.29,0.43,75.61,18.59,1.30,0.53,-62.81,5.80,"6,309.43",122.76,6.23,0.93,0.74,47.60,NFC,SET,INDUS,PETRO
2Q2562,331.12,-34.15,-83.02,2.91,0.00,0.20,0.29,84.68,14.62,0.88,0.46,-67.30,4.00,"4,351.33",146.99,4.27,0.94,1.08,35.86,NFC,SET,INDUS,PETRO
3Q2562,264.37,,,-44.41,-0.04,-3.14,-4.66,83.24,15.41,-16.80,0.51,-44.42,3.56,"3,872.69",253.41,3.96,0.90,1.21,34.86,NFC,SET,INDUS,PETRO
