,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,92.87,233.33,0.00,8.62,0.10,2.66,5.51,79.44,18.53,9.28,1.12,84.72,3.84,326.40,18.67,2.15,1.79,3.91,9.05,NINE,mai,SERVICE,-
2Q2555,90.77,20.00,300.00,9.74,0.12,2.90,6.12,75.44,17.07,10.73,1.11,100.02,3.40,289.00,16.46,1.80,1.89,4.41,7.43,NINE,mai,SERVICE,-
3Q2555,85.23,-66.67,-20.00,4.03,0.04,1.20,2.53,72.29,24.44,4.73,1.12,116.48,5.05,429.25,17.54,2.72,1.85,2.97,10.15,NINE,mai,SERVICE,-
4Q2555,85.98,75.00,133.33,5.82,0.07,1.67,3.54,69.65,25.90,6.77,1.11,84.99,7.25,616.25,24.81,3.81,1.90,2.07,12.45,NINE,mai,SERVICE,-
1Q2556,100.33,71.43,20.00,9.90,0.12,2.62,5.52,77.79,20.22,9.87,1.10,74.89,9.05,769.25,54.54,9.19,1.97,0.83,14.40,NINE,mai,SERVICE,-
2Q2556,97.17,-61.28,-61.28,4.25,0.05,1.03,2.27,78.28,19.87,4.37,1.31,19.26,4.36,370.60,25.13,3.87,2.25,1.72,9.96,NINE,mai,SERVICE,-
3Q2556,80.24,,,3.49,-0.01,0.59,0.98,69.77,26.08,4.35,0.45,-12.42,4.24,720.80,30.03,3.94,2.15,1.77,9.87,NINE,mai,SERVICE,-
4Q2556,81.71,,,2.80,0.00,0.37,0.53,72.91,21.61,3.43,0.44,-28.57,3.98,676.79,28.83,1.29,3.09,1.88,9.34,NINE,mai,SERVICE,-
1Q2557,68.89,,-91.67,1.63,0.01,0.21,0.31,68.20,24.46,2.36,0.42,-17.55,3.80,646.18,31.50,1.22,3.11,2.63,12.62,NINE,mai,SERVICE,-
2Q2557,59.54,,,-5.58,-0.03,-0.76,-1.07,64.06,28.69,-9.38,0.40,56.03,3.34,567.96,46.25,1.07,3.12,2.99,13.90,NINE,mai,SERVICE,-
