,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,184.20,,-130.77,-39.12,-0.03,-1.06,-1.63,63.51,33.08,-21.24,0.57,"2,268.85",1.45,"2,206.05",45.49,0.88,1.65,0.00,16.14,NNCL,SET,PROPCON,PROP
2Q2555,304.66,,,74.61,0.05,2.02,3.20,73.70,23.35,24.49,0.60,"2,242.02",1.75,"2,662.47",95.31,1.16,1.51,0.00,14.23,NNCL,SET,PROPCON,PROP
3Q2555,288.31,-11.32,,68.44,0.05,1.77,2.85,32.84,25.40,23.74,0.62,"2,101.89",2.06,"3,134.11",28.54,1.32,1.55,0.00,12.89,NNCL,SET,PROPCON,PROP
4Q2555,372.32,70.21,48.15,118.22,0.08,2.85,4.74,68.10,20.67,31.75,0.70,"1,977.70",2.02,"3,073.46",16.75,1.26,1.60,0.00,12.44,NNCL,SET,PROPCON,PROP
1Q2556,303.10,-62.50,,37.68,0.03,0.84,1.45,64.79,18.56,12.43,0.74,"1,824.13",2.56,"3,898.16",17.55,1.53,1.68,3.12,11.80,NNCL,SET,PROPCON,PROP
2Q2556,402.20,733.33,371.70,394.58,0.25,8.75,14.25,41.55,14.82,98.10,0.53,"1,719.11",2.14,"3,299.73",11.04,1.25,1.71,3.69,5.18,NNCL,SET,PROPCON,PROP
3Q2556,159.54,,,-9.93,0.00,-0.22,-0.34,59.06,31.22,-6.22,0.61,"1,818.59",2.60,"4,010.81",6.48,1.38,1.88,3.04,6.80,NNCL,SET,PROPCON,PROP
4Q2556,145.72,,,-116.47,-0.08,-2.52,-4.10,-6.37,94.74,-79.92,0.65,"1,545.09",2.24,"3,461.53",6.40,1.19,1.88,3.52,8.00,NNCL,SET,PROPCON,PROP
1Q2557,221.14,88.75,,-13.14,-0.01,-0.28,-0.47,61.26,32.20,-5.94,0.69,"1,577.36",2.28,"3,524.39",11.52,1.27,1.80,4.38,9.05,NNCL,SET,PROPCON,PROP
2Q2557,178.05,-55.56,,-21.91,-0.01,-0.46,-0.82,48.77,44.10,-12.30,0.85,"1,596.33",2.26,"3,506.75",13.75,1.26,1.79,4.41,95.33,NNCL,SET,PROPCON,PROP
3Q2557,132.10,-121.43,,-49.18,-0.03,-1.01,-1.91,38.08,50.35,-37.23,0.93,"1,547.16",2.06,"3,210.47",N/A,1.23,1.67,4.81,109.04,NNCL,SET,PROPCON,PROP
4Q2557,128.88,-661.29,-195.00,-360.52,-0.24,-7.61,-15.19,-211.46,298.44,-279.74,1.08,909.19,1.77,"2,760.05",N/A,1.08,1.64,5.60,-25.82,NNCL,SET,PROPCON,PROP
1Q2558,282.31,,,34.92,0.02,0.77,1.57,68.39,24.08,12.37,1.01,897.46,1.65,"2,572.96",N/A,1.17,1.41,0.00,-36.52,NNCL,SET,PROPCON,PROP
2Q2558,451.87,-63.64,,9.40,0.01,0.22,0.42,77.65,18.35,2.08,0.85,835.09,1.61,"2,510.59",N/A,1.12,1.42,0.00,-50.80,NNCL,SET,PROPCON,PROP
3Q2558,201.97,-50.00,,9.61,0.00,0.23,0.42,54.73,32.72,4.76,0.81,768.86,1.45,"2,294.76",N/A,1.02,1.43,0.00,-141.43,NNCL,SET,PROPCON,PROP
4Q2558,186.75,,47.46,-197.79,-0.12,-4.68,-8.20,47.64,25.79,-105.91,0.69,"1,645.71",1.12,"1,782.58",N/A,0.78,1.43,0.00,23.47,NNCL,SET,PROPCON,PROP
1Q2559,173.79,97.15,,-7.10,-0.00,-0.17,-0.28,46.33,35.38,-4.09,0.53,"1,605.78",1.03,"2,109.70",N/A,0.83,1.60,0.00,42.60,NNCL,SET,PROPCON,PROP
2Q2559,273.36,,444.13,88.18,0.04,2.21,3.42,64.08,28.60,32.26,0.55,"1,592.33",1.28,"2,621.77",N/A,1.03,1.24,0.00,25.96,NNCL,SET,PROPCON,PROP
3Q2559,151.19,-77.03,150.00,23.21,0.01,0.58,0.88,47.19,36.02,15.35,0.48,"1,669.56",1.31,"2,683.21",N/A,1.02,1.28,0.00,26.52,NNCL,SET,PROPCON,PROP
4Q2559,153.84,200.00,,55.51,0.03,1.42,2.08,51.36,31.36,36.08,0.45,"1,665.46",1.19,"2,437.42",N/A,0.92,1.29,0.00,9.79,NNCL,SET,PROPCON,PROP
1Q2560,158.57,-26.67,,45.09,0.02,1.16,1.66,48.43,34.58,28.43,0.42,"1,715.45",1.30,"2,662.73",16.66,0.99,1.32,2.85,9.13,NNCL,SET,PROPCON,PROP
2Q2560,165.25,27.27,-35.68,51.19,0.03,1.32,1.87,50.34,33.93,30.97,0.42,"1,935.60",1.26,"2,580.80",12.17,0.94,1.34,2.94,10.09,NNCL,SET,PROPCON,PROP
3Q2560,167.80,7.14,200.00,59.21,0.03,1.52,2.15,51.08,32.14,35.29,0.41,"1,948.05",1.32,"2,703.70",15.45,0.99,1.33,2.80,9.29,NNCL,SET,PROPCON,PROP
4Q2560,202.52,33.33,33.33,88.14,0.04,2.22,3.12,54.20,30.62,43.52,0.40,"1,834.92",1.68,"3,441.07",16.31,1.24,1.36,2.20,9.58,NNCL,SET,PROPCON,PROP
1Q2561,229.46,30.00,136.36,105.95,0.05,2.62,3.63,59.57,27.74,46.17,0.37,"1,765.57",1.67,"3,420.59",14.04,1.19,1.40,4.79,8.11,NNCL,SET,PROPCON,PROP
2Q2561,214.39,-7.69,71.43,89.58,0.05,2.22,3.05,59.31,25.28,41.78,0.38,"1,778.50",1.58,"3,236.24",10.63,1.09,1.45,5.06,7.10,NNCL,SET,PROPCON,PROP
3Q2561,197.01,-37.50,0.00,67.79,0.03,1.65,2.31,54.87,26.30,34.41,0.43,"1,788.23",1.90,"3,891.68",11.35,1.34,1.42,4.21,8.05,NNCL,SET,PROPCON,PROP
4Q2561,328.16,66.67,25.00,111.35,0.05,2.61,3.68,67.07,21.58,33.93,0.40,"1,683.20",1.63,"3,338.66",9.50,1.12,1.45,4.91,6.62,NNCL,SET,PROPCON,PROP
1Q2562,192.26,-44.00,-46.15,56.33,0.03,1.31,1.81,53.08,28.10,29.30,0.38,"1,708.04",1.82,"3,727.82",9.95,1.21,1.50,4.95,8.38,NNCL,SET,PROPCON,PROP
2Q2562,197.39,-21.43,-54.17,41.19,0.02,0.97,1.34,51.25,29.86,20.87,0.39,"1,635.55",1.80,"3,686.86",11.34,1.18,1.53,5.00,9.57,NNCL,SET,PROPCON,PROP
3Q2562,196.83,81.82,33.33,85.89,0.04,2.04,2.84,56.91,25.58,43.63,0.39,"1,585.98",2.10,"4,301.34",15.52,1.44,1.46,4.29,10.54,NNCL,SET,PROPCON,PROP
4Q2562,188.20,0.00,-20.00,72.20,0.04,1.68,2.35,51.35,30.84,38.36,0.40,"1,645.03",2.18,"4,465.20",14.88,1.43,1.50,4.20,12.34,NNCL,SET,PROPCON,PROP
1Q2563,190.67,15.00,64.29,91.29,0.05,2.13,2.98,54.94,27.46,47.88,0.40,"1,629.20",1.42,"2,908.52",,,,5.63,7.95,NNCL,SET,PROPCON,PROP
2Q2563,409.66,-4.35,100.00,76.74,0.04,1.82,2.55,77.14,14.67,18.73,0.40,"1,509.23",1.89,"3,871.20",12.86,1.22,1.54,4.23,9.49,NNCL,SET,PROPCON,PROP
3Q2563,247.43,13.64,25.00,106.84,0.05,2.55,3.53,65.34,20.51,43.18,0.37,"1,422.39",1.86,"3,809.75",11.28,1.24,1.50,4.30,8.96,NNCL,SET,PROPCON,PROP
4Q2563,193.78,-20.00,0.00,77.53,0.04,1.82,2.49,53.12,28.59,40.01,0.36,"1,360.97",2.20,"4,506.16",12.54,1.41,1.56,3.64,9.84,NNCL,SET,PROPCON,PROP
1Q2564,219.92,50.00,30.43,108.84,0.06,2.51,3.39,71.41,25.45,49.49,0.34,"1,264.82",2.58,"5,284.50",14.48,1.62,1.60,4.26,10.89,NNCL,SET,PROPCON,PROP
2Q2564,299.05,16.67,59.09,155.84,0.07,3.60,4.82,63.67,19.35,52.11,0.34,"1,296.18",2.64,"5,407.39",14.11,1.60,1.65,4.17,9.84,NNCL,SET,PROPCON,PROP
3Q2564,213.40,-14.29,20.00,104.45,0.06,2.40,3.20,62.67,24.42,48.95,0.33,"1,301.93",2.46,"5,038.71",10.86,1.52,1.62,4.46,9.18,NNCL,SET,PROPCON,PROP
1Q2565,215.60,-66.67,-66.67,47.30,0.02,1.08,1.42,64.99,22.16,21.94,0.31,"1,390.63",2.46,"5,038.71",,,,4.87,8.97,NNCL,SET,PROPCON,PROP
2Q2565,280.55,150.00,-28.57,100.36,0.05,2.29,3.00,63.97,18.24,35.77,0.31,"1,469.05",2.18,"4,506.16",11.62,1.31,1.68,5.44,7.97,NNCL,SET,PROPCON,PROP
3Q2565,223.56,-80.00,-83.33,16.43,0.01,0.38,0.49,62.73,25.05,7.35,0.30,"1,510.18",2.02,"4,178.44",12.63,1.22,1.67,5.87,9.28,NNCL,SET,PROPCON,PROP
