,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,1.54,-173.97,,,,,,,,NOK,SET,SERVICE,TRANS
1Q2556,"2,826.21",,,415.84,0.83,16.71,42.62,94.25,5.21,14.71,1.56,-190.27,,,,,,,,NOK,SET,SERVICE,TRANS
2Q2556,"2,618.27",-40.53,,260.13,0.49,6.01,9.37,92.64,6.60,9.94,0.32,-195.09,27.00,"16,875.00",21.24,0.00,0.00,0.00,13.92,NOK,SET,SERVICE,TRANS
3Q2556,"2,771.21",-28.84,,244.61,0.35,4.02,5.50,91.92,6.31,8.83,0.42,-196.87,23.30,"14,562.50",15.69,3.24,7.19,0.00,10.14,NOK,SET,SERVICE,TRANS
4Q2556,"3,099.04",-43.37,,145.51,0.20,2.33,3.25,90.55,7.81,4.70,0.38,-196.61,19.00,"11,875.00",11.34,2.70,7.04,0.00,11.33,NOK,SET,SERVICE,TRANS
1Q2557,"3,136.08",-67.14,-92.12,40.94,0.07,0.64,0.90,93.11,5.61,1.31,0.40,-190.69,18.80,"11,750.00",11.02,2.59,7.27,5.48,16.92,NOK,SET,SERVICE,TRANS
2Q2557,"2,827.39",,,-159.72,-0.26,-2.52,-3.67,92.22,6.76,-5.65,0.51,-177.84,17.10,"10,687.50",15.46,2.33,7.33,6.02,37.73,NOK,SET,SERVICE,TRANS
3Q2557,"2,769.89",-134.96,,-431.28,-0.60,-7.21,-10.88,90.65,8.65,-15.57,0.51,-172.62,15.80,"9,875.00",36.38,2.40,6.59,6.52,-33.18,NOK,SET,SERVICE,TRANS
4Q2557,"3,579.57",,-82.26,-115.71,0.04,-1.88,-2.84,92.24,5.93,-3.23,0.51,-192.65,13.10,"8,187.50",N/A,2.19,5.99,7.86,-12.60,NOK,SET,SERVICE,TRANS
1Q2558,"3,647.23",-71.71,-84.73,-164.62,0.01,-2.45,-3.75,93.07,6.55,-4.51,0.54,-334.84,11.10,"6,937.50",N/A,1.84,6.03,0.00,-7.51,NOK,SET,SERVICE,TRANS
2Q2558,"3,356.33",,3.18,-458.00,-0.25,-6.94,-10.89,90.78,6.28,-13.65,0.60,-477.68,9.95,"6,218.75",N/A,1.65,6.04,0.00,-4.97,NOK,SET,SERVICE,TRANS
3Q2558,"3,296.51",-174.04,-12.93,-652.62,-0.68,-10.18,-17.85,83.76,8.67,-19.80,0.94,-645.37,7.00,"4,375.00",N/A,1.21,5.80,0.00,-3.34,NOK,SET,SERVICE,TRANS
4Q2558,"3,996.12",63.58,,-389.25,-0.25,-5.74,-12.41,88.56,6.88,-9.74,1.42,-815.52,6.80,"4,250.00",N/A,1.33,5.12,0.00,-2.74,NOK,SET,SERVICE,TRANS
1Q2559,"4,221.11",-163.10,,-465.95,-0.65,-6.62,-17.20,91.31,5.49,-11.04,1.81,-973.84,7.60,"4,750.00",N/A,1.56,4.88,0.00,-3.33,NOK,SET,SERVICE,TRANS
2Q2559,"3,918.57",-83.79,-382.59,-864.38,-1.19,-13.39,-42.29,91.57,6.15,-22.06,2.69,"-1,081.98",8.55,"5,343.75",N/A,2.02,4.23,0.00,-3.03,NOK,SET,SERVICE,TRANS
3Q2559,"4,297.88",-28.51,-126.32,"-1,071.82",-1.53,-18.80,-99.63,88.96,6.29,-24.94,9.09,"-1,230.54",7.65,"4,781.25",N/A,2.52,3.03,0.00,-2.72,NOK,SET,SERVICE,TRANS
4Q2559,"4,500.76",28.56,-343.97,-867.83,-1.10,-15.16,-867.04,88.24,5.45,-19.28,-18.66,"-1,409.30",7.40,"4,625.00",N/A,4.94,1.50,0.00,-2.54,NOK,SET,SERVICE,TRANS
1Q2560,"5,409.52",56.84,27.17,-289.86,-0.47,-4.88,59.81,88.59,6.54,-5.36,-10.34,"-1,318.47",7.60,"4,750.00",N/A,19.88,0.38,0.00,-2.87,NOK,SET,SERVICE,TRANS
2Q2560,"4,669.87",-75.11,30.61,-748.97,-0.83,-12.66,191.62,88.38,5.62,-16.04,-40.13,"-1,343.61",4.66,"5,293.76",N/A,0.00,-0.09,0.00,-3.10,NOK,SET,SERVICE,TRANS
3Q2560,"4,648.61",30.08,62.25,-652.73,-0.58,-11.24,136.40,89.55,6.47,-14.04,-8.03,"-1,355.81",3.62,"4,112.32",N/A,15.81,0.46,0.00,-3.41,NOK,SET,SERVICE,TRANS
4Q2560,"5,648.71",,,-208.11,0.25,-3.20,365.48,94.14,4.52,-3.68,9.61,"-1,374.99",3.40,"7,724.80",N/A,0.00,-0.14,0.00,-6.53,NOK,SET,SERVICE,TRANS
1Q2561,"6,083.13",,97.89,-1.18,-0.01,-0.02,-0.17,93.50,4.27,-0.02,9.50,"-1,514.57",3.08,"6,997.76",N/A,5.32,0.58,0.00,-7.34,NOK,SET,SERVICE,TRANS
2Q2561,"4,841.07","-3,570.00",55.68,"-1,095.93",-0.37,-16.28,-772.53,90.58,6.34,-22.64,-16.31,"-1,513.23",2.70,"6,134.40",N/A,4.76,0.57,0.00,-6.17,NOK,SET,SERVICE,TRANS
3Q2561,"4,299.87",-31.61,16.58,"-1,515.26",-0.48,-15.60,130.21,90.85,6.38,-35.24,-7.87,"-1,640.42",2.68,"6,088.96",N/A,13.28,0.20,0.00,-7.52,NOK,SET,SERVICE,TRANS
4Q2561,"4,516.15",23.40,,"-1,363.08",-0.37,-9.99,55.04,92.24,6.06,-30.18,-5.64,"-1,693.11",2.42,"5,498.24",N/A,0.00,-0.29,0.00,-5.56,NOK,SET,SERVICE,TRANS
1Q2562,"5,449.21",69.65,"-1,022.80",-391.29,-0.11,-2.65,18.84,92.97,6.07,-7.18,-14.76,"-1,716.00",2.30,"7,149.59",N/A,0.00,-0.65,0.00,-5.21,NOK,SET,SERVICE,TRANS
2Q2562,"4,805.90",-102.81,37.95,-919.47,-0.23,-6.11,65.54,89.76,7.15,-19.13,-9.69,"-1,662.31",2.40,"7,460.44",N/A,14.11,0.17,0.00,-5.70,NOK,SET,SERVICE,TRANS
3Q2562,"4,357.84",12.17,58.59,"-1,093.21",-0.20,-7.41,49.02,90.80,7.74,-25.09,-6.36,"-1,539.17",2.12,"6,590.05",N/A,0.00,-0.01,0.00,-6.63,NOK,SET,SERVICE,TRANS
4Q2562,"5,356.16",30.00,62.16,-691.43,-0.14,-4.60,22.14,95.26,2.91,-12.91,-5.37,"-1,678.82",2.00,"6,217.03",N/A,0.00,-0.21,0.00,-8.27,NOK,SET,SERVICE,TRANS
1Q2563,"2,584.49",-385.71,-505.63,"-2,963.40",-0.68,-12.80,68.87,44.70,54.54,-114.66,-7.06,-796.75,0.79,"2,946.06",,,,0.00,-10.08,NOK,SET,SERVICE,TRANS
2Q2563,783.12,98.53,95.61,-787.21,-0.01,-2.62,14.23,184.10,-85.76,-100.52,-5.89,"-1,518.62",0.93,"3,468.14",N/A,0.00,-0.35,0.00,-19.84,NOK,SET,SERVICE,TRANS
3Q2563,"1,460.13","-3,900.00",-100.00,"1,151.90",-0.40,4.57,-21.51,25.14,72.59,78.89,-5.48,-871.64,0.63,"2,349.39",N/A,0.00,-0.61,0.00,-8.88,NOK,SET,SERVICE,TRANS
4Q2563,"1,907.65",-175.00,-685.71,"-4,792.91",-1.10,-24.36,74.95,121.81,-27.49,-251.25,-3.24,"-1,273.80",1.13,"4,213.98",N/A,0.00,-1.21,0.00,-4.72,NOK,SET,SERVICE,TRANS
2Q2564,"1,200.91",33.64,"-7,200.00","-2,717.94",-0.73,-15.35,29.03,10.24,88.49,-226.32,-2.63,"-1,843.59",1.48,,,,-1.21,,,NOK,SET,SERVICE,TRANS
4Q2564,"5,154.70",,,"1,282.33",0.35,8.61,-12.75,5.02,14.74,24.88,-2.30,-613.40,0.00,,,,-2.61,,,NOK,SET,SERVICE,TRANS
