,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,110.39,59.72,-10.92,18.53,1.85,4.94,10.51,95.11,4.05,16.78,1.08,"1,077.70",0.00,350.00,5.27,2.10,16.70,0.00,6.63,NPK,mai,CONSUMP,-
2Q2555,107.48,-62.20,-64.08,7.00,0.70,1.82,3.71,95.61,4.10,6.52,1.00,977.61,36.00,360.00,5.62,1.94,18.55,0.00,7.57,NPK,mai,CONSUMP,-
3Q2555,115.44,120.83,6.67,15.47,1.55,3.88,7.72,95.25,4.01,13.40,0.98,944.18,33.00,330.00,6.40,1.72,19.24,0.00,6.86,NPK,mai,CONSUMP,-
4Q2555,98.74,-49.46,-32.61,7.82,0.78,1.92,3.68,94.76,4.69,7.92,0.87,984.93,35.00,350.00,6.66,1.68,20.84,0.00,6.71,NPK,mai,CONSUMP,-
1Q2556,98.00,-17.66,-65.26,6.44,0.64,1.53,2.83,94.14,5.09,6.57,0.85,"1,003.31",36.00,360.00,7.37,1.67,21.61,0.83,8.06,NPK,mai,CONSUMP,-
2Q2556,99.86,-30.45,-36.09,4.48,0.45,0.96,1.87,95.07,4.68,4.48,1.07,"1,059.83",22.00,220.00,5.99,0.92,23.87,1.36,7.40,NPK,mai,CONSUMP,-
3Q2556,106.23,75.14,-49.31,7.84,0.78,1.58,3.21,94.83,4.59,7.38,1.00,995.04,0.00,208.00,6.08,0.87,24.01,1.44,8.24,NPK,mai,CONSUMP,-
4Q2556,103.45,-44.29,-44.13,4.37,0.44,0.87,1.75,94.46,4.75,4.22,1.01,904.31,0.00,200.00,7.53,0.81,24.79,1.50,8.86,NPK,mai,CONSUMP,-
1Q2557,102.24,100.04,35.74,8.74,0.87,1.72,3.42,94.17,4.96,8.55,0.97,866.66,0.00,190.00,8.22,0.75,25.22,0.79,8.20,NPK,mai,CONSUMP,-
2Q2557,100.54,-42.88,11.47,4.99,0.50,1.01,1.91,94.48,5.00,4.96,0.81,795.84,21.50,215.00,8.46,0.83,25.94,0.70,7.93,NPK,mai,CONSUMP,-
3Q2557,90.53,-11.48,-43.66,4.42,0.44,0.95,1.66,92.87,5.64,4.88,0.71,736.82,0.00,215.00,8.29,0.82,26.30,0.70,8.33,NPK,mai,CONSUMP,-
4Q2557,93.55,60.66,62.48,7.10,0.71,1.55,2.61,95.60,4.19,7.59,0.68,751.22,0.00,231.00,10.26,0.86,26.79,0.65,8.00,NPK,mai,CONSUMP,-
1Q2558,102.32,45.23,17.96,10.31,1.03,2.21,3.68,94.12,4.64,10.07,0.65,745.82,0.00,230.00,9.11,0.84,27.50,0.65,7.57,NPK,mai,CONSUMP,-
2Q2558,95.24,-24.46,56.01,7.78,0.78,1.63,2.70,94.49,4.93,8.17,0.67,786.64,0.00,255.00,9.51,0.89,28.53,0.59,7.64,NPK,mai,CONSUMP,-
3Q2558,91.80,13.55,100.12,8.84,0.88,1.84,2.99,93.34,5.14,9.63,0.59,907.74,24.90,249.00,8.41,0.85,29.15,0.60,6.55,NPK,mai,CONSUMP,-
4Q2558,89.13,-88.32,-85.44,1.03,0.10,0.22,0.34,94.05,5.25,1.16,0.52,898.51,21.60,216.00,6.35,0.72,30.01,0.69,6.45,NPK,mai,CONSUMP,-
1Q2559,96.12,734.80,-16.33,8.62,0.86,1.86,2.82,93.18,5.26,8.97,0.51,889.37,20.50,205.00,7.33,0.68,30.10,0.98,6.58,NPK,mai,CONSUMP,-
2Q2559,100.86,11.23,23.20,9.59,0.96,2.02,3.06,93.80,5.45,9.51,0.52,840.97,0.00,220.00,8.37,0.71,31.00,0.91,6.80,NPK,mai,CONSUMP,-
3Q2559,98.00,-0.66,7.78,9.53,0.95,1.97,2.95,93.45,5.40,9.72,0.48,785.07,0.00,217.00,7.73,0.68,31.75,0.92,6.62,NPK,mai,CONSUMP,-
4Q2559,103.86,57.93,"1,356.74",15.05,1.50,3.11,4.49,95.26,4.94,14.49,0.41,758.86,24.00,240.00,8.34,0.73,32.73,0.83,5.32,NPK,mai,CONSUMP,-
1Q2560,99.80,-40.44,3.94,8.96,0.90,1.83,2.57,92.49,6.31,8.98,0.40,711.29,34.50,345.00,8.06,1.01,34.30,0.70,6.76,NPK,mai,CONSUMP,-
2Q2560,82.75,-0.15,-6.68,8.95,0.89,1.84,2.50,92.11,6.60,10.82,0.33,706.35,31.75,317.50,7.36,0.90,35.43,0.76,6.23,NPK,mai,CONSUMP,-
3Q2560,88.17,-16.95,-21.99,7.43,0.74,1.56,2.04,92.70,6.14,8.43,0.27,657.27,31.00,310.00,7.30,0.86,36.04,0.77,6.09,NPK,mai,CONSUMP,-
4Q2560,91.72,-18.11,-59.55,6.09,0.61,1.27,1.61,92.54,6.46,6.64,0.26,615.16,28.50,285.00,7.06,0.77,37.01,0.84,6.80,NPK,mai,CONSUMP,-
1Q2561,97.27,107.97,41.24,12.66,1.27,2.56,3.22,91.84,6.68,13.01,0.26,589.21,26.25,262.50,8.35,0.68,38.69,0.95,5.83,NPK,mai,CONSUMP,-
2Q2561,91.91,-34.52,-7.38,8.29,0.83,1.64,2.06,93.69,6.77,9.02,0.27,582.88,0.00,262.50,7.47,0.66,39.97,0.95,6.01,NPK,mai,CONSUMP,-
3Q2561,99.13,22.83,36.99,10.18,1.02,1.99,2.48,92.52,6.70,10.27,0.24,623.31,26.75,267.50,7.76,0.66,40.48,0.93,5.77,NPK,mai,CONSUMP,-
4Q2561,103.07,-57.74,-29.30,4.30,0.43,0.84,1.03,91.28,6.56,4.18,0.21,678.51,0.00,245.00,6.58,0.59,41.54,1.02,5.44,NPK,mai,CONSUMP,-
1Q2562,94.03,126.17,-23.11,9.73,0.97,1.92,2.28,91.54,6.40,10.35,0.17,765.37,28.00,280.00,7.90,0.66,42.13,1.43,6.17,NPK,mai,CONSUMP,-
2Q2562,83.98,,,-4.06,-0.41,-0.81,-0.95,90.67,7.25,-4.83,0.17,777.56,0.00,260.00,8.00,0.60,43.07,1.54,7.73,NPK,mai,CONSUMP,-
3Q2562,81.00,,-55.98,4.48,0.45,0.91,1.06,92.49,6.73,5.53,0.15,798.08,20.00,200.00,9.92,0.47,42.24,2.00,7.29,NPK,mai,CONSUMP,-
4Q2562,85.52,-4.14,-0.14,4.30,0.43,0.87,1.00,92.80,6.33,5.02,0.15,801.62,0.00,189.00,13.07,0.44,42.68,2.12,6.95,NPK,mai,CONSUMP,-
1Q2563,81.44,25.04,-44.80,5.37,0.54,1.08,1.24,92.47,7.18,6.60,0.16,788.25,8.55,85.50,5.92,0.20,43.15,2.34,4.61,NPK,mai,CONSUMP,-
2Q2563,19.30,,-71.80,-6.97,-0.70,-1.41,-1.63,80.93,16.69,-36.11,0.15,995.97,11.60,116.00,11.49,0.27,43.25,1.72,5.14,NPK,mai,CONSUMP,-
3Q2563,55.65,,16.67,5.23,0.52,1.07,1.22,93.44,6.12,9.40,0.14,"1,135.02",16.00,160.00,22.28,0.38,42.42,1.25,8.04,NPK,mai,CONSUMP,-
4Q2563,58.60,12.45,36.86,5.88,0.59,1.20,1.36,91.87,6.95,10.03,0.12,"1,227.16",0.00,152.00,19.17,0.35,43.00,1.32,6.76,NPK,mai,CONSUMP,-
1Q2564,50.87,-61.25,-57.59,2.28,0.23,0.46,0.52,91.45,8.10,4.48,0.16,"1,351.01",15.80,158.00,16.61,0.36,43.66,0.63,9.00,NPK,mai,CONSUMP,-
2Q2564,36.76,,34.76,-4.55,-0.45,-0.91,-1.05,87.26,11.07,-12.37,0.15,"1,239.04",14.40,144.00,22.44,0.33,43.77,0.69,6.16,NPK,mai,CONSUMP,-
3Q2564,16.71,-210.60,,-14.12,-1.41,-2.93,-3.32,74.20,22.09,-84.52,0.12,"1,300.75",0.00,146.00,16.51,0.34,43.19,0.68,26.63,NPK,mai,CONSUMP,-
1Q2565,44.29,79.28,,-2.93,-0.29,-0.62,-0.70,86.37,12.02,-6.61,0.16,"1,212.58",0.00,141.00,N/A,0.34,41.58,0.00,-29.22,NPK,mai,CONSUMP,-
