,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,300.73,,,-45.77,-3.29,-1.62,-5.15,,,-15.22,2.34,,33.00,458.70,3.91,0.51,64.72,3.03,,NSI,SET,FINCIAL,INSUR
2Q2555,324.07,,82.86,53.43,3.84,1.87,6.02,,,16.49,2.12,,28.25,392.68,12.22,0.45,63.27,3.54,,NSI,SET,FINCIAL,INSUR
3Q2555,334.01,-69.79,-32.16,16.13,1.16,0.58,1.78,,,4.83,2.04,,41.50,576.85,10.23,0.65,64.33,2.41,,NSI,SET,FINCIAL,INSUR
4Q2555,365.62,117.24,40.00,34.94,2.52,1.24,3.72,,,9.56,1.97,,50.00,695.00,14.25,0.76,66.01,2.00,,NSI,SET,FINCIAL,INSUR
1Q2556,415.75,63.49,,57.22,4.12,1.95,5.56,,,13.76,1.74,,0.00,628.98,10.71,0.65,69.30,2.21,,NSI,SET,FINCIAL,INSUR
2Q2556,377.25,-98.30,-98.18,1.00,0.07,0.03,0.09,,,0.26,1.60,,63.00,875.70,5.41,0.80,78.74,1.59,,NSI,SET,FINCIAL,INSUR
3Q2556,405.40,"2,571.43",61.21,25.95,1.87,0.94,2.42,,,6.40,1.55,,47.50,660.25,6.04,0.62,76.60,2.11,,NSI,SET,FINCIAL,INSUR
4Q2556,417.95,280.21,182.14,98.84,7.11,3.45,8.77,,,23.65,1.53,,55.25,767.98,6.45,0.71,77.87,1.81,,NSI,SET,FINCIAL,INSUR
1Q2557,417.90,-92.97,-87.86,6.99,0.50,0.23,0.62,,,1.67,1.77,,78.50,"1,091.15",5.96,0.93,84.38,8.28,,NSI,SET,FINCIAL,INSUR
2Q2557,445.19,888.00,"6,957.14",68.64,4.94,2.30,6.05,,,15.42,1.50,,71.25,990.38,7.46,0.90,78.89,9.12,,NSI,SET,FINCIAL,INSUR
3Q2557,429.24,-39.68,59.36,41.45,2.98,1.42,3.46,,,9.66,1.39,,90.25,"1,254.47",6.26,1.07,84.47,7.20,,NSI,SET,FINCIAL,INSUR
4Q2557,424.53,10.74,-53.59,45.83,3.30,1.55,3.71,,,10.80,1.39,,87.75,"1,219.72",5.65,1.00,87.86,7.41,,NSI,SET,FINCIAL,INSUR
1Q2558,435.50,37.27,806.00,62.92,4.53,2.02,4.92,,,14.45,1.49,,98.75,"1,372.63",8.43,1.10,89.80,6.08,,NSI,SET,FINCIAL,INSUR
2Q2558,431.79,-68.21,-70.85,20.01,1.44,0.62,1.56,,,4.64,1.57,,105.00,"1,459.50",6.67,1.11,94.20,5.71,,NSI,SET,FINCIAL,INSUR
3Q2558,447.23,116.59,4.66,43.40,3.12,1.34,3.43,,,9.70,1.57,,0.00,"1,198.88",7.04,0.96,90.02,6.96,,NSI,SET,FINCIAL,INSUR
4Q2558,447.68,-60.21,-62.39,17.30,1.24,0.53,1.35,,,3.87,1.55,,90.50,"1,257.95",7.31,0.98,91.89,6.63,,NSI,SET,FINCIAL,INSUR
1Q2559,465.18,-12.17,-75.94,15.08,1.09,0.45,1.21,,,3.24,1.87,,89.75,"1,247.53",8.69,0.96,93.11,10.03,,NSI,SET,FINCIAL,INSUR
2Q2559,473.05,0.92,-23.61,15.41,1.10,0.45,1.28,,,3.26,1.76,,86.00,"1,195.40",12.48,1.00,85.80,10.47,,NSI,SET,FINCIAL,INSUR
3Q2559,491.86,162.14,-7.55,40.04,2.88,1.19,3.28,,,8.14,1.75,,81.75,"1,136.33",12.46,0.93,87.65,11.01,,NSI,SET,FINCIAL,INSUR
4Q2559,491.11,-50.53,14.94,19.78,1.43,0.58,1.60,,,4.03,1.74,,84.75,"1,178.03",13.41,0.96,88.04,10.62,,NSI,SET,FINCIAL,INSUR
1Q2560,482.08,-39.34,-20.62,12.03,0.87,0.35,0.97,,,2.49,1.77,,0.00,"1,105.05",12.24,0.89,89.56,4.91,,NSI,SET,FINCIAL,INSUR
2Q2560,511.68,437.20,322.55,64.61,4.65,1.87,5.08,,,12.63,1.66,,77.75,"1,080.72",12.39,0.87,89.27,5.02,,NSI,SET,FINCIAL,INSUR
3Q2560,481.20,-58.98,-33.87,26.53,1.91,0.77,2.04,,,5.51,1.61,,80.25,"1,115.47",8.18,0.86,93.63,4.86,,NSI,SET,FINCIAL,INSUR
4Q2560,497.97,-43.84,-24.93,14.86,1.07,0.42,1.13,,,2.98,1.78,,79.75,"1,108.53",9.02,0.85,93.57,4.89,,NSI,SET,FINCIAL,INSUR
1Q2561,478.64,149.97,209.38,37.21,2.68,1.04,2.81,,,7.77,1.64,,78.50,"1,091.15",9.25,0.83,95.11,6.37,,NSI,SET,FINCIAL,INSUR
2Q2561,457.66,-55.18,-74.18,16.68,1.20,0.49,1.26,,,3.64,1.57,,82.75,"1,150.22",8.03,0.87,95.16,6.04,,NSI,SET,FINCIAL,INSUR
3Q2561,462.23,66.12,4.54,27.72,1.99,0.79,2.10,,,6.00,1.71,,79.50,"1,105.05",11.60,0.84,94.67,6.29,,NSI,SET,FINCIAL,INSUR
4Q2561,452.56,-42.81,6.46,15.80,1.14,0.44,1.19,,,3.49,1.74,,75.50,"1,049.45",10.88,0.79,95.64,6.62,,NSI,SET,FINCIAL,INSUR
1Q2562,493.14,-0.67,-57.70,15.74,1.13,0.43,1.19,,,3.19,1.82,,76.75,"1,066.83",10.95,0.81,94.98,5.47,,NSI,SET,FINCIAL,INSUR
2Q2562,550.63,-95.91,-96.14,0.64,0.05,0.02,0.05,,,0.12,1.78,,0.00,973.00,12.81,0.74,95.17,6.00,,NSI,SET,FINCIAL,INSUR
3Q2562,575.59,"9,057.20",112.62,58.91,4.24,1.53,4.37,,,10.23,1.93,,63.75,886.13,14.79,0.66,96.63,6.59,,NSI,SET,FINCIAL,INSUR
4Q2562,540.35,-87.67,-54.16,7.26,0.52,0.18,0.54,,,1.34,1.88,,60.00,834.00,9.16,0.62,97.17,7.00,,NSI,SET,FINCIAL,INSUR
1Q2563,588.16,63.05,-24.76,11.84,0.85,0.29,0.89,,,2.01,2.26,,47.00,653.30,,,,15.32,,NSI,SET,FINCIAL,INSUR
2Q2563,518.77,657.00,"13,835.44",89.65,6.45,2.20,6.60,,,17.28,1.76,,54.25,754.08,9.59,0.58,93.27,13.27,,NSI,SET,FINCIAL,INSUR
3Q2563,544.21,-58.17,-36.34,37.50,2.70,0.96,2.68,,,6.89,1.80,,69.25,962.58,5.74,0.68,102.15,10.40,,NSI,SET,FINCIAL,INSUR
4Q2563,548.36,-42.27,198.07,21.65,1.56,0.55,1.56,,,3.95,1.88,,0.00,"1,028.60",7.03,0.74,99.34,9.73,,NSI,SET,FINCIAL,INSUR
1Q2564,589.28,-84.41,-71.50,3.38,0.24,0.08,0.25,,,0.57,2.22,,81.50,"1,132.85",7.05,0.81,100.51,11.35,,NSI,SET,FINCIAL,INSUR
2Q2564,603.21,"1,594.27",-36.21,57.18,4.11,1.33,4.17,,,9.48,2.04,,78.25,"1,087.67",7.15,0.81,96.06,11.82,,NSI,SET,FINCIAL,INSUR
3Q2564,614.36,-38.95,-6.90,34.91,2.51,0.82,2.52,,,5.68,2.13,,78.75,"1,094.63",9.14,0.78,101.08,11.75,,NSI,SET,FINCIAL,INSUR
4Q2564,617.09,-2.16,57.78,34.16,2.46,0.79,2.45,,,5.54,2.08,,81.25,"1,129.38",9.64,0.83,97.93,11.38,,NSI,SET,FINCIAL,INSUR
1Q2565,653.33,,,-16.41,-1.18,-0.36,-1.21,,,-2.51,2.65,,90.75,"1,261.42",,,,8.26,,NSI,SET,FINCIAL,INSUR
2Q2565,714.28,,28.60,73.54,5.29,1.57,5.75,,,10.30,2.69,,0.00,"1,264.90",11.52,0.98,92.93,8.24,,NSI,SET,FINCIAL,INSUR
3Q2565,691.71,-71.49,-39.96,20.96,1.51,0.45,1.69,,,3.03,2.88,,172.50,"2,488.10",19.72,1.97,90.99,4.19,,NSI,SET,FINCIAL,INSUR
