,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,49.41,425.00,75.00,8.98,0.00,0.29,0.53,21.23,73.30,18.17,0.86,"6,064.36",0.42,"1,803.06",31.99,1.07,0.39,0.00,30.58,NUSA,SET,PROPCON,PROP
2Q2555,118.86,23.81,-3.70,11.29,0.00,0.34,0.67,70.53,29.12,9.50,1.07,"5,713.79",0.40,"1,717.20",28.19,1.02,0.39,0.00,32.25,NUSA,SET,PROPCON,PROP
3Q2555,247.75,"1,376.92",573.68,53.14,0.04,1.48,2.99,84.04,15.50,21.45,0.98,"5,782.24",1.07,"1,822.82",29.52,1.07,0.40,0.00,25.14,NUSA,SET,PROPCON,PROP
4Q2555,94.73,-98.41,,3.62,0.00,0.09,0.17,57.08,42.45,3.82,1.03,"7,176.53",1.06,"2,197.98",23.57,1.19,1.03,0.00,37.57,NUSA,SET,PROPCON,PROP
1Q2556,98.95,70.49,-50.48,2.36,0.00,0.05,0.10,58.59,40.43,2.38,1.17,"7,673.79",1.19,"2,705.55",38.21,1.26,1.02,0.00,46.80,NUSA,SET,PROPCON,PROP
2Q2556,109.14,-17.31,-66.92,2.14,0.00,0.04,0.09,57.58,41.43,1.96,1.13,"7,780.89",0.81,"2,003.59",28.46,0.86,1.03,0.00,46.32,NUSA,SET,PROPCON,PROP
3Q2556,47.80,,,-29.23,-0.01,-0.52,-1.14,9.36,89.90,-61.15,1.28,"8,324.86",0.73,"1,805.70",29.47,0.71,1.02,0.00,984.26,NUSA,SET,PROPCON,PROP
4Q2556,85.27,7.63,,-26.98,-0.01,-0.44,-1.01,40.52,58.98,-31.63,1.32,"8,330.66",0.90,"2,226.21",N/A,0.89,1.01,0.00,-252.29,NUSA,SET,PROPCON,PROP
1Q2557,360.45,,"1,332.69",36.01,0.01,0.57,1.27,83.11,16.62,9.99,1.15,"7,901.18",0.71,"2,004.73",N/A,0.76,1.00,0.00,254.49,NUSA,SET,PROPCON,PROP
2Q2557,325.09,-42.28,900.00,29.32,0.01,0.46,0.98,78.62,21.30,9.02,1.16,"7,272.52",0.95,"2,682.39",N/A,0.94,1.01,0.00,108.44,NUSA,SET,PROPCON,PROP
3Q2557,366.50,-55.81,,49.66,0.00,0.75,1.54,78.39,19.84,13.55,0.96,"6,630.57",1.38,"4,448.52",N/A,1.55,1.02,0.00,48.86,NUSA,SET,PROPCON,PROP
4Q2557,219.26,126.32,,-8.24,0.01,-0.11,-0.21,66.58,33.49,-3.76,0.76,"6,256.00",1.17,"4,032.66",77.93,1.21,1.03,0.00,39.95,NUSA,SET,PROPCON,PROP
1Q2558,269.04,-58.37,-75.97,21.95,0.00,0.27,0.46,75.74,24.24,8.16,0.66,"6,349.18",0.89,"3,957.58",68.92,0.92,1.07,0.00,40.77,NUSA,SET,PROPCON,PROP
2Q2558,241.83,172.63,13.49,55.19,0.01,0.65,1.10,66.24,31.70,22.82,0.74,"6,605.88",0.78,"3,468.44",76.79,0.72,1.09,0.00,33.68,NUSA,SET,PROPCON,PROP
3Q2558,369.87,-98.05,-95.00,-0.22,0.00,0.00,0.00,73.55,25.87,-0.06,0.61,"6,454.63",1.10,"5,221.39",73.71,1.07,1.10,0.00,51.77,NUSA,SET,PROPCON,PROP
4Q2558,289.62,,,-13.78,-0.00,-0.13,-0.20,58.63,37.59,-4.76,0.52,"6,526.29",0.64,"4,446.01",112.70,0.75,1.08,0.00,51.59,NUSA,SET,PROPCON,PROP
1Q2559,252.48,12.39,,-16.37,-0.00,-0.14,-0.22,63.72,35.20,-6.48,0.56,"6,733.44",0.59,"4,098.66",81.48,0.55,1.07,0.00,60.05,NUSA,SET,PROPCON,PROP
