,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,1.26,,,,,,,,,NYT,SET,SERVICE,TRANS
3Q2556,924.16,,,278.70,0.67,11.95,26.39,88.65,10.27,30.16,1.17,,,,,,,,,NYT,SET,SERVICE,TRANS
4Q2556,328.41,-71.64,,101.17,0.19,3.05,4.20,85.91,11.40,30.81,0.13,,17.00,"10,540.00",29.17,0.00,0.00,0.00,7.63,NYT,SET,SERVICE,TRANS
1Q2557,343.36,-5.26,,108.59,0.18,2.55,2.96,86.46,9.97,31.63,0.19,,17.80,"11,036.00",29.05,3.02,5.88,2.81,7.62,NYT,SET,SERVICE,TRANS
2Q2557,314.71,-27.78,,86.24,0.13,2.03,2.41,85.49,11.05,27.40,0.17,,17.50,"10,850.00",28.08,2.94,5.96,2.86,10.84,NYT,SET,SERVICE,TRANS
3Q2557,335.73,38.46,-73.13,109.11,0.18,2.64,3.09,85.70,11.20,32.50,0.17,,16.00,"9,920.00",25.30,2.86,5.60,3.13,13.97,NYT,SET,SERVICE,TRANS
4Q2557,335.14,-11.11,-15.79,100.29,0.16,2.35,2.76,84.67,12.02,29.92,0.18,,15.00,"9,300.00",22.96,2.60,5.77,3.33,12.96,NYT,SET,SERVICE,TRANS
1Q2558,379.05,31.25,16.67,129.96,0.21,2.93,3.47,87.18,9.66,34.29,0.19,,13.80,"8,556.00",21.17,2.32,5.94,3.62,11.78,NYT,SET,SERVICE,TRANS
2Q2558,303.76,-33.33,7.69,89.97,0.14,2.09,2.45,83.71,12.30,29.62,0.16,,14.40,"8,928.00",20.98,2.34,6.15,4.17,12.48,NYT,SET,SERVICE,TRANS
3Q2558,364.69,35.71,5.56,115.45,0.19,2.77,3.22,85.56,10.02,31.66,0.17,,15.60,"9,672.00",22.53,2.74,5.69,3.85,13.18,NYT,SET,SERVICE,TRANS
4Q2558,360.08,-5.26,12.50,109.21,0.18,2.51,2.95,84.73,10.96,30.33,0.18,,15.80,"9,796.00",22.48,2.69,5.88,3.80,13.21,NYT,SET,SERVICE,TRANS
1Q2559,366.11,5.56,-9.52,115.70,0.19,2.56,3.04,86.76,10.12,31.60,0.19,,14.00,"8,680.00",19.52,2.31,6.05,4.64,11.63,NYT,SET,SERVICE,TRANS
2Q2559,354.81,-26.32,0.00,89.02,0.14,2.01,2.40,84.71,11.65,25.09,0.20,,13.60,"8,432.00",19.59,2.18,6.24,4.78,11.24,NYT,SET,SERVICE,TRANS
3Q2559,350.91,14.29,-15.79,100.53,0.16,2.36,2.79,86.40,10.83,28.65,0.16,,12.70,"7,874.00",18.34,2.21,5.73,5.12,10.79,NYT,SET,SERVICE,TRANS
4Q2559,354.63,-12.50,-22.22,84.77,0.14,1.97,2.29,85.99,10.93,23.90,0.17,,14.40,"8,928.00",21.54,2.44,5.90,4.51,12.56,NYT,SET,SERVICE,TRANS
1Q2560,350.10,-42.86,-57.89,99.84,0.08,2.25,2.64,85.90,11.05,28.52,0.17,,15.40,"9,548.00",24.48,2.55,6.03,3.90,12.51,NYT,SET,SERVICE,TRANS
2Q2560,341.02,0.00,-42.86,94.65,0.08,2.17,2.56,85.03,11.28,27.75,0.19,,6.85,"8,494.00",22.70,2.21,3.09,4.38,12.36,NYT,SET,SERVICE,TRANS
3Q2560,360.03,-12.50,-56.25,93.20,0.07,2.21,2.58,85.73,11.43,25.89,0.15,,6.10,"7,564.00",19.92,2.12,2.87,4.92,11.31,NYT,SET,SERVICE,TRANS
4Q2560,371.13,14.29,-42.86,101.00,0.08,2.36,2.73,85.34,10.47,27.21,0.16,,5.90,"7,316.00",19.64,2.00,2.95,5.08,10.81,NYT,SET,SERVICE,TRANS
1Q2561,368.09,0.00,0.00,104.62,0.08,2.37,2.75,86.84,10.55,28.42,0.16,,5.90,"7,316.00",18.82,1.95,3.03,5.08,10.80,NYT,SET,SERVICE,TRANS
2Q2561,340.24,0.00,0.00,91.98,0.08,2.11,2.47,85.19,12.07,27.03,0.18,,4.98,"6,175.20",15.69,1.60,3.11,6.02,8.59,NYT,SET,SERVICE,TRANS
3Q2561,384.14,12.50,28.57,118.19,0.09,2.76,3.23,85.44,11.03,30.77,0.16,,5.00,"6,200.00",15.86,1.73,2.89,6.00,7.19,NYT,SET,SERVICE,TRANS
4Q2561,376.45,-11.11,0.00,90.14,0.08,2.06,2.39,86.05,11.67,23.94,0.17,,4.96,"6,150.40",14.79,1.66,2.98,6.05,7.87,NYT,SET,SERVICE,TRANS
1Q2562,397.95,12.50,12.50,116.64,0.09,2.59,3.02,87.05,10.17,29.31,0.17,,5.05,"6,262.00",15.46,1.65,3.05,5.94,9.16,NYT,SET,SERVICE,TRANS
2Q2562,350.17,-11.11,0.00,88.22,0.08,2.00,2.35,84.24,11.82,25.19,0.18,,4.82,"5,976.80",14.33,1.53,3.15,6.22,8.74,NYT,SET,SERVICE,TRANS
3Q2562,356.19,-12.50,-22.22,93.48,0.07,2.20,2.55,86.78,9.98,26.24,0.14,,4.62,"5,728.80",13.86,1.58,2.92,6.49,8.76,NYT,SET,SERVICE,TRANS
4Q2562,357.42,-14.29,-25.00,78.17,0.06,1.82,2.08,85.94,12.19,21.87,0.15,,3.86,"4,786.40",12.32,1.29,2.99,7.77,7.61,NYT,SET,SERVICE,TRANS
1Q2563,385.03,0.00,-33.33,78.83,0.06,1.49,2.10,86.56,11.16,20.47,0.68,,2.70,"3,348.00",,,,18.52,7.97,NYT,SET,SERVICE,TRANS
2Q2563,244.97,-50.00,-62.50,36.84,0.03,0.63,1.07,82.27,14.98,15.04,0.74,,2.92,"3,620.80",10.69,0.97,3.01,17.12,7.86,NYT,SET,SERVICE,TRANS
3Q2563,274.18,-33.33,-71.43,21.03,0.02,0.38,0.66,83.19,14.65,7.67,0.71,,3.10,"3,844.00",13.38,1.22,2.54,16.13,8.18,NYT,SET,SERVICE,TRANS
4Q2563,295.30,250.00,16.67,90.71,0.07,1.63,2.80,92.13,13.50,30.72,0.73,,3.28,"4,067.20",18.83,1.28,2.56,15.24,7.99,NYT,SET,SERVICE,TRANS
1Q2564,341.50,-4.29,11.67,80.78,0.07,1.40,2.42,64.38,11.54,23.66,0.74,,4.18,"5,183.20",22.68,1.59,2.62,4.78,9.33,NYT,SET,SERVICE,TRANS
2Q2564,326.42,-20.90,76.67,48.62,0.05,0.78,1.48,59.57,15.15,14.90,1.09,,4.60,"5,704.00",24.22,1.71,2.69,4.35,11.06,NYT,SET,SERVICE,TRANS
3Q2564,305.70,-43.40,50.00,28.35,0.03,0.43,0.89,134.58,18.39,9.28,1.05,,4.10,"5,084.00",19.83,1.61,2.54,4.88,9.78,NYT,SET,SERVICE,TRANS
4Q2564,379.05,52.27,-34.74,45.41,0.05,0.69,1.40,84.82,14.67,11.98,1.03,,4.62,"5,728.80",21.04,1.80,2.57,4.33,10.63,NYT,SET,SERVICE,TRANS
1Q2565,352.99,-12.43,-40.30,41.29,0.04,0.62,1.25,87.67,11.88,11.70,1.02,,4.70,"5,828.00",,,,3.40,11.11,NYT,SET,SERVICE,TRANS
2Q2565,316.38,-7.50,-30.19,32.47,0.04,0.50,1.00,88.61,11.09,10.26,1.03,,4.14,"5,133.60",24.39,1.55,2.66,3.86,10.26,NYT,SET,SERVICE,TRANS
3Q2565,372.66,43.24,76.67,54.56,0.05,0.84,1.72,89.16,10.21,14.64,1.05,,3.62,"4,538.40",23.32,1.44,2.54,4.37,9.24,NYT,SET,SERVICE,TRANS
