,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,412.53,11.36,13.95,29.26,0.49,3.24,4.83,59.18,39.09,7.09,0.54,65.06,0.00,"1,200.00",12.01,2.03,9.86,3.50,9.04,OCC,SET,CONSUMP,PERSON
2Q2555,394.10,-20.41,-4.88,23.56,0.39,2.51,3.87,55.08,41.18,5.98,0.55,54.68,17.00,"1,020.00",9.89,1.64,10.34,4.12,7.93,OCC,SET,CONSUMP,PERSON
3Q2555,391.20,2.56,2.56,23.83,0.40,2.49,3.89,59.58,39.30,6.09,0.58,54.87,0.00,"1,560.00",15.22,2.61,9.96,2.69,11.62,OCC,SET,CONSUMP,PERSON
4Q2555,426.38,20.00,9.09,29.08,0.48,2.93,4.53,58.52,38.28,6.82,0.52,49.22,0.00,"1,194.00",11.59,1.90,10.47,3.52,9.10,OCC,SET,CONSUMP,PERSON
1Q2556,421.06,14.58,12.24,32.95,0.55,3.24,4.80,59.76,38.39,7.82,0.45,55.27,0.00,"1,230.00",11.63,1.88,10.93,3.90,9.23,OCC,SET,CONSUMP,PERSON
2Q2556,384.97,-45.45,-23.08,18.27,0.30,1.78,2.62,53.14,42.91,4.75,0.49,61.45,21.00,"1,260.00",11.52,1.76,11.94,3.81,10.04,OCC,SET,CONSUMP,PERSON
3Q2556,373.34,30.00,-2.50,23.24,0.39,2.29,3.36,57.14,40.44,6.22,0.44,62.69,17.50,"1,050.00",10.08,1.54,11.35,4.57,8.95,OCC,SET,CONSUMP,PERSON
4Q2556,376.41,15.38,-6.25,26.92,0.45,2.61,3.76,57.22,38.26,7.15,0.43,71.80,16.30,978.00,9.45,1.39,11.72,4.91,8.62,OCC,SET,CONSUMP,PERSON
1Q2557,356.50,-20.00,-34.55,21.61,0.36,2.08,2.92,57.44,40.40,6.06,0.38,87.27,0.00,"1,050.00",10.36,1.44,12.16,4.57,10.30,OCC,SET,CONSUMP,PERSON
2Q2557,357.27,-2.78,16.67,20.96,0.35,2.07,2.84,56.62,40.86,5.87,0.37,98.55,17.10,"1,026.00",11.39,1.36,12.53,4.68,9.78,OCC,SET,CONSUMP,PERSON
3Q2557,358.35,20.00,7.69,24.98,0.42,2.49,3.38,58.37,40.23,6.97,0.35,100.52,18.10,"1,086.00",11.71,1.50,12.10,4.42,10.09,OCC,SET,CONSUMP,PERSON
4Q2557,387.33,9.52,2.22,27.93,0.46,2.66,3.65,55.11,40.11,7.21,0.40,91.72,19.60,"1,176.00",12.45,1.56,12.53,4.08,11.01,OCC,SET,CONSUMP,PERSON
1Q2558,353.34,-41.30,-25.00,16.02,0.27,1.46,2.04,56.44,42.14,4.54,0.39,78.53,17.00,"1,020.00",10.68,1.31,12.98,4.41,10.27,OCC,SET,CONSUMP,PERSON
2Q2558,362.34,25.93,-2.86,20.28,0.34,1.85,2.60,55.47,41.25,5.60,0.42,70.34,0.00,"1,026.00",11.41,1.29,13.23,4.39,10.81,OCC,SET,CONSUMP,PERSON
3Q2558,347.98,-14.71,-30.95,17.89,0.29,1.64,2.30,53.75,42.63,5.14,0.40,69.51,0.00,"1,020.00",11.43,1.33,12.80,4.41,11.40,OCC,SET,CONSUMP,PERSON
