,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,2.93,-62.38,,,,,,,,OR,SET,RESOURC,ENERG
3Q2563,"322,407.92",,,"5,868.49",0.65,3.92,14.69,93.22,5.82,1.82,2.57,-52.78,,,,,,,,OR,SET,RESOURC,ENERG
4Q2563,"110,441.04",-49.70,,"2,922.49",0.33,2.00,7.39,93.27,5.88,2.65,2.82,-60.79,,,,,,,,OR,SET,RESOURC,ENERG
1Q2564,"119,302.22",15.87,,"4,001.84",0.38,2.29,5.99,94.30,4.99,3.35,1.14,-70.47,32.25,"374,422.50",42.59,,0.00,0.31,10.01,OR,SET,RESOURC,ENERG
2Q2564,"119,509.52",-31.34,,"3,221.65",0.26,1.59,3.33,94.52,4.81,2.70,1.04,-76.08,30.50,"366,000.00",33.59,3.83,7.97,0.32,14.05,OR,SET,RESOURC,ENERG
3Q2564,"117,594.35",-42.23,-76.89,"1,894.17",0.15,0.97,1.94,94.27,5.05,1.61,0.98,-100.88,27.50,"330,000.00",24.26,3.37,8.16,0.35,17.58,OR,SET,RESOURC,ENERG
4Q2564,"158,873.58",28.68,-40.86,"2,352.17",0.19,1.18,2.39,94.67,4.68,1.48,1.08,-132.05,27.00,"324,000.00",26.90,3.35,8.07,0.36,17.92,OR,SET,RESOURC,ENERG
1Q2565,"178,206.87",65.21,-15.68,"3,846.81",0.32,1.80,3.78,95.82,3.66,2.16,1.12,-164.20,25.00,"300,000.00",,,,1.84,17.54,OR,SET,RESOURC,ENERG
2Q2565,"212,305.65",70.80,109.78,"6,568.16",0.55,2.92,6.20,96.47,3.12,3.09,1.12,-227.29,25.50,"306,000.00",27.04,2.95,8.63,1.80,15.35,OR,SET,RESOURC,ENERG
3Q2565,"195,600.72",-89.33,-61.24,700.82,0.06,0.31,0.66,95.90,3.69,0.36,1.14,-210.70,25.75,"309,000.00",21.08,2.86,9.01,1.79,16.66,OR,SET,RESOURC,ENERG
