,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2560,,,,,,,,,,,3.42,-34.48,,,,,,,,OSP,SET,AGRO,FOOD
2Q2561,"12,478.87",,,"1,471.90",1.08,9.71,37.76,77.99,19.89,11.80,2.47,-43.31,,,,,,,,OSP,SET,AGRO,FOOD
3Q2561,"5,896.13",-81.48,,793.70,0.20,5.22,16.73,78.39,19.13,13.46,1.98,-54.40,,,,,,,,OSP,SET,AGRO,FOOD
4Q2561,"6,437.44",0.00,,796.48,0.20,4.11,6.80,77.62,20.76,12.37,0.28,-64.61,24.50,"73,591.88",30.29,,0.00,0.00,7.65,OSP,SET,AGRO,FOOD
1Q2562,"6,501.73",50.00,,897.16,0.30,3.83,4.90,77.58,20.34,13.80,0.28,-104.34,27.50,"82,603.13",27.49,4.57,6.02,2.51,13.50,OSP,SET,AGRO,FOOD
2Q2562,"6,390.98",-23.33,-78.70,720.67,0.23,3.12,3.99,75.66,22.83,11.28,0.28,-127.75,34.75,"104,380.31",33.56,5.78,6.01,1.99,21.35,OSP,SET,AGRO,FOOD
3Q2562,"6,512.31",21.74,40.00,840.68,0.28,3.68,4.76,74.76,22.41,12.91,0.31,-133.22,37.25,"111,889.69",35.41,6.36,5.85,1.85,22.52,OSP,SET,AGRO,FOOD
4Q2562,"6,746.29",-3.57,35.00,809.41,0.27,3.43,4.55,76.70,21.45,12.00,0.35,-139.89,40.50,"121,651.88",37.72,7.01,5.78,1.70,25.09,OSP,SET,AGRO,FOOD
1Q2563,"6,906.13",14.81,3.33,915.18,0.31,3.51,5.04,74.56,22.27,13.25,0.52,-169.49,35.75,"107,384.06",,,,2.80,22.62,OSP,SET,AGRO,FOOD
2Q2563,"5,938.97",-14.19,15.66,786.62,0.27,2.88,4.22,76.94,22.56,13.25,0.42,-180.07,38.00,"114,142.50",34.62,6.29,6.04,2.63,23.18,OSP,SET,AGRO,FOOD
3Q2563,"6,851.09",14.28,8.57,901.73,0.30,3.44,4.80,75.43,20.91,13.16,0.37,-162.51,35.00,"105,131.25",31.01,5.59,6.26,2.86,20.57,OSP,SET,AGRO,FOOD
4Q2563,"6,432.89",-4.60,7.41,833.62,0.29,3.25,4.39,77.52,21.76,12.96,0.34,-143.64,35.50,"106,633.13",30.67,5.76,6.16,2.82,20.58,OSP,SET,AGRO,FOOD
1Q2564,"7,121.65",15.26,7.82,987.30,0.33,3.59,4.87,73.97,21.17,13.86,0.37,-115.80,35.25,"105,882.19",30.21,5.51,6.40,3.12,19.82,OSP,SET,AGRO,FOOD
2Q2564,"6,963.94",-18.35,2.60,798.55,0.27,2.84,3.89,76.12,23.15,11.47,0.37,-101.47,37.75,"113,391.56",31.65,5.37,7.03,2.91,20.74,OSP,SET,AGRO,FOOD
3Q2564,"6,181.83",-29.23,-36.46,561.63,0.19,2.09,2.88,75.70,23.31,9.09,0.39,-100.68,34.00,"102,127.50",28.38,5.15,6.60,3.24,20.17,OSP,SET,AGRO,FOOD
1Q2565,"7,518.25",29.21,-25.33,750.59,0.25,2.70,3.78,78.37,21.02,9.98,0.41,-116.54,37.50,"112,640.63",,,,2.93,22.02,OSP,SET,AGRO,FOOD
2Q2565,"7,261.91",-19.48,-26.37,607.53,0.20,2.15,3.04,76.19,22.73,8.37,0.42,-99.67,33.75,"102,878.44",34.29,4.99,6.87,3.21,21.99,OSP,SET,AGRO,FOOD
3Q2565,"6,231.20",-59.61,-57.97,218.40,0.08,0.82,1.17,72.97,26.17,3.50,0.43,-83.07,26.50,"81,852.19",29.40,4.25,6.41,4.04,20.66,OSP,SET,AGRO,FOOD
