,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,0.24,-82.47,,,,,,,,OTO,mai,SERVICE,-
1Q2557,193.99,,,25.13,0.12,4.91,6.13,91.28,8.40,12.96,0.26,-127.57,,,,,,,,OTO,mai,SERVICE,-
2Q2557,190.73,-25.00,,22.54,0.09,3.07,3.63,91.44,7.63,11.82,0.14,-169.78,7.20,"2,016.00",23.05,0.00,0.00,0.00,6.78,OTO,mai,SERVICE,-
3Q2557,211.30,-22.22,,20.57,0.07,2.23,2.53,90.24,7.91,9.74,0.13,-179.96,7.15,"2,002.00",22.17,2.45,2.92,0.00,5.73,OTO,mai,SERVICE,-
4Q2557,194.41,,,-2.26,-0.02,-0.25,-0.28,85.59,9.15,-1.16,0.12,-258.28,6.05,"1,694.00",18.60,2.10,2.89,0.00,8.58,OTO,mai,SERVICE,-
1Q2558,219.10,,-50.00,16.30,0.06,1.79,2.00,91.76,7.52,7.44,0.12,-208.22,5.60,"1,568.00",23.76,1.94,2.88,2.86,7.95,OTO,mai,SERVICE,-
2Q2558,232.94,0.00,-33.33,18.57,0.06,2.01,2.25,92.29,7.17,7.97,0.13,-144.12,6.90,"1,932.00",33.80,2.35,2.94,2.32,9.74,OTO,mai,SERVICE,-
3Q2558,228.91,0.00,-14.29,15.37,0.06,1.65,1.86,92.54,7.09,6.72,0.13,-113.09,5.65,"1,582.00",29.75,1.91,2.95,2.83,8.16,OTO,mai,SERVICE,-
4Q2558,315.35,0.00,,15.99,0.06,1.64,1.92,93.20,5.40,5.07,0.21,-219.69,4.90,"1,372.00",28.60,1.67,2.94,3.27,6.48,OTO,mai,SERVICE,-
1Q2559,210.38,0.00,0.00,17.55,0.06,1.77,2.07,90.98,6.97,8.34,0.12,-239.01,4.66,"1,304.80",19.70,1.56,3.00,3.43,5.84,OTO,mai,SERVICE,-
2Q2559,243.67,33.33,33.33,20.26,0.08,2.09,2.37,92.56,6.85,8.31,0.15,-278.23,5.65,"1,582.00",23.44,1.85,3.06,2.83,7.56,OTO,mai,SERVICE,-
3Q2559,239.07,0.00,33.33,22.95,0.08,2.36,2.69,94.05,6.07,9.60,0.14,-293.82,5.40,"1,512.00",21.86,1.78,3.04,2.96,7.12,OTO,mai,SERVICE,-
4Q2559,274.41,0.00,33.33,22.62,0.08,2.29,2.62,92.78,7.24,8.24,0.16,-214.01,5.10,"1,428.00",18.61,1.68,3.04,3.14,6.34,OTO,mai,SERVICE,-
1Q2560,242.31,12.50,50.00,25.48,0.09,2.53,2.87,92.30,7.14,10.52,0.12,-200.89,7.90,"2,212.00",26.53,2.53,3.12,2.91,9.92,OTO,mai,SERVICE,-
2Q2560,208.06,-55.56,-50.00,10.41,0.04,1.05,1.18,90.50,7.58,5.00,0.13,-175.32,7.15,"2,002.00",21.93,2.22,3.21,3.22,9.10,OTO,mai,SERVICE,-
3Q2560,181.56,-56.85,-78.43,5.56,0.02,0.58,0.65,88.52,10.66,3.06,0.11,-152.22,4.94,"1,383.20",16.98,1.59,3.10,4.66,6.76,OTO,mai,SERVICE,-
4Q2560,194.69,89.69,-59.08,9.00,0.03,0.95,1.05,91.22,7.95,4.62,0.10,-125.08,3.98,"1,114.40",17.39,1.31,3.04,5.78,5.72,OTO,mai,SERVICE,-
1Q2561,169.99,-8.37,-66.67,8.11,0.03,0.86,0.93,86.75,12.17,4.77,0.08,-92.60,3.30,924.00,18.32,1.07,3.08,6.97,5.86,OTO,mai,SERVICE,-
2Q2561,179.47,0.00,-25.00,9.10,0.03,0.97,1.05,88.10,10.73,5.07,0.08,-63.09,2.76,772.80,23.37,0.89,3.11,5.43,5.12,OTO,mai,SERVICE,-
3Q2561,182.12,-44.60,-3.71,4.26,0.02,0.46,0.50,87.34,11.52,2.34,0.10,-58.70,3.12,873.60,27.50,1.01,3.08,4.81,7.03,OTO,mai,SERVICE,-
4Q2561,186.69,,,-0.87,-0.01,-0.09,-0.10,86.44,12.80,-0.46,0.11,-44.01,2.00,560.00,18.38,0.66,3.05,7.50,3.36,OTO,mai,SERVICE,-
1Q2562,190.44,,-33.33,5.09,0.02,0.54,0.60,87.71,11.45,2.67,0.10,-56.81,2.56,716.80,34.78,0.84,3.04,3.13,8.22,OTO,mai,SERVICE,-
2Q2562,188.15,-50.00,-66.67,3.45,0.01,0.36,0.40,87.97,10.73,1.83,0.12,-75.18,2.66,744.80,42.34,0.87,3.06,3.01,12.59,OTO,mai,SERVICE,-
3Q2562,215.50,800.00,441.52,25.95,0.09,2.69,3.03,78.37,8.78,12.04,0.13,-104.29,2.72,761.60,63.81,0.90,3.03,2.94,5.66,OTO,mai,SERVICE,-
4Q2562,196.44,,,-1.48,0.00,-0.15,-0.17,88.27,10.47,-0.75,0.12,-146.70,2.76,772.80,22.99,0.89,3.09,2.90,10.99,OTO,mai,SERVICE,-
1Q2563,179.42,,,-1.77,-0.01,-0.18,-0.20,88.12,10.75,-0.99,0.15,-153.81,2.62,733.60,22.22,0.85,3.10,4.96,11.87,OTO,mai,SERVICE,-
2Q2563,176.64,,-55.00,1.64,0.00,0.17,0.19,88.32,10.64,0.93,0.16,-148.24,2.78,778.40,29.77,0.90,3.09,4.68,11.94,OTO,mai,SERVICE,-
3Q2563,185.62,133.33,-88.33,2.19,0.01,0.22,0.26,89.03,10.14,1.18,0.18,-142.99,3.14,879.20,36.13,1.05,3.00,4.14,20.21,OTO,mai,SERVICE,-
4Q2563,143.42,,,-50.91,-0.19,-6.03,-7.28,81.96,17.45,-35.50,0.24,-83.79,5.15,"1,442.00","2,486.81",1.72,2.99,2.52,"1,178.50",OTO,mai,SERVICE,-
1Q2564,159.89,,,12.92,0.05,1.85,2.27,79.29,14.26,8.08,0.21,-71.11,5.80,"1,624.00",N/A,2.88,2.01,14.14,82.20,OTO,mai,SERVICE,-
2Q2564,151.16,-3.59,897.78,12.69,0.04,1.81,2.18,75.23,16.56,8.39,0.19,-51.81,5.55,"1,554.00",N/A,2.70,2.06,14.77,48.60,OTO,mai,SERVICE,-
3Q2564,209.47,141.71,933.62,31.03,0.11,4.20,5.13,65.48,15.34,14.82,0.25,-41.64,9.00,"2,520.00",N/A,8.56,1.11,4.56,39.86,OTO,mai,SERVICE,-
4Q2564,136.64,,84.21,-0.97,-0.03,-0.11,-0.13,81.73,20.61,-0.71,0.11,-55.30,12.10,"6,776.00","1,181.32",10.93,2.21,3.39,57.80,OTO,mai,SERVICE,-
1Q2565,149.95,-47.53,,-24.78,-0.04,-2.52,-2.78,80.46,18.37,-16.53,0.09,-58.64,14.30,"8,008.00",143.82,8.86,1.61,0.00,116.94,OTO,mai,SERVICE,-
2Q2565,145.17,-48.53,,-39.75,-0.07,-4.18,-4.57,81.21,16.79,-27.38,0.10,-67.86,13.80,"7,728.00",429.99,8.79,1.57,0.00,"3,961.60",OTO,mai,SERVICE,-
3Q2565,150.91,-29.86,,-44.87,-0.09,-4.87,-5.36,81.47,14.62,-29.73,0.11,-68.21,12.80,"7,224.00",N/A,8.59,1.50,0.00,-78.74,OTO,mai,SERVICE,-
