,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,3.91,103.26,,,,,,,,PACE,SET,PROPCON,PROP
1Q2556,76.69,,,-51.91,-0.04,-1.27,-6.38,,90.97,-67.69,4.10,143.50,,,,,,,,PACE,SET,PROPCON,PROP
2Q2556,64.88,-61.39,,-83.77,-0.06,-1.89,-10.48,,164.01,-129.11,5.01,111.47,,,,,,,,PACE,SET,PROPCON,PROP
3Q2556,76.05,-580.66,,-657.30,-0.39,-10.18,-44.51,131.20,84.54,-864.27,2.81,56.28,2.14,"4,396.13",N/A,0.00,0.00,0.00,80.44,PACE,SET,PROPCON,PROP
4Q2556,127.47,,,-48.07,0.02,-0.57,-2.21,45.69,51.07,-37.71,2.99,90.83,1.49,"3,060.86",N/A,1.10,1.35,0.00,-11.63,PACE,SET,PROPCON,PROP
1Q2557,5.18,,23.98,-77.28,-0.03,-0.82,-3.66,,"1,354.35","-1,492.51",3.96,"1,016.61",1.69,"3,471.71",N/A,1.26,1.34,0.00,-14.09,PACE,SET,PROPCON,PROP
2Q2557,16.35,-42.02,33.11,-105.74,-0.04,-0.96,-5.24,,543.73,-646.73,4.95,"2,169.58",2.04,"4,190.70",N/A,1.56,1.31,0.00,-16.72,PACE,SET,PROPCON,PROP
3Q2557,13.37,-83.18,82.00,-181.50,-0.07,-1.45,-9.69,,"1,049.75","-1,357.13",6.53,"2,708.23",3.88,"7,970.55",N/A,3.05,1.27,0.00,-20.83,PACE,SET,PROPCON,PROP
4Q2557,537.74,32.33,,-136.98,-0.05,-0.84,-7.97,35.74,57.72,-25.47,10.62,"2,324.95",3.16,"6,491.48",N/A,2.63,1.20,0.00,-77.62,PACE,SET,PROPCON,PROP
1Q2558,698.39,-299.39,-603.10,-437.79,-0.19,-2.16,-30.67,,95.53,-62.69,16.74,"1,340.96",3.46,"7,107.76",N/A,2.99,1.16,0.00,-54.53,PACE,SET,PROPCON,PROP
2Q2558,858.35,9.39,-348.59,-512.21,-0.17,-2.35,-24.91,,92.72,-59.67,6.67,995.59,2.92,"9,524.10",N/A,4.84,0.96,0.00,-37.77,PACE,SET,PROPCON,PROP
3Q2558,782.58,17.09,-103.03,-492.48,-0.14,-2.10,-17.99,,99.39,-62.93,8.56,874.15,2.70,"8,806.53",N/A,3.02,0.89,0.00,-32.94,PACE,SET,PROPCON,PROP
