,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,329.27",-35.14,14.71,175.55,0.39,4.04,5.43,76.04,23.35,13.21,0.32,-79.93,47.25,"21,262.50",25.80,6.73,7.03,1.93,15.45,PB,SET,AGRO,FOOD
2Q2555,"1,441.99",17.95,17.95,208.34,0.46,4.66,6.33,76.77,22.68,14.45,0.39,-92.32,49.75,"22,387.50",26.40,6.77,7.35,1.83,16.03,PB,SET,AGRO,FOOD
3Q2555,"1,584.80",10.87,2.00,228.76,0.51,4.92,6.95,77.55,21.88,14.43,0.44,-95.32,63.50,"28,575.00",32.49,8.73,7.27,1.43,20.32,PB,SET,AGRO,FOOD
4Q2555,"1,570.60",5.88,-10.19,241.09,0.54,5.07,7.02,78.12,21.35,15.35,0.34,-92.20,55.50,"24,975.00",28.31,7.55,7.35,1.64,18.01,PB,SET,AGRO,FOOD
1Q2556,"1,422.27",-20.37,10.26,195.45,0.43,4.07,5.34,76.04,23.33,13.74,0.28,-91.10,53.00,"23,850.00",27.94,6.69,7.92,1.79,16.77,PB,SET,AGRO,FOOD
2Q2556,"1,564.75",8.26,1.20,207.53,0.47,4.28,5.53,76.18,22.85,13.26,0.30,-79.02,48.00,"21,600.00",24.72,5.74,8.36,1.98,15.20,PB,SET,AGRO,FOOD
3Q2556,"1,720.87",29.70,18.39,271.71,0.60,5.49,7.21,78.16,21.11,15.79,0.32,-78.21,42.25,"19,012.50",21.78,5.09,8.30,2.25,13.17,PB,SET,AGRO,FOOD
4Q2556,"1,732.26",-0.77,10.96,269.63,0.60,5.21,6.84,77.06,22.08,15.57,0.30,-77.63,43.50,"19,575.00",21.38,5.14,8.46,2.18,13.13,PB,SET,AGRO,FOOD
1Q2557,"1,590.79",-13.94,19.92,232.05,0.52,4.33,5.53,76.69,22.58,14.59,0.25,-74.57,44.00,"19,800.00",20.97,4.85,9.07,2.39,12.65,PB,SET,AGRO,FOOD
2Q2557,"1,648.63",-8.93,0.88,211.33,0.47,3.90,4.93,75.29,23.70,12.82,0.27,-72.76,46.75,"21,037.50",21.45,4.87,9.59,2.25,13.39,PB,SET,AGRO,FOOD
3Q2557,"1,818.82",36.70,6.32,288.88,0.64,5.26,6.73,76.95,22.25,15.88,0.29,-67.11,46.25,"20,812.50",21.14,4.88,9.47,2.27,13.07,PB,SET,AGRO,FOOD
4Q2557,"1,855.94",6.93,14.57,308.91,0.69,5.37,6.90,76.92,22.11,16.64,0.29,-67.07,42.00,"18,900.00",18.86,4.37,9.61,2.50,12.24,PB,SET,AGRO,FOOD
1Q2558,"1,685.47",-12.62,16.33,269.94,0.60,4.47,5.68,75.67,23.08,16.02,0.25,-68.77,42.25,"19,012.50",18.26,4.11,10.28,2.75,11.54,PB,SET,AGRO,FOOD
2Q2558,"1,755.69",4.00,32.85,280.75,0.62,4.59,5.76,75.21,23.72,15.99,0.26,-67.23,45.00,"20,250.00",18.77,4.15,10.84,2.58,11.95,PB,SET,AGRO,FOOD
3Q2558,"1,999.03",35.57,31.75,380.60,0.85,6.14,7.75,77.86,21.41,19.04,0.27,-67.14,45.00,"20,250.00",17.63,4.16,10.81,2.58,11.46,PB,SET,AGRO,FOOD
4Q2558,"1,975.62",-1.90,20.87,373.38,0.83,5.75,7.26,78.43,20.83,18.90,0.26,-67.63,48.25,"21,712.50",17.51,4.38,11.02,2.40,11.71,PB,SET,AGRO,FOOD
1Q2559,"1,800.16",-13.23,20.03,325.84,0.72,4.76,5.93,76.76,22.16,18.10,0.23,-68.00,52.25,"23,512.50",18.02,4.41,11.83,2.78,12.16,PB,SET,AGRO,FOOD
2Q2559,"1,842.66",2.77,18.60,331.12,0.74,4.67,5.87,76.47,22.48,17.97,0.29,-83.08,65.75,"29,587.50",21.75,5.23,12.58,2.21,15.01,PB,SET,AGRO,FOOD
3Q2559,"2,066.41",27.66,11.69,425.08,0.94,5.81,7.50,78.46,20.72,20.57,0.29,-99.94,64.75,"29,137.50",20.65,5.19,12.48,2.24,14.37,PB,SET,AGRO,FOOD
4Q2559,"1,931.30",-10.39,2.01,380.90,0.85,5.11,6.46,78.34,20.83,19.72,0.24,-99.67,64.00,"28,800.00",19.79,5.04,12.69,2.27,14.22,PB,SET,AGRO,FOOD
1Q2560,"1,749.36",-16.41,-1.73,318.40,0.71,4.19,5.10,76.33,22.75,18.20,0.20,-95.49,64.75,"29,137.50",19.92,4.78,13.53,2.55,14.36,PB,SET,AGRO,FOOD
2Q2560,"1,807.62",-0.96,-5.29,315.35,0.70,4.13,4.96,75.40,23.48,17.45,0.20,-76.34,64.00,"28,800.00",19.79,4.49,14.24,2.58,14.25,PB,SET,AGRO,FOOD
3Q2560,"1,993.61",7.61,-20.17,339.33,0.75,4.44,5.36,76.68,22.49,17.02,0.21,-57.32,64.00,"28,800.00",20.00,4.56,14.03,2.58,14.65,PB,SET,AGRO,FOOD
4Q2560,"1,968.71",6.81,-4.84,362.45,0.81,4.62,5.56,78.04,21.06,18.41,0.19,-54.17,64.25,"28,912.50",21.35,4.56,14.09,2.57,14.57,PB,SET,AGRO,FOOD
1Q2561,"1,794.36",-11.89,0.30,319.35,0.71,3.95,4.65,76.13,22.66,17.80,0.16,-54.50,62.25,"28,012.50",20.97,4.18,14.91,2.41,13.83,PB,SET,AGRO,FOOD
2Q2561,"1,831.65",6.21,7.56,339.18,0.75,4.15,4.84,76.27,22.51,18.52,0.17,-59.65,61.25,"27,562.50",20.62,3.93,15.60,2.45,13.33,PB,SET,AGRO,FOOD
