,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
2Q2555,"1,639.13",-80.69,0.00,186.35,0.45,7.52,44.37,88.62,9.29,11.37,4.02,145.62,0.00,108.89,0.15,0.43,0.66,0.00,1.26,PK,SET,INDUS,IMM
4Q2555,"2,000.14",-11.11,-82.83,164.23,0.40,5.98,26.94,88.59,10.17,8.21,3.13,177.90,0.00,108.89,0.14,0.27,1.04,0.00,1.26,PK,SET,INDUS,IMM
2Q2556,"2,143.02",,,-182.75,-0.44,-6.16,-26.53,83.82,15.24,-8.53,3.49,140.21,0.00,108.89,0.40,0.20,1.43,0.00,1.92,PK,SET,INDUS,IMM
3Q2556,960.85,,,4.57,0.01,0.15,0.68,85.57,13.81,0.48,3.49,142.32,0.00,108.89,N/A,0.21,1.36,0.00,6.81,PK,SET,INDUS,IMM
4Q2556,"1,188.26","1,517.44",-42.50,95.67,0.23,3.08,13.25,84.26,12.98,8.05,3.13,122.63,0.00,108.89,N/A,0.21,1.36,0.00,9.26,PK,SET,INDUS,IMM
1Q2557,"1,001.58",-52.17,,44.96,0.11,1.42,5.68,85.59,14.06,4.49,2.90,127.45,0.00,108.89,N/A,0.18,1.56,0.00,18.40,PK,SET,INDUS,IMM
2Q2557,"1,044.77",90.91,,86.28,0.21,2.80,10.07,87.30,11.99,8.26,2.34,153.84,0.00,108.89,N/A,0.17,1.64,0.00,4.45,PK,SET,INDUS,IMM
3Q2557,927.24,-99.26,-89.10,2.06,0.00,0.07,0.23,83.51,15.13,0.22,2.43,159.72,0.00,108.89,0.61,0.16,1.82,0.00,4.72,PK,SET,INDUS,IMM
4Q2557,"1,166.12","15,081.94",2.31,96.93,0.24,3.08,9.68,85.29,11.54,8.31,1.91,176.55,0.00,108.89,0.62,0.16,1.82,0.00,4.77,PK,SET,INDUS,IMM
1Q2558,874.66,-83.11,-63.86,15.37,0.04,0.49,1.39,80.94,17.63,1.76,1.79,210.48,0.00,108.89,0.61,0.14,2.01,0.00,5.18,PK,SET,INDUS,IMM
2Q2558,944.37,127.04,-57.02,36.64,0.09,1.21,3.26,83.35,15.52,3.88,1.61,228.02,0.00,,,,2.24,,,PK,SET,INDUS,IMM
3Q2558,780.98,-81.26,990.97,7.50,0.02,0.25,0.65,76.16,22.23,0.96,1.61,239.79,4.58,"1,898.90",14.79,1.98,2.31,0.00,11.14,PK,SET,INDUS,IMM
4Q2558,983.79,639.86,-46.83,49.94,0.13,1.57,3.88,82.28,18.02,5.08,1.38,254.12,3.90,"1,616.97",12.23,1.68,2.33,0.00,12.41,PK,SET,INDUS,IMM
1Q2559,908.47,,,-4.01,-0.01,-0.12,-0.28,79.52,19.58,-0.44,1.42,239.55,4.06,"1,683.31",17.89,1.41,2.88,0.00,13.78,PK,SET,INDUS,IMM
2Q2559,856.37,,-78.65,8.09,0.02,0.24,0.57,76.51,23.52,0.94,1.36,240.68,3.60,"1,492.59",19.23,1.26,2.86,0.00,14.74,PK,SET,INDUS,IMM
3Q2559,900.76,482.72,564.04,45.44,0.11,1.36,3.14,80.29,19.21,5.04,1.27,242.60,3.08,"1,276.99",24.16,1.07,2.88,0.00,10.61,PK,SET,INDUS,IMM
4Q2559,"1,072.74",-32.01,-38.97,33.04,0.08,0.95,2.22,78.14,20.63,3.08,1.40,224.83,3.74,"1,550.63",18.02,1.26,2.97,0.00,13.64,PK,SET,INDUS,IMM
1Q2560,"1,235.05",150.65,,78.86,0.19,2.13,5.11,89.11,9.62,6.39,1.39,144.64,3.72,"1,542.34",21.82,1.22,3.04,2.15,9.81,PK,SET,INDUS,IMM
2Q2560,"1,042.54",-58.74,309.76,33.88,0.08,0.92,2.22,73.81,25.71,3.25,1.40,85.92,6.45,"2,674.22",19.10,2.03,3.19,1.24,12.67,PK,SET,INDUS,IMM
3Q2560,"1,146.65",140.21,68.91,77.97,0.19,2.15,5.12,80.29,18.90,6.80,1.36,92.08,6.00,"2,487.65",15.47,2.01,2.98,1.33,11.36,PK,SET,INDUS,IMM
