,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,1.66,,,,,,,,,PLANB,SET,SERVICE,MEDIA
3Q2557,"1,001.88",,,125.26,0.48,5.43,15.47,86.91,12.82,12.50,2.06,,,,,,,,,PLANB,SET,SERVICE,MEDIA
4Q2557,467.03,,,81.32,-0.40,3.45,10.69,84.09,15.68,17.41,2.13,,,,,,,,,PLANB,SET,SERVICE,MEDIA
1Q2558,415.86,,,54.31,0.02,2.09,3.31,84.82,14.69,13.06,0.12,,4.46,"15,587.70",75.46,0.00,0.00,0.00,11.89,PLANB,SET,SERVICE,MEDIA
2Q2558,565.94,100.00,,131.09,0.04,4.45,5.06,84.51,14.51,23.16,0.15,,5.60,"19,572.00",86.85,7.75,0.72,0.00,18.52,PLANB,SET,SERVICE,MEDIA
3Q2558,575.00,-25.00,-93.75,110.34,0.03,3.57,4.07,87.08,12.31,19.19,0.13,,5.75,"20,096.25",65.63,7.56,0.76,0.00,22.84,PLANB,SET,SERVICE,MEDIA
4Q2558,613.28,-6.77,,109.53,0.03,3.36,3.81,84.78,14.38,17.86,0.14,,7.10,"24,902.54",66.04,9.00,0.79,0.00,27.85,PLANB,SET,SERVICE,MEDIA
1Q2559,557.15,-38.40,-13.85,61.58,0.02,1.78,2.04,85.70,13.65,11.05,0.16,,6.60,"23,148.84",57.84,7.83,0.84,1.06,24.75,PLANB,SET,SERVICE,MEDIA
2Q2559,613.13,83.05,-21.15,111.55,0.03,3.20,3.74,84.94,14.02,18.19,0.18,,5.30,"18,589.22",45.75,6.15,0.86,1.32,20.85,PLANB,SET,SERVICE,MEDIA
3Q2559,656.99,10.56,16.23,124.55,0.03,3.49,4.16,84.07,14.97,18.96,0.20,,5.20,"18,238.48",47.27,6.30,0.83,1.35,19.70,PLANB,SET,SERVICE,MEDIA
4Q2559,618.93,-52.45,-40.72,62.65,0.02,1.70,2.01,78.80,19.92,10.12,0.16,,5.80,"20,393.56",51.26,6.73,0.86,1.20,23.62,PLANB,SET,SERVICE,MEDIA
1Q2560,692.34,73.16,66.63,103.96,0.03,2.72,3.22,82.83,15.91,15.02,0.20,,6.00,"21,096.78",60.00,6.73,0.89,0.58,23.50,PLANB,SET,SERVICE,MEDIA
2Q2560,740.11,19.82,9.07,125.73,0.03,3.19,3.82,83.58,15.65,16.99,0.19,,5.70,"20,041.94",51.11,6.18,0.92,0.61,21.56,PLANB,SET,SERVICE,MEDIA
3Q2560,794.36,24.13,22.45,153.71,0.04,3.86,4.56,83.52,15.62,19.35,0.18,,6.05,"21,272.59",52.86,6.56,0.92,0.58,22.13,PLANB,SET,SERVICE,MEDIA
4Q2560,779.81,-41.17,51.51,91.59,0.03,2.22,2.58,82.77,16.54,11.75,0.15,,6.40,"22,589.49",52.50,6.65,0.97,0.54,22.39,PLANB,SET,SERVICE,MEDIA
1Q2561,804.45,56.89,37.27,140.95,0.04,3.23,3.80,85.51,13.55,17.52,0.20,,5.75,"20,295.24",44.07,5.68,1.01,0.78,19.41,PLANB,SET,SERVICE,MEDIA
2Q2561,877.40,9.72,25.70,161.28,0.04,3.43,4.23,85.38,14.15,18.38,0.27,,6.10,"21,530.60",43.18,5.80,1.05,0.74,20.05,PLANB,SET,SERVICE,MEDIA
3Q2561,"1,201.05",16.63,18.10,240.15,0.05,4.60,6.02,88.26,11.16,19.99,0.35,,6.95,"24,530.77",46.26,6.62,1.05,0.65,20.50,PLANB,SET,SERVICE,MEDIA
4Q2561,"1,156.35",-1.82,97.09,194.02,0.05,3.43,4.57,85.79,13.43,16.78,0.32,,6.10,"21,530.60",38.57,5.54,1.10,0.74,16.13,PLANB,SET,SERVICE,MEDIA
